id,position,gas_fee,mev_potential,creator_id,created_at,included_at,target_tx
59,0,5200000,0,user_48,0,0,
3,1,5000000,0,user_3,0,0,
3,88,5000000,0,user_3,0,21,
38,93,2500000,17700000,user_25,0,10,
49,99,2100000,0,user_37,0,9,
21,5,1700000,108000,user_16,0,0,
37,86,1500000,0,user_24,0,5,
1,90,1400000,46500,user_0,0,5,
35,90,1000000,0,user_24,0,4,
60,98,970000,0,user_48,0,4,
42,10,970000,0,user_32,0,0,
58,11,420000,0,user_48,0,0,
34,12,340000,0,user_24,0,0,
24,13,320000,5640,user_18,0,0,
24,83,320000,5640,user_18,0,2,
43,15,310000,0,user_32,0,0,
43,84,310000,0,user_32,0,2,
0,17,260000,0,user_0,0,0,
41,97,170000,0,user_30,0,2,
9,95,170000,0,user_12,0,2,
10,44,160000,0,user_12,0,1,
33,21,150000,0,user_24,0,0,
33,46,150000,0,user_24,0,1,
44,48,120000,0,user_33,0,1,
25,50,110000,0,user_18,0,1,
48,52,110000,0,user_37,0,1,
36,26,110000,0,user_24,0,0,
11,61,82000,0,user_13,0,1,
46,62,80000,0,user_35,0,1,
91,8,43000000,0,user_33,1,35,
98,55,27000000,0,user_37,1,35,
93,94,5200000,0,user_34,1,26,
86,3,4500000,0,user_28,1,1,
86,85,4500000,0,user_28,1,14,
65,83,4200000,0,user_3,1,12,
38,93,2500000,17700000,user_25,0,10,
15,89,2300000,0,user_14,0,9,
63,98,2100000,0,user_2,1,9,
69,87,2000000,0,user_7,1,7,
47,78,1800000,0,user_36,0,5,
21,79,1700000,108000,user_16,0,5,
13,85,1600000,0,user_14,0,5,
37,86,1500000,0,user_24,0,5,
1,14,1400000,46500,user_0,0,1,
1,15,1400000,46500,user_0,0,1,
1,90,1400000,46500,user_0,0,5,
92,95,1300000,0,user_34,1,5,
27,83,1100000,0,user_19,0,4,
35,90,1000000,0,user_24,0,4,
96,97,1000000,0,user_36,1,4,
66,69,970000,0,user_3,1,3,
42,56,970000,0,user_32,0,2,
87,68,970000,0,user_29,1,3,
60,24,970000,0,user_48,0,1,
72,86,650000,0,user_13,1,3,
76,87,650000,0,user_19,1,3,
12,89,630000,0,user_14,0,3,
64,28,370000,5180,user_2,1,1,
28,79,370000,0,user_21,0,2,
105,80,350000,0,user_44,1,2,
34,81,340000,0,user_24,0,2,
24,83,320000,5640,user_18,0,2,
