block_num,validator_id,total_gas_fee,total_mev_available
0,validator_7,184999994,15300
1,validator_10,16070001,1472130
2,validator_16,14336996,376840
3,validator_16,9592995,109900
4,validator_13,178409988,8520
5,validator_12,13460006,577900
6,validator_10,73887004,70000
7,validator_13,22190000,15700
8,validator_7,85242003,5640
9,validator_5,48110004,118100
10,validator_15,196531997,17884800
11,validator_9,10889997,31700
12,validator_10,30805002,843000
13,validator_15,95210003,328680
14,validator_1,91600006,84800
15,validator_5,24110003,161000
16,validator_7,3513993,1100000
17,validator_1,152706994,0
18,validator_15,46499997,0
19,validator_11,14353000,0
20,validator_8,3131996,0
21,validator_16,24110009,0
22,validator_17,14430000,18600
23,validator_17,15005002,123700
24,validator_8,36697000,12800
25,validator_13,80499999,18600
26,validator_6,72852006,18600
27,validator_12,67620000,6390
28,validator_14,10166000,39400
29,validator_4,3063994,5640
30,validator_12,106573002,779000
31,validator_1,11360009,17747700
32,validator_0,15169998,146000
33,validator_16,144232003,989000
34,validator_10,10621000,279800
35,validator_4,30275995,0
36,validator_15,174999998,15300
37,validator_0,77129998,35100
38,validator_17,33792001,0
39,validator_13,67819999,384130
40,validator_2,188249988,37500
41,validator_14,10010011,548400
42,validator_18,7789999,46500
43,validator_7,12840000,0
44,validator_0,68727009,12800
45,validator_10,69578003,187330
46,validator_10,258660005,84800
47,validator_11,52812996,67900
48,validator_19,36509999,0
49,validator_19,83937004,19700
50,validator_18,108085004,87930
51,validator_15,8613997,267000
52,validator_18,57919995,161000
53,validator_5,65756991,795400
54,validator_6,39767994,232000
55,validator_9,30203005,7190000
56,validator_7,41980002,5630
57,validator_11,11963008,368700
58,validator_1,179923002,67500
59,validator_4,611500004,0
60,validator_7,35739997,67500
61,validator_2,5342992,974100
62,validator_11,67009999,35600
63,validator_6,62569997,18600
64,validator_4,57982997,7840
65,validator_10,10139999,68100
66,validator_17,6420006,296000
67,validator_12,8790009,67900
68,validator_5,15300000,1110700
69,validator_9,11206004,63300
70,validator_12,8640003,3130
71,validator_10,20759990,916000
72,validator_0,184999994,15300
73,validator_17,14470001,372130
74,validator_19,17269997,18600
75,validator_11,24929994,381000
76,validator_18,7149996,30200
77,validator_4,14077004,0
78,validator_14,3829998,13900
79,validator_12,71389999,139200
80,validator_5,10950007,369000
81,validator_13,6830008,35600
82,validator_9,193800001,322000
83,validator_19,36154998,7312900
84,validator_7,14028002,12300
85,validator_8,29000007,0
86,validator_17,35990008,0
87,validator_13,119500001,0
88,validator_16,33979998,68100
89,validator_11,35252993,13800
90,validator_8,4419996,0
91,validator_19,33720001,160900
92,validator_5,73132003,7190000
93,validator_15,94523017,17743440
94,validator_7,39689999,152500
95,validator_15,62490003,245200
96,validator_6,26618004,56200
97,validator_17,105450001,0
98,validator_2,118500009,6390
99,validator_16,51599996,466700
100,validator_3,41460006,13900
101,validator_2,33669986,100000
102,validator_11,58881996,312400
103,validator_13,38950008,0
104,validator_17,8706003,7272000
105,validator_11,264687007,132200
106,validator_16,5460000,910000
107,validator_19,40684997,137700
108,validator_17,154999992,15300
109,validator_2,76659992,0
110,validator_10,255051998,8520
111,validator_15,31449998,926000
112,validator_17,10039990,518520
113,validator_11,8770004,171030
114,validator_18,68439004,23500
115,validator_18,79599992,17000
116,validator_4,80162010,0
117,validator_18,63777999,187330
118,validator_4,190180001,84800
119,validator_14,20531991,67400
120,validator_16,13457999,12300
121,validator_19,5610006,84800
122,validator_11,36360001,155000
123,validator_9,3496998,616800
124,validator_4,863999997,195000
125,validator_3,35616995,0
126,validator_4,4679996,0
127,validator_4,30390006,73730
128,validator_0,156850006,13900
129,validator_8,7980004,296000
130,validator_17,4749993,60700
131,validator_3,55710003,329100
132,validator_3,6901997,13800
133,validator_8,108740004,89300
134,validator_19,75100012,33300
135,validator_17,45693000,0
136,validator_8,52200004,164600
137,validator_1,8409007,510000
138,validator_8,199700000,0
139,validator_11,65330005,18600
140,validator_15,36453996,8700000
141,validator_18,16460002,802500
142,validator_12,99790001,24700
143,validator_0,128779989,594000
144,validator_4,134999994,15300
145,validator_3,15430001,1472130
146,validator_0,51706993,369000
147,validator_12,15360000,36800
148,validator_11,38809991,15300
149,validator_1,86760007,1057130
150,validator_4,4537999,0
151,validator_16,12890000,84800
152,validator_3,56889010,0
153,validator_10,69578003,187330
154,validator_14,222260006,84800
155,validator_14,38302999,33100
156,validator_13,25633994,0
157,validator_10,81437007,19700
158,validator_19,84116001,195000
159,validator_5,11479998,285000
160,validator_4,16079996,785390
161,validator_1,27360000,64600
162,validator_14,34515006,120800
163,validator_0,11780001,510000
164,validator_17,226730001,381000
165,validator_17,19060010,1273100
166,validator_13,113651997,23500
167,validator_6,1724084999,76400
168,validator_14,42325004,12800
169,validator_13,45084000,0
170,validator_12,10197007,510000
171,validator_17,32420003,0
172,validator_10,44199006,0
173,validator_8,59750001,0
174,validator_13,8099997,7190000
175,validator_14,45720012,46800
176,validator_19,30470003,43600
177,validator_17,63950000,94100
178,validator_1,43808997,0
179,validator_5,9569994,270200
180,validator_19,154999990,15300
181,validator_0,77129998,35100
182,validator_2,39910004,13900
183,validator_8,22824993,454100
184,validator_9,175119996,0
185,validator_2,56180009,24700
186,validator_15,61557999,5180
187,validator_12,11579997,84800
188,validator_10,25790007,448200
189,validator_16,66958006,102530
190,validator_18,204430002,84800
191,validator_17,47544998,122900
192,validator_4,13617999,12300
193,validator_13,35330005,155000
194,validator_12,39760001,155000
195,validator_19,4456994,616800
196,validator_13,1032299987,195000
197,validator_14,106546994,100000
198,validator_9,10810002,0
199,validator_1,39680003,66100
200,validator_7,175810003,296000
201,validator_12,99597011,608100
202,validator_2,22829994,33300
203,validator_8,51525000,88800
204,validator_17,66660007,0
205,validator_8,70390000,30200
206,validator_5,53330012,13900
207,validator_18,67988000,23500
208,validator_1,9490002,322000
209,validator_11,42932992,667100
210,validator_2,15120000,0
211,validator_2,6460013,47700
212,validator_13,11899996,0
213,validator_10,153860000,164000
214,validator_6,4352003,13800
215,validator_9,66780000,161000
216,validator_11,174999994,15300
217,validator_9,15109999,372130
218,validator_1,226919994,5630
219,validator_18,7980000,5180
220,validator_2,6119997,0
221,validator_6,5997008,100000
222,validator_4,21869992,15300
223,validator_4,233909998,24700
224,validator_19,1167580008,410000
225,validator_6,19710010,68100
226,validator_16,209729996,10700
227,validator_17,424977997,16400
228,validator_2,21620994,161000
229,validator_3,17190002,4384600
230,validator_15,973995005,38730
231,validator_1,5769996,30200
232,validator_4,84359995,81390
233,validator_12,25259993,283000
234,validator_3,15744994,959000
235,validator_19,31659997,7258100
236,validator_4,214300005,33100
237,validator_5,31220011,1767100
238,validator_8,101800000,0
239,validator_3,14584999,123700
240,validator_9,15579997,0
241,validator_10,48473995,0
242,validator_9,11287005,0
243,validator_16,88860000,78600
244,validator_15,136743000,633000
245,validator_15,34132995,594000
246,validator_8,47303006,14200
247,validator_13,36970014,13900
248,validator_12,38618005,192600
249,validator_4,11370000,0
250,validator_7,15470002,410000
251,validator_19,4629989,1255000
252,validator_9,105979999,67500
253,validator_15,29840004,221390
254,validator_14,42831995,13900
255,validator_13,20787001,369000
256,validator_8,35413996,13900
257,validator_2,66600004,0
258,validator_1,47109995,14200
259,validator_3,11690002,458000
260,validator_14,8880000,12800
261,validator_2,125609996,67900
262,validator_1,10349986,181000
263,validator_2,7879996,6390
264,validator_0,4862994,0
265,validator_12,76944999,73100
266,validator_0,7619987,13900
267,validator_15,14339989,0
268,validator_17,14239989,215000
269,validator_0,5146993,296000
270,validator_2,7650006,13900
271,validator_18,71304994,139000
272,validator_5,13185996,0
273,validator_6,67629999,371800
274,validator_17,109135001,1794800
275,validator_17,45219996,13800
276,validator_15,16100001,33300
277,validator_4,11645002,13800
278,validator_0,37080002,369000
279,validator_5,35395007,11200
280,validator_10,76930006,990700
281,validator_3,37709992,0
282,validator_12,13734994,674000
283,validator_8,11797990,133600
284,validator_8,19669999,41980
285,validator_17,63880009,69500
286,validator_15,20476995,231000
287,validator_9,60530002,33100
288,validator_19,67378998,320700
289,validator_4,16540000,0
290,validator_9,11099001,4605000
291,validator_15,19340004,93800
292,validator_1,25056999,152900
293,validator_19,45084000,283000
294,validator_12,94672994,122200
295,validator_15,8784994,64600
296,validator_9,30570006,1100000
297,validator_0,13859999,35100
298,validator_19,71367995,43600
299,validator_18,6358997,13800
300,validator_15,73664006,146000
301,validator_4,17119999,18830
302,validator_14,15479994,149400
303,validator_4,14679989,12800
304,validator_11,16064988,56200
305,validator_3,14292996,75000
306,validator_1,17660001,667100
307,validator_18,107069993,769000
308,validator_9,5762999,0
309,validator_18,61440001,36800
310,validator_19,7470004,400700
311,validator_14,88939996,0
312,validator_15,58910006,21800
313,validator_3,67933001,73100
314,validator_5,136490010,285000
315,validator_4,8260010,15300
316,validator_0,7493011,162400
317,validator_1,9119997,0
318,validator_0,10279995,322000
319,validator_6,53299991,64600
320,validator_1,51009999,54800
321,validator_17,36410005,31700
322,validator_0,10743999,161000
323,validator_0,4950000,17000
324,validator_12,54573995,12800
325,validator_15,10030002,510000
326,validator_8,5472999,4320000
327,validator_7,121480008,327640
328,validator_18,6808996,295600
329,validator_15,31194995,594000
330,validator_15,20192993,45900
331,validator_1,20859997,11200
332,validator_5,62620005,39540
333,validator_15,49293993,4332800
334,validator_17,61289994,19700
335,validator_13,37820003,13800
336,validator_13,83409009,0
337,validator_1,21307002,31000
338,validator_16,22669999,84800
339,validator_6,50613991,12800
340,validator_14,13063992,410000
341,validator_14,5045006,13900
342,validator_8,4479999,0
343,validator_12,13736998,155200
344,validator_14,14049998,8520
345,validator_6,34822002,10700
346,validator_0,5640005,381000
347,validator_10,26439999,1937100
348,validator_12,22575014,11200
349,validator_9,46433009,76230
350,validator_11,21902002,350000
351,validator_7,15493003,0
352,validator_12,76344010,5180
353,validator_1,7269999,173100
354,validator_0,23320000,17000
355,validator_5,60930001,0
356,validator_6,71498003,12800
357,validator_1,17897005,33300
358,validator_19,78138987,15300
359,validator_7,63530005,33100
360,validator_15,203509995,0
361,validator_1,70079999,10700
362,validator_14,1037447001,103300
363,validator_16,17000006,43600
364,validator_7,29066995,152900
365,validator_15,49284002,17983000
366,validator_13,99097992,14200
367,validator_1,4135003,128000
368,validator_13,7037996,12300
369,validator_6,14279993,71800
370,validator_14,38589987,66100
371,validator_8,7856004,0
372,validator_10,8369990,23500
373,validator_1,8269997,0
374,validator_6,9029997,13900
375,validator_11,6755993,31700
376,validator_1,11609985,33100
377,validator_13,952249993,73100
378,validator_11,50962011,75000
379,validator_15,12382997,48400
380,validator_16,16021001,67900
381,validator_6,1600080000,18282000
382,validator_5,3390001,5630
383,validator_16,73290008,0
384,validator_18,12059992,13800
385,validator_11,10090000,0
386,validator_3,11270002,15100
387,validator_10,63459997,174530
388,validator_2,58486996,5180
389,validator_13,32487000,227430
390,validator_8,3619988,68100
391,validator_17,168719988,64600
392,validator_19,12929991,100000
393,validator_8,13029993,33300
394,validator_14,15849995,779000
395,validator_18,30340004,164000
396,validator_1,104019998,21800
397,validator_7,48229993,10700
398,validator_13,1059447007,0
399,validator_6,15020009,43600
400,validator_3,13392994,139000
401,validator_19,45499994,1136590
402,validator_0,72189994,16400
403,validator_16,52777999,57500
404,validator_19,846526003,17819400
405,validator_13,180579997,195000
406,validator_1,9569997,5630
407,validator_0,28599997,5630
408,validator_0,63996006,67500
409,validator_13,21200001,15700
410,validator_15,1871593992,320600
411,validator_11,23719989,32500
412,validator_13,15237999,64600
413,validator_14,10529996,155700
414,validator_0,55858003,192200
415,validator_1,58119993,19700
416,validator_17,13140000,35100
417,validator_5,975279998,820000
418,validator_18,6249009,7473000
419,validator_5,99379997,45300
420,validator_15,43000009,0
421,validator_15,55840007,73100
422,validator_7,16327003,164000
423,validator_14,16000005,79800
424,validator_17,60820005,959000
425,validator_12,7923997,135600
426,validator_7,86784990,249000
427,validator_16,13149990,16400
428,validator_3,10859993,350500
429,validator_6,14859993,5630
430,validator_17,26269995,385000
431,validator_3,15680003,191800
432,validator_18,40082998,68100
433,validator_5,166119010,788700
434,validator_13,92044004,0
435,validator_11,45210004,322000
