participant_id,participant_type,is_attacker,initial_stake_eth,final_stake_eth,final_capital_eth,initial_nodes,final_nodes,total_profit_eth,growth_rate
builder_0,builder,True,32.0,32.0,32.0,1,1,0.0,0.0
builder_1,builder,True,32.0,32.0,32.0,1,1,0.0,0.0
builder_2,builder,True,32.0,32.0,32.0,1,1,0.0,0.0
builder_3,builder,True,32.0,32.0,32.0,1,1,0.0,0.0
builder_4,builder,True,96.0,96.0,96.0,3,3,0.0,0.0
builder_5,builder,True,256.0,256.0,256.0,8,8,0.0,0.0
builder_6,builder,True,96.0,96.0,96.0,3,3,0.0,0.0
builder_7,builder,True,64.0,64.0,64.0,2,2,0.0,0.0
builder_8,builder,True,32.0,32.0,32.0,1,1,0.0,0.0
builder_9,builder,True,96.0,96.0,96.0,3,3,0.0,0.0
builder_10,builder,True,64.0,64.0,64.0,2,2,0.0,0.0
builder_11,builder,True,32.0,32.0,32.0,1,1,0.0,0.0
builder_12,builder,True,96.0,96.0,96.0,3,3,0.0,0.0
builder_13,builder,True,32.0,32.0,32.0,1,1,0.0,0.0
builder_14,builder,True,32.0,32.0,32.0,1,1,0.0,0.0
builder_15,builder,True,32.0,32.0,32.0,1,1,0.0,0.0
builder_16,builder,True,160.0,160.0,160.0,5,5,0.0,0.0
builder_17,builder,True,64.0,64.0,64.0,2,2,0.0,0.0
builder_18,builder,True,32.0,32.0,32.0,1,1,0.0,0.0
builder_19,builder,True,32.0,32.0,32.0,1,1,0.0,0.0
builder_20,builder,True,64.0,64.0,64.0,2,2,0.0,0.0
builder_21,builder,True,64.0,64.0,64.0,2,2,0.0,0.0
builder_22,builder,True,64.0,64.0,64.0,2,2,0.0,0.0
builder_23,builder,True,32.0,32.0,32.0,1,1,0.0,0.0
builder_24,builder,True,32.0,32.0,32.0,1,1,0.0,0.0
builder_25,builder,False,32.0,32.0,32.0,1,1,0.0,0.0
builder_26,builder,False,96.0,96.0,96.0,3,3,0.0,0.0
builder_27,builder,False,32.0,32.0,32.0,1,1,0.0,0.0
builder_28,builder,False,64.0,64.0,64.0,2,2,0.0,0.0
builder_29,builder,False,32.0,32.0,32.0,1,1,0.0,0.0
builder_30,builder,False,64.0,64.0,64.0,2,2,0.0,0.0
builder_31,builder,False,32.0,32.0,32.0,1,1,0.0,0.0
builder_32,builder,False,64.0,64.0,64.0,2,2,0.0,0.0
builder_33,builder,False,32.0,32.0,32.0,1,1,0.0,0.0
builder_34,builder,False,32.0,32.0,32.0,1,1,0.0,0.0
builder_35,builder,False,96.0,96.0,96.0,3,3,0.0,0.0
builder_36,builder,False,160.0,160.0,160.0,5,5,0.0,0.0
builder_37,builder,False,32.0,32.0,32.0,1,1,0.0,0.0
builder_38,builder,False,160.0,160.0,160.0,5,5,0.0,0.0
builder_39,builder,False,32.0,32.0,32.0,1,1,0.0,0.0
builder_40,builder,False,32.0,32.0,32.0,1,1,0.0,0.0
builder_41,builder,False,32.0,32.0,32.0,1,1,0.0,0.0
builder_42,builder,False,64.0,64.0,64.0,2,2,0.0,0.0
builder_43,builder,False,64.0,64.0,64.0,2,2,0.0,0.0
builder_44,builder,False,64.0,64.0,64.0,2,2,0.0,0.0
builder_45,builder,False,64.0,64.0,64.0,2,2,0.0,0.0
builder_46,builder,False,32.0,32.0,32.0,1,1,0.0,0.0
builder_47,builder,False,96.0,96.0,96.0,3,3,0.0,0.0
builder_48,builder,False,32.0,32.0,32.0,1,1,0.0,0.0
builder_49,builder,False,64.0,64.0,64.0,2,2,0.0,0.0
proposer_0,proposer,False,32.0,32.0,32.0,1,1,0.0,0.0
proposer_1,proposer,False,32.0,32.0,32.0,1,1,0.0,0.0
proposer_2,proposer,False,32.0,32.0,32.0,1,1,0.0,0.0
proposer_3,proposer,False,64.0,64.0,64.0,2,2,0.0,0.0
proposer_4,proposer,False,64.0,64.0,64.0,2,2,0.0,0.0
proposer_5,proposer,False,160.0,160.0,160.0,5,5,0.0,0.0
proposer_6,proposer,False,64.0,64.0,64.0,2,2,0.0,0.0
proposer_7,proposer,False,160.0,160.0,160.0,5,5,0.0,0.0
proposer_8,proposer,False,64.0,64.0,64.0,2,2,0.0,0.0
proposer_9,proposer,False,64.0,64.0,64.0,2,2,0.0,0.0
proposer_10,proposer,False,64.0,64.0,64.0,2,2,0.0,0.0
proposer_11,proposer,False,96.0,96.0,96.0,3,3,0.0,0.0
proposer_12,proposer,False,160.0,160.0,160.0,5,5,0.0,0.0
