transaction_id,fee,mev_potential,mev_captured,creator_id,target_tx_id,type_of_user,block_number,block_created,builder_type,transaction_type
38902,6100000,0,0,421,,unknown,1,1,normal,normal
38938,3600000,0,0,423,,unknown,1,1,normal,normal
38912,2600000,0,0,430,,unknown,1,1,normal,normal
38920,2400000,0,0,421,,unknown,1,1,normal,normal
38925,1900000,84800,0,421,,unknown,1,1,normal,normal
38903,1500000,0,0,436,,unknown,1,1,normal,normal
38904,1500000,0,0,436,,unknown,1,1,normal,normal
38905,970000,0,0,429,,unknown,1,1,normal,normal
38935,660000,0,0,427,,unknown,1,1,normal,normal
38932,420000,0,0,426,,unknown,1,1,normal,normal
38906,77000,75000,0,438,,unknown,1,1,normal,normal
38911,150000,0,0,427,,unknown,1,1,normal,normal
38907,120000,13800,0,438,,unknown,1,1,normal,normal
38908,130000,0,0,423,,unknown,1,1,normal,normal
38915,82000,0,0,422,,unknown,1,1,normal,normal
38966,6300000,0,0,421,,unknown,2,2,normal,normal
38968,4500000,0,0,428,,unknown,2,2,normal,normal
38946,2400000,47700,0,423,,unknown,2,2,normal,normal
38942,2000000,0,0,424,,unknown,2,2,normal,normal
38949,1900000,0,0,430,,unknown,2,2,normal,normal
38969,970000,0,0,428,,unknown,2,2,normal,normal
38964,660000,14200,0,427,,unknown,2,2,normal,normal
38967,470000,0,0,427,,unknown,2,2,normal,normal
38965,460000,0,0,421,,unknown,2,2,normal,normal
38939,150000,0,0,424,,unknown,2,2,normal,normal
38945,150000,0,0,424,,unknown,2,2,normal,normal
38960,130000,0,0,430,,unknown,2,2,normal,normal
38950,87000,0,0,424,,unknown,2,2,normal,normal
38957,77000,0,0,422,,unknown,2,2,normal,normal
38961,73000,0,0,427,,unknown,2,2,normal,normal
38984,30000000,0,0,427,,unknown,3,3,normal,normal
38987,6100000,0,0,425,,unknown,3,3,normal,normal
38974,3200000,0,0,422,,unknown,3,3,normal,normal
38991,370000,0,0,421,,unknown,3,3,normal,normal
38983,360000,0,0,428,,unknown,3,3,normal,normal
38997,150000,84800,0,429,,unknown,3,3,normal,normal
39004,160000,71800,0,422,,unknown,3,3,normal,normal
38990,220000,0,0,427,,unknown,3,3,normal,normal
38994,170000,0,0,425,,unknown,3,3,normal,normal
38980,160000,0,0,428,,unknown,3,3,normal,normal
38975,120000,0,0,423,,unknown,3,3,normal,normal
39038,6100000,0,0,424,,unknown,4,4,normal,normal
39035,1800000,0,0,424,,unknown,4,4,normal,normal
39044,1300000,0,0,423,,unknown,4,4,normal,normal
39049,460000,0,0,430,,unknown,4,4,normal,normal
39009,240000,0,0,425,,unknown,4,4,normal,normal
39028,120000,16400,0,429,,unknown,4,4,normal,normal
39043,120000,0,0,427,,unknown,4,4,normal,normal
39050,5000000,0,0,430,,unknown,5,5,attack,normal
39057,2500000,0,0,430,,unknown,5,5,attack,normal
40700,0,0,0,1060,39062.0,unknown,5,5,attack,b_attack
39062,1000000,8520,0,422,,unknown,5,5,attack,normal
39084,670000,0,0,425,,unknown,5,5,attack,normal
40701,0,0,0,1060,39073.0,unknown,5,5,attack,b_attack
39073,470000,56200,0,424,,unknown,5,5,attack,normal
39052,420000,0,0,429,,unknown,5,5,attack,normal
39051,370000,0,0,430,,unknown,5,5,attack,normal
39087,120000,0,0,427,,unknown,5,5,attack,normal
39095,43000000,0,0,429,,unknown,6,6,normal,normal
39106,30000000,0,0,423,,unknown,6,6,normal,normal
39110,27000000,0,0,423,,unknown,6,6,normal,normal
39092,2300000,0,0,427,,unknown,6,6,normal,normal
39103,1800000,0,0,421,,unknown,6,6,normal,normal
39100,670000,84800,0,423,,unknown,6,6,normal,normal
39111,650000,0,0,427,,unknown,6,6,normal,normal
39120,460000,0,0,425,,unknown,6,6,normal,normal
39099,170000,0,0,425,,unknown,6,6,normal,normal
39093,120000,0,0,429,,unknown,6,6,normal,normal
39094,120000,0,0,427,,unknown,6,6,normal,normal
39109,120000,0,0,421,,unknown,6,6,normal,normal
39096,85000,0,0,427,,unknown,6,6,normal,normal
39134,27000000,0,0,427,,unknown,7,7,normal,normal
39158,27000000,0,0,426,,unknown,7,7,normal,normal
39146,19000000,0,0,426,,unknown,7,7,normal,normal
39129,6300000,0,0,430,,unknown,7,7,normal,normal
39136,2600000,0,0,428,,unknown,7,7,normal,normal
39137,1700000,0,0,427,,unknown,7,7,normal,normal
39149,1400000,0,0,426,,unknown,7,7,normal,normal
39138,370000,0,0,423,,unknown,7,7,normal,normal
39147,370000,0,0,424,,unknown,7,7,normal,normal
39135,220000,0,0,427,,unknown,7,7,normal,normal
39148,190000,0,0,430,,unknown,7,7,normal,normal
39143,70000,0,0,430,,unknown,7,7,normal,normal
39187,6100000,0,0,428,,unknown,8,8,normal,normal
39195,1200000,0,0,426,,unknown,8,8,normal,normal
39174,910000,0,0,426,,unknown,8,8,normal,normal
39161,370000,0,0,426,,unknown,8,8,normal,normal
39192,220000,128000,0,426,,unknown,8,8,normal,normal
39164,320000,0,0,428,,unknown,8,8,normal,normal
39171,150000,0,0,423,,unknown,8,8,normal,normal
39177,150000,0,0,421,,unknown,8,8,normal,normal
39182,150000,0,0,427,,unknown,8,8,normal,normal
39196,100000,0,0,429,,unknown,8,8,normal,normal
39216,2100000,0,0,428,,unknown,9,9,normal,normal
39206,160000,545000,0,429,,unknown,9,9,normal,normal
39226,310000,0,0,426,,unknown,9,9,normal,normal
39201,300000,0,0,430,,unknown,9,9,normal,normal
39213,260000,0,0,423,,unknown,9,9,normal,normal
39230,220000,0,0,423,,unknown,9,9,normal,normal
39219,170000,0,0,425,,unknown,9,9,normal,normal
39217,98000,0,0,423,,unknown,9,9,normal,normal
39227,84000,0,0,424,,unknown,9,9,normal,normal
39218,73000,0,0,423,,unknown,9,9,normal,normal
39235,73000,0,0,425,,unknown,9,9,normal,normal
39251,19000000,0,0,430,,unknown,10,10,normal,normal
39254,5200000,0,0,421,,unknown,10,10,normal,normal
39247,3500000,0,0,428,,unknown,10,10,normal,normal
39242,2500000,0,0,423,,unknown,10,10,normal,normal
39257,2000000,0,0,427,,unknown,10,10,normal,normal
39262,470000,39400,0,423,,unknown,10,10,normal,normal
39263,84000,350000,0,424,,unknown,10,10,normal,normal
39255,370000,0,0,427,,unknown,10,10,normal,normal
39265,310000,0,0,429,,unknown,10,10,normal,normal
39236,160000,0,0,428,,unknown,10,10,normal,normal
39256,120000,0,0,427,,unknown,10,10,normal,normal
39237,110000,0,0,429,,unknown,10,10,normal,normal
39264,77000,0,0,427,,unknown,10,10,normal,normal
39250,73000,0,0,423,,unknown,10,10,normal,normal
40702,0,0,0,1064,39272.0,unknown,11,11,attack,b_attack
39272,1900000,15300,0,424,,unknown,11,11,attack,normal
40703,0,0,0,1064,39296.0,unknown,11,11,attack,b_attack
39296,1600000,66100,0,425,,unknown,11,11,attack,normal
39278,1500000,0,0,422,,unknown,11,11,attack,normal
39299,350000,0,0,429,,unknown,11,11,attack,normal
39290,170000,0,0,421,,unknown,11,11,attack,normal
39275,120000,0,0,425,,unknown,11,11,attack,normal
39281,120000,0,0,425,,unknown,11,11,attack,normal
39284,120000,0,0,421,,unknown,11,11,attack,normal
39293,120000,0,0,428,,unknown,11,11,attack,normal
39289,100000,0,0,422,,unknown,11,11,attack,normal
39302,84000,0,0,424,,unknown,11,11,attack,normal
39325,19000000,15700,0,430,,unknown,12,12,normal,normal
39312,5000000,0,0,426,,unknown,12,12,normal,normal
39326,1000000,0,0,428,,unknown,12,12,normal,normal
39341,970000,0,0,426,,unknown,12,12,normal,normal
39313,350000,0,0,425,,unknown,12,12,normal,normal
39320,310000,0,0,425,,unknown,12,12,normal,normal
39321,150000,0,0,428,,unknown,12,12,normal,normal
39340,150000,0,0,427,,unknown,12,12,normal,normal
39335,130000,0,0,425,,unknown,12,12,normal,normal
39342,120000,0,0,427,,unknown,12,12,normal,normal
39311,110000,0,0,426,,unknown,12,12,normal,normal
39324,87000,0,0,427,,unknown,12,12,normal,normal
39355,19000000,0,0,427,,unknown,13,13,normal,normal
39365,2000000,0,0,425,,unknown,13,13,normal,normal
39370,2000000,0,0,430,,unknown,13,13,normal,normal
39363,1900000,0,0,430,,unknown,13,13,normal,normal
39375,1600000,0,0,429,,unknown,13,13,normal,normal
39354,1100000,0,0,425,,unknown,13,13,normal,normal
39351,460000,0,0,425,,unknown,13,13,normal,normal
39378,370000,0,0,430,,unknown,13,13,normal,normal
39360,190000,23500,0,426,,unknown,13,13,normal,normal
39349,170000,0,0,423,,unknown,13,13,normal,normal
39350,130000,0,0,421,,unknown,13,13,normal,normal
39364,73000,0,0,422,,unknown,13,13,normal,normal
39409,43000000,0,0,426,,unknown,14,14,normal,normal
39401,30000000,0,0,425,,unknown,14,14,normal,normal
39395,2600000,0,0,428,,unknown,14,14,normal,normal
39400,2300000,0,0,426,,unknown,14,14,normal,normal
39410,1600000,0,0,430,,unknown,14,14,normal,normal
39414,1600000,0,0,429,,unknown,14,14,normal,normal
39388,600000,0,0,430,,unknown,14,14,normal,normal
39413,420000,0,0,425,,unknown,14,14,normal,normal
39380,310000,43600,0,428,,unknown,14,14,normal,normal
39381,340000,0,0,423,,unknown,14,14,normal,normal
39379,170000,0,0,424,,unknown,14,14,normal,normal
39406,160000,0,0,430,,unknown,14,14,normal,normal
39426,30000000,0,0,421,,unknown,15,15,normal,normal
39438,5000000,0,0,424,,unknown,15,15,normal,normal
39448,4500000,35100,0,422,,unknown,15,15,normal,normal
39425,2000000,0,0,430,,unknown,15,15,normal,normal
39427,1400000,0,0,422,,unknown,15,15,normal,normal
39429,1200000,0,0,429,,unknown,15,15,normal,normal
39439,1100000,0,0,422,,unknown,15,15,normal,normal
39434,530000,0,0,423,,unknown,15,15,normal,normal
39442,310000,0,0,426,,unknown,15,15,normal,normal
39419,240000,0,0,430,,unknown,15,15,normal,normal
39445,220000,0,0,426,,unknown,15,15,normal,normal
39437,170000,0,0,427,,unknown,15,15,normal,normal
39422,79000,0,0,430,,unknown,15,15,normal,normal
39428,79000,0,0,427,,unknown,15,15,normal,normal
39480,19000000,13800,0,423,,unknown,16,16,normal,normal
39466,2600000,75000,0,429,,unknown,16,16,normal,normal
39477,1600000,0,0,429,,unknown,16,16,normal,normal
