transaction_id,fee,mev_potential,mev_captured,creator_id,target_tx_id,type_of_user,block_number,block_created,validator_type,transaction_type
143318,43000016,594000,43000016,793,143314,unknown,1,1,attack,b_attack
146910,0,0,0,1971,143318,unknown,1,1,attack,failed
143314,43000015,594000,43000015,800,143311,unknown,1,1,attack,b_attack
143315,0,0,0,800,143311,unknown,1,1,attack,failed
143311,43000014,594000,43000014,791,143308,unknown,1,1,attack,b_attack
143312,0,0,0,791,143308,unknown,1,1,attack,failed
143308,43000013,594000,43000013,800,143305,unknown,1,1,attack,b_attack
143309,0,0,0,800,143305,unknown,1,1,attack,failed
143305,43000012,594000,43000012,798,143302,unknown,1,1,attack,b_attack
143306,0,0,0,798,143302,unknown,1,1,attack,failed
143390,43000040,594000,43000040,791,143386,unknown,2,2,attack,b_attack
146911,0,0,0,1976,143390,unknown,2,2,attack,failed
143386,43000039,594000,43000039,799,143383,unknown,2,2,attack,b_attack
143387,0,0,0,799,143383,unknown,2,2,attack,failed
143383,43000038,594000,43000038,794,143380,unknown,2,2,attack,b_attack
143384,0,0,0,794,143380,unknown,2,2,attack,failed
143380,43000037,594000,43000037,797,143377,unknown,2,2,attack,b_attack
143381,0,0,0,797,143377,unknown,2,2,attack,failed
143377,43000036,594000,43000036,799,143374,unknown,2,2,attack,b_attack
143378,0,0,0,799,143374,unknown,2,2,attack,failed
143462,43000064,594000,43000064,791,143458,unknown,3,3,attack,b_attack
146912,0,0,0,1960,143462,unknown,3,3,attack,failed
143458,43000063,594000,43000063,796,143455,unknown,3,3,attack,b_attack
143459,0,0,0,796,143455,unknown,3,3,attack,failed
143455,43000062,594000,43000062,792,143452,unknown,3,3,attack,b_attack
143456,0,0,0,792,143452,unknown,3,3,attack,failed
143452,43000061,594000,43000061,791,143449,unknown,3,3,attack,b_attack
143453,0,0,0,791,143449,unknown,3,3,attack,failed
143449,43000060,594000,43000060,797,143446,unknown,3,3,attack,b_attack
143450,0,0,0,797,143446,unknown,3,3,attack,failed
143534,43000088,594000,43000088,799,143530,unknown,4,4,attack,b_attack
146913,0,0,0,1955,143534,unknown,4,4,attack,failed
143530,43000087,594000,43000087,800,143527,unknown,4,4,attack,b_attack
143531,0,0,0,800,143527,unknown,4,4,attack,failed
143527,43000086,594000,43000086,795,143524,unknown,4,4,attack,b_attack
143528,0,0,0,795,143524,unknown,4,4,attack,failed
143524,43000085,594000,43000085,797,143521,unknown,4,4,attack,b_attack
143525,0,0,0,797,143521,unknown,4,4,attack,failed
143521,43000084,594000,43000084,792,143518,unknown,4,4,attack,b_attack
143522,0,0,0,792,143518,unknown,4,4,attack,failed
143606,43000112,594000,43000112,795,143602,unknown,5,5,attack,b_attack
146914,0,0,0,1978,143606,unknown,5,5,attack,failed
143602,43000111,594000,43000111,798,143599,unknown,5,5,attack,b_attack
143603,0,0,0,798,143599,unknown,5,5,attack,failed
143599,43000110,594000,43000110,799,143596,unknown,5,5,attack,b_attack
143600,0,0,0,799,143596,unknown,5,5,attack,failed
143596,43000109,594000,43000109,799,143593,unknown,5,5,attack,b_attack
143597,0,0,0,799,143593,unknown,5,5,attack,failed
143593,43000108,594000,43000108,795,143590,unknown,5,5,attack,b_attack
143594,0,0,0,795,143590,unknown,5,5,attack,failed
143678,43000136,594000,43000136,795,143674,unknown,6,6,attack,b_attack
146915,0,0,0,1980,143678,unknown,6,6,attack,failed
143674,43000135,594000,43000135,798,143671,unknown,6,6,attack,b_attack
143675,0,0,0,798,143671,unknown,6,6,attack,failed
