block_id,total_gas,total_mev_captured,validator_type,validator_id
1,21411000,160200,normal,2220
2,17589000,0,normal,2216
3,12030000,350000,normal,2235
4,15930000,0,normal,2225
5,18760000,13900,normal,2222
6,13770000,0,normal,2230
7,48008000,256000,attack,2210
8,66957000,0,normal,2219
9,39441000,3130,normal,2218
10,9298000,4403900,normal,2248
11,58380000,0,normal,2246
12,51307000,0,normal,2242
13,55666000,13900,normal,2232
14,49069000,5630,normal,2234
15,38074000,121000,normal,2216
16,7000000,0,normal,2227
17,52173000,0,attack,2207
18,34064000,594000,normal,2211
19,13440000,67500,normal,2225
20,21897000,0,normal,2223
21,7167000,75000,attack,2210
22,12762000,21800,normal,2221
23,58132000,49100,normal,2238
24,18437000,0,normal,2232
25,39021000,353000,normal,2232
26,14636000,369000,normal,2219
27,16669000,120400,normal,2218
28,51197000,0,normal,2234
29,45610000,0,normal,2250
30,18695000,390800,normal,2235
31,12473000,0,normal,2213
32,36140000,6260,attack,2205
33,10803000,283000,normal,2246
34,12744000,0,normal,2223
35,42547000,285000,normal,2235
36,15270000,36800,normal,2221
37,7928000,0,normal,2244
38,7610000,510000,attack,2209
39,12000000,161000,normal,2249
40,23100000,256000,normal,2243
41,38048000,0,normal,2217
42,26334000,5105400,attack,2208
43,9564000,551300,normal,2248
44,36484000,5630,normal,2221
45,7300000,14200,normal,2234
46,13569000,363500,attack,2203
47,2440000,0,normal,2245
48,18420000,66340,normal,2217
49,11459000,381000,normal,2247
50,5600000,1119000,normal,2245
