block_id,total_gas,total_mev_captured,block_bid,builder_type,builder_id
1,1325104196,3940600,949547419.3830421,attack,2172
2,2126001262,3238900,2097852484.4970584,attack,2156
3,2113102438,3238900,2118282376.0,attack,2155
4,2113103614,3238900,2134595628.0,attack,2187
5,2150004790,3238900,2239883780.0,attack,2159
6,2137005966,3238900,2285210932.0,attack,2171
7,2137007142,3238900,2323030684.0,attack,2162
8,2134008318,3238900,2345326936.0,attack,2169
9,2134009494,3238900,2354294088.0,attack,2187
10,2134010670,3238900,2394489140.0,attack,2185
11,2083098592,20872800,2412343892.0,normal,2200
12,2134013022,3238900,2422519044.0,attack,2168
13,2150014198,3238900,2474205196.0,attack,2162
14,2137015374,3252800,2511677248.0,attack,2175
15,2089316200,3951800,2513652800.0,normal,2197
16,2137017726,3238900,2560426852.0,attack,2188
17,2150018902,3238900,2668763704.0,attack,2165
18,2118019656,3172800,2663545656.0,normal,2196
19,2134021254,3251200,2656012508.0,attack,2179
20,2126022430,3238900,2659754560.0,attack,2176
21,2107110606,20938900,2669662612.0,attack,2182
22,2150024782,3238900,2731294064.0,attack,2182
23,2150025958,3238900,2769375716.0,attack,2169
24,2126027134,3238900,2744625168.0,attack,2186
25,2134028310,3238900,2778176320.0,attack,2171
26,2100328872,3353800,2801277702.0,normal,2199
27,2097330024,3172800,2812572854.0,normal,2197
28,2137031838,3238900,2883927806.0,attack,2186
29,2150033014,3238900,2919043558.0,attack,2175
30,2150034190,3238900,2978587710.0,attack,2187
31,2137035366,3238900,2974156992.0,attack,2167
32,2118035784,3172800,2967476044.0,normal,2197
33,2126037718,3238900,2936830896.0,attack,2184
34,2150038089,3738800,3024648658.0,attack,2180
35,2150040070,3238900,3003871810.0,attack,2173
36,2113341246,3238900,2977910482.0,attack,2162
37,2126042422,3238900,3017666024.0,attack,2183
38,2121042696,3172800,3085649876.0,normal,2198
39,2113344774,3238900,3061027668.0,attack,2190
40,2150045950,3238900,3156087820.0,attack,2173
41,2150047126,3238900,3216245972.0,attack,2158
42,2150048302,3238900,3233232124.0,attack,2172
43,2134049478,3238900,3291782176.0,attack,2172
44,2137050654,3238900,3323111128.0,attack,2152
45,2134051830,3238900,3322978670.0,attack,2163
46,2118051912,3172800,3344431542.0,normal,2195
47,2134054182,3238900,3307624694.0,attack,2154
48,2126054216,3172800,3359707146.0,normal,2193
49,2107276534,10428900,3330920198.0,attack,2171
50,2113357710,3238900,3355292950.0,attack,2187
