block_id,total_gas,total_mev_captured,block_bid,builder_type
1,430000185,7690000,1201106495.3474667,attack
2,430000425,7690000,2549257758.210694,attack
3,430000665,7690000,4202843066.284653,attack
4,430000905,7690000,6208250418.391649,attack
5,430001145,7690000,8620484700.627502,attack
6,430001385,7690000,10713541530.0,attack
7,430001625,7690000,12501044596.0,attack
8,430001865,7690000,14237396518.0,attack
9,430002105,7690000,16026345386.0,attack
10,430002345,7690000,17807468080.0,attack
11,430002585,7690000,19647876630.0,attack
12,430002825,7690000,21431449266.0,attack
13,430003065,7690000,23196089958.0,attack
14,430003305,7690000,24967692786.0,attack
15,430003545,7690000,26794738450.0,attack
16,430003785,7690000,28522080780.0,attack
17,430004025,7690000,30273379956.0,attack
18,430004265,7690000,32029116928.0,attack
19,430004505,7690000,33762985146.0,attack
20,430004745,7690000,35523367630.0,attack
21,430004985,7690000,37268029300.0,attack
22,430005225,7690000,39005605226.0,attack
23,430005465,7690000,40762656578.0,attack
24,430005705,7690000,42504177866.0,attack
25,430005945,7690000,44285254070.0,attack
26,430006185,7690000,46034300290.0,attack
27,430006425,7690000,47796722126.0,attack
28,430006665,7690000,49536887088.0,attack
29,430006905,7690000,51259314456.0,attack
30,430007145,7690000,52985252500.0,attack
31,430007385,7690000,54755111780.0,attack
32,430007625,7690000,56572951896.0,attack
33,430007865,7690000,58333770198.0,attack
34,430008105,7690000,60067108576.0,attack
35,430008345,7690000,61805577700.0,attack
36,430008585,7690000,63536242860.0,attack
37,430008825,7690000,65295976116.0,attack
38,430009065,7690000,67131900378.0,attack
39,430009305,7690000,68859326536.0,attack
40,430009545,7690000,70632196700.0,attack
41,430009785,7690000,72361315120.0,attack
42,430010025,7690000,74142027156.0,attack
43,430010265,7690000,75877311928.0,attack
44,430010505,7690000,77632203036.0,attack
45,430010745,7690000,79392063980.0,attack
46,430010985,7690000,81218397590.0,attack
47,430011225,7690000,83024244606.0,attack
48,430011465,7690000,84786948458.0,attack
49,430011705,7690000,86559786746.0,attack
50,430011945,7690000,88374273110.0,attack
