block_id,total_gas,total_mev_captured,block_bid,validator_type
1,430000135,11000000,,normal
2,430000375,11000000,,normal
3,430000621,11000000,,attack
4,430000861,11000000,,attack
5,430001095,11000000,,normal
6,430001341,11000000,,attack
7,430001575,11000000,,normal
8,430001815,11000000,,normal
9,430002061,11000000,,attack
10,430002301,11000000,,attack
11,430002541,11000000,,attack
12,430002775,11000000,,normal
13,430003021,11000000,,attack
14,430003255,11000000,,normal
15,430003501,11000000,,attack
16,430003741,11000000,,attack
17,430003975,11000000,,normal
18,430004215,11000000,,normal
19,430004461,11000000,,attack
20,430004701,11000000,,attack
21,430004941,11000000,,attack
22,430005181,11000000,,attack
23,430005415,11000000,,normal
24,430005661,11000000,,attack
25,430005895,11000000,,normal
26,430006141,11000000,,attack
27,430006381,11000000,,attack
28,430006615,11000000,,normal
29,430006855,11000000,,normal
30,430007101,11000000,,attack
31,430007341,11000000,,attack
32,430007575,11000000,,normal
33,430007821,11000000,,attack
34,430008055,11000000,,normal
35,430008295,11000000,,normal
36,430008541,11000000,,attack
37,430008781,11000000,,attack
38,430009021,11000000,,attack
39,430009255,11000000,,normal
40,430009501,11000000,,attack
41,430009735,11000000,,normal
42,430009981,11000000,,attack
43,430010215,11000000,,normal
44,430010455,11000000,,normal
45,430010695,11000000,,normal
46,430010935,11000000,,normal
47,430011175,11000000,,normal
48,430011421,11000000,,attack
49,430011661,11000000,,attack
50,430011895,11000000,,normal
