block_id,total_gas,total_mev_captured,validator_type,validator_id
1,898930190,5888000,normal,4428
2,989000736,5888000,normal,4433
3,989001288,5888000,normal,4426
4,1032001932,6144000,attack,4408
5,989002392,5888000,normal,4426
6,1032003084,6144000,attack,4420
7,1032003660,6144000,attack,4419
8,989004048,5888000,normal,4446
9,1032004812,6144000,attack,4407
10,1032005388,6144000,attack,4403
11,989005704,5888000,normal,4449
12,1032006540,6144000,attack,4420
13,989006808,5888000,normal,4428
14,1032007692,6144000,attack,4421
15,989007912,5888000,normal,4447
16,1032008844,6144000,attack,4416
17,989009016,5888000,normal,4437
18,1032009996,6144000,attack,4416
19,1032010572,6144000,attack,4406
20,989010672,5888000,normal,4429
21,1075012200,6400000,attack,4418
22,1032012300,6144000,attack,4401
23,1075013400,6400000,attack,4417
24,989012880,5888000,normal,4442
25,989013432,5888000,normal,4448
26,1032014604,6144000,attack,4425
27,1032015180,6144000,attack,4407
28,1032015756,6144000,attack,4412
29,989015640,5888000,normal,4446
30,1075017600,6400000,attack,4416
31,1032017484,6144000,attack,4409
32,989017296,5888000,normal,4437
33,989017848,5888000,normal,4442
34,1032019188,6144000,normal,4437
35,1032019764,6144000,normal,4432
36,1075021200,6400000,attack,4418
37,1032020916,6144000,normal,4445
38,1075022400,6400000,attack,4416
39,1032022068,6144000,normal,4442
40,1032022644,6144000,normal,4436
41,1075024200,6400000,attack,4409
42,1032023820,6144000,attack,4408
43,989023368,5888000,normal,4437
44,1032024972,6144000,attack,4416
45,1075026600,6400000,attack,4405
46,1032026100,6144000,normal,4428
47,989025576,5888000,normal,4442
48,1032027276,6144000,attack,4403
49,1032027852,6144000,attack,4409
50,1032028428,6144000,attack,4404
