transaction_id,fee,mev_potential,mev_captured,creator_id,target_tx_id,type_of_user,block_number,block_created,builder_type,transaction_type
17595,43000020,5180,43000020,239,17593.0,unknown,1,1,attack,b_attack
19949,0,0,0,551,17595.0,unknown,1,1,attack,failed
17596,0,0,0,239,17593.0,unknown,1,1,attack,failed
17593,43000019,5180,43000019,224,17591.0,unknown,1,1,attack,b_attack
17594,0,0,0,224,17591.0,unknown,1,1,attack,failed
17591,43000018,5180,43000018,225,17589.0,unknown,1,1,attack,b_attack
17592,0,0,0,225,17589.0,unknown,1,1,attack,failed
17589,43000017,5180,43000017,222,17587.0,unknown,1,1,attack,b_attack
17590,0,0,0,222,17587.0,unknown,1,1,attack,failed
17587,43000016,5180,43000016,233,17585.0,unknown,1,1,attack,b_attack
17588,0,0,0,233,17585.0,unknown,1,1,attack,failed
17585,43000015,5180,43000015,238,17583.0,unknown,1,1,attack,b_attack
17586,0,0,0,238,17583.0,unknown,1,1,attack,failed
17583,43000014,5180,43000014,236,17581.0,unknown,1,1,attack,b_attack
17584,0,0,0,236,17581.0,unknown,1,1,attack,failed
17581,43000013,5180,43000013,226,17579.0,unknown,1,1,attack,b_attack
17582,0,0,0,226,17579.0,unknown,1,1,attack,failed
17579,43000012,5180,43000012,233,17577.0,unknown,1,1,attack,b_attack
17580,0,0,0,233,17577.0,unknown,1,1,attack,failed
17577,43000011,5180,43000011,237,17575.0,unknown,1,1,attack,b_attack
17578,0,0,0,237,17575.0,unknown,1,1,attack,failed
17575,43000010,5180,43000010,222,17573.0,unknown,1,1,attack,b_attack
17576,0,0,0,222,17573.0,unknown,1,1,attack,failed
17573,43000009,5180,43000009,222,17571.0,unknown,1,1,attack,b_attack
17574,0,0,0,222,17571.0,unknown,1,1,attack,failed
17571,43000008,5180,43000008,230,17569.0,unknown,1,1,attack,b_attack
17572,0,0,0,230,17569.0,unknown,1,1,attack,failed
17569,43000007,5180,43000007,225,17567.0,unknown,1,1,attack,b_attack
17570,0,0,0,225,17567.0,unknown,1,1,attack,failed
17567,43000006,5180,43000006,226,17565.0,unknown,1,1,attack,b_attack
17568,0,0,0,226,17565.0,unknown,1,1,attack,failed
17565,43000005,5180,43000005,225,17563.0,unknown,1,1,attack,b_attack
17566,0,0,0,225,17563.0,unknown,1,1,attack,failed
17563,43000004,5180,43000004,239,17561.0,unknown,1,1,attack,b_attack
17564,0,0,0,239,17561.0,unknown,1,1,attack,failed
17561,43000003,5180,43000003,232,17559.0,unknown,1,1,attack,b_attack
17562,0,0,0,232,17559.0,unknown,1,1,attack,failed
17559,43000002,5180,43000002,228,17557.0,unknown,1,1,attack,b_attack
17560,0,0,0,228,17557.0,unknown,1,1,attack,failed
17557,43000001,5180,43000001,230,17555.0,unknown,1,1,attack,b_attack
17558,0,0,0,230,17555.0,unknown,1,1,attack,failed
17555,43000000,5180,43000000,240,17553.0,unknown,1,1,attack,b_attack
17556,0,0,0,240,17553.0,unknown,1,1,attack,failed
17553,27000000,5180,27000000,240,17551.0,unknown,1,1,attack,b_attack
17554,0,0,0,240,17551.0,unknown,1,1,attack,failed
17551,3600000,5180,3600000,229,17549.0,unknown,1,1,attack,b_attack
17552,0,0,0,229,17549.0,unknown,1,1,attack,failed
17549,2000000,5180,0,238,,unknown,1,1,attack,normal
17550,1400000,0,0,238,,unknown,1,1,attack,normal
17643,43000044,5180,43000044,236,17641.0,unknown,2,2,attack,b_attack
19950,0,0,0,569,17643.0,unknown,2,2,attack,failed
17644,0,0,0,236,17641.0,unknown,2,2,attack,failed
17641,43000043,5180,43000043,223,17639.0,unknown,2,2,attack,b_attack
17642,0,0,0,223,17639.0,unknown,2,2,attack,failed
17639,43000042,5180,43000042,225,17637.0,unknown,2,2,attack,b_attack
17640,0,0,0,225,17637.0,unknown,2,2,attack,failed
17637,43000041,5180,43000041,227,17635.0,unknown,2,2,attack,b_attack
17638,0,0,0,227,17635.0,unknown,2,2,attack,failed
17635,43000040,5180,43000040,223,17633.0,unknown,2,2,attack,b_attack
17636,0,0,0,223,17633.0,unknown,2,2,attack,failed
17633,43000039,5180,43000039,235,17631.0,unknown,2,2,attack,b_attack
17634,0,0,0,235,17631.0,unknown,2,2,attack,failed
17631,43000038,5180,43000038,226,17629.0,unknown,2,2,attack,b_attack
17632,0,0,0,226,17629.0,unknown,2,2,attack,failed
17629,43000037,5180,43000037,226,17627.0,unknown,2,2,attack,b_attack
17630,0,0,0,226,17627.0,unknown,2,2,attack,failed
17627,43000036,5180,43000036,238,17625.0,unknown,2,2,attack,b_attack
17628,0,0,0,238,17625.0,unknown,2,2,attack,failed
17625,43000035,5180,43000035,234,17623.0,unknown,2,2,attack,b_attack
17626,0,0,0,234,17623.0,unknown,2,2,attack,failed
17623,43000034,5180,43000034,226,17621.0,unknown,2,2,attack,b_attack
17624,0,0,0,226,17621.0,unknown,2,2,attack,failed
17621,43000033,5180,43000033,225,17619.0,unknown,2,2,attack,b_attack
17622,0,0,0,225,17619.0,unknown,2,2,attack,failed
17619,43000032,5180,43000032,225,17617.0,unknown,2,2,attack,b_attack
17620,0,0,0,225,17617.0,unknown,2,2,attack,failed
17617,43000031,5180,43000031,229,17615.0,unknown,2,2,attack,b_attack
17618,0,0,0,229,17615.0,unknown,2,2,attack,failed
17615,43000030,5180,43000030,234,17613.0,unknown,2,2,attack,b_attack
17616,0,0,0,234,17613.0,unknown,2,2,attack,failed
17613,43000029,5180,43000029,235,17611.0,unknown,2,2,attack,b_attack
17614,0,0,0,235,17611.0,unknown,2,2,attack,failed
17611,43000028,5180,43000028,232,17609.0,unknown,2,2,attack,b_attack
17612,0,0,0,232,17609.0,unknown,2,2,attack,failed
17609,43000027,5180,43000027,231,17607.0,unknown,2,2,attack,b_attack
17610,0,0,0,231,17607.0,unknown,2,2,attack,failed
17607,43000026,5180,43000026,224,17605.0,unknown,2,2,attack,b_attack
17608,0,0,0,224,17605.0,unknown,2,2,attack,failed
17605,43000025,5180,43000025,223,17603.0,unknown,2,2,attack,b_attack
17606,0,0,0,223,17603.0,unknown,2,2,attack,failed
17603,43000024,5180,43000024,239,17601.0,unknown,2,2,attack,b_attack
17604,0,0,0,239,17601.0,unknown,2,2,attack,failed
17601,43000023,5180,43000023,226,17599.0,unknown,2,2,attack,b_attack
17602,0,0,0,226,17599.0,unknown,2,2,attack,failed
17599,43000022,5180,43000022,239,17597.0,unknown,2,2,attack,b_attack
17600,0,0,0,239,17597.0,unknown,2,2,attack,failed
17597,0,0,0,237,17595.0,unknown,2,2,attack,failed
17598,0,0,0,237,17595.0,unknown,2,2,attack,failed
17691,43000068,5180,43000068,237,17689.0,unknown,3,3,attack,b_attack
19951,0,0,0,567,17691.0,unknown,3,3,attack,failed
17692,0,0,0,237,17689.0,unknown,3,3,attack,failed
17689,43000067,5180,43000067,236,17687.0,unknown,3,3,attack,b_attack
17690,0,0,0,236,17687.0,unknown,3,3,attack,failed
17687,43000066,5180,43000066,231,17685.0,unknown,3,3,attack,b_attack
17688,0,0,0,231,17685.0,unknown,3,3,attack,failed
17685,43000065,5180,43000065,237,17683.0,unknown,3,3,attack,b_attack
17686,0,0,0,237,17683.0,unknown,3,3,attack,failed
17683,43000064,5180,43000064,231,17681.0,unknown,3,3,attack,b_attack
17684,0,0,0,231,17681.0,unknown,3,3,attack,failed
17681,43000063,5180,43000063,222,17679.0,unknown,3,3,attack,b_attack
17682,0,0,0,222,17679.0,unknown,3,3,attack,failed
17679,43000062,5180,43000062,226,17677.0,unknown,3,3,attack,b_attack
17680,0,0,0,226,17677.0,unknown,3,3,attack,failed
17677,43000061,5180,43000061,237,17675.0,unknown,3,3,attack,b_attack
17678,0,0,0,237,17675.0,unknown,3,3,attack,failed
17675,43000060,5180,43000060,237,17673.0,unknown,3,3,attack,b_attack
17676,0,0,0,237,17673.0,unknown,3,3,attack,failed
17673,43000059,5180,43000059,240,17671.0,unknown,3,3,attack,b_attack
17674,0,0,0,240,17671.0,unknown,3,3,attack,failed
17671,43000058,5180,43000058,230,17669.0,unknown,3,3,attack,b_attack
17672,0,0,0,230,17669.0,unknown,3,3,attack,failed
17669,43000057,5180,43000057,225,17667.0,unknown,3,3,attack,b_attack
17670,0,0,0,225,17667.0,unknown,3,3,attack,failed
17667,43000056,5180,43000056,226,17665.0,unknown,3,3,attack,b_attack
17668,0,0,0,226,17665.0,unknown,3,3,attack,failed
17665,43000055,5180,43000055,230,17663.0,unknown,3,3,attack,b_attack
17666,0,0,0,230,17663.0,unknown,3,3,attack,failed
17663,43000054,5180,43000054,240,17661.0,unknown,3,3,attack,b_attack
17664,0,0,0,240,17661.0,unknown,3,3,attack,failed
17661,43000053,5180,43000053,222,17659.0,unknown,3,3,attack,b_attack
17662,0,0,0,222,17659.0,unknown,3,3,attack,failed
17659,43000052,5180,43000052,235,17657.0,unknown,3,3,attack,b_attack
17660,0,0,0,235,17657.0,unknown,3,3,attack,failed
17657,43000051,5180,43000051,228,17655.0,unknown,3,3,attack,b_attack
17658,0,0,0,228,17655.0,unknown,3,3,attack,failed
17655,43000050,5180,43000050,223,17653.0,unknown,3,3,attack,b_attack
17656,0,0,0,223,17653.0,unknown,3,3,attack,failed
17653,43000049,5180,43000049,221,17651.0,unknown,3,3,attack,b_attack
17654,0,0,0,221,17651.0,unknown,3,3,attack,failed
17651,43000048,5180,43000048,227,17649.0,unknown,3,3,attack,b_attack
17652,0,0,0,227,17649.0,unknown,3,3,attack,failed
17649,43000047,5180,43000047,229,17647.0,unknown,3,3,attack,b_attack
17650,0,0,0,229,17647.0,unknown,3,3,attack,failed
17647,43000046,5180,43000046,222,17645.0,unknown,3,3,attack,b_attack
17648,0,0,0,222,17645.0,unknown,3,3,attack,failed
17645,0,0,0,226,17643.0,unknown,3,3,attack,failed
17646,0,0,0,226,17643.0,unknown,3,3,attack,failed
17739,43000092,5180,43000092,224,17737.0,unknown,4,4,attack,b_attack
19952,0,0,0,557,17739.0,unknown,4,4,attack,failed
17740,0,0,0,224,17737.0,unknown,4,4,attack,failed
