block_id,total_gas,total_mev_captured,block_bid,builder_type,builder_id
1,1896180484,588800,1058275073.034788,attack,902
2,2107001654,627200,1223399724.597337,attack,901
3,2107002830,627200,1269848236.0182498,attack,903
4,2107004006,627200,1318060246.4569728,attack,902
5,2107005182,627200,1368102710.2397041,attack,901
6,2107006358,627200,1420045123.7308006,attack,905
7,2107007534,627200,1473959621.8457038,attack,904
8,2107008710,627200,1529921078.2281501,attack,904
9,2107009886,627200,1588007209.2307827,attack,902
10,2107011062,627200,1648298681.8435707,attack,902
11,2107012238,627200,1710879225.7199175,attack,904
12,2107013414,627200,1775835749.4560354,attack,904
13,2107014590,627200,1843258461.2850761,attack,901
14,2107015766,627200,1913240994.3536184,attack,904
15,2107016942,627200,1985880536.7545004,attack,902
16,2107018118,627200,2061277966.4965773,attack,902
17,2107019294,627200,2064633288.0,attack,902
18,2107020470,627200,2064634440.0,attack,903
19,2107021646,627200,2064635592.0,attack,904
20,2107022822,627200,2064636744.0,attack,905
21,2107023998,627200,2064637896.0,attack,901
22,2107025174,627200,2064639048.0,attack,905
23,2107026350,627200,2064640200.0,attack,902
24,2107027526,627200,2064641352.0,attack,903
25,2107028702,627200,2064642504.0,attack,905
26,2107029878,627200,2064643656.0,attack,904
27,2107031054,627200,2064644808.0,attack,904
28,2107032230,627200,2064645960.0,attack,901
29,2107033406,627200,2064647112.0,attack,904
30,2107034582,627200,2064648264.0,attack,904
31,2107035758,627200,2064649416.0,attack,904
32,2107036934,627200,2064650568.0,attack,903
33,2107038110,627200,2064651720.0,attack,903
34,2107039286,627200,2064652872.0,attack,904
35,2107040462,627200,2064654024.0,attack,903
36,2107041638,627200,2064655176.0,attack,904
37,2107042814,627200,2064656328.0,attack,904
38,2107043990,627200,2064657480.0,attack,904
39,2107045166,627200,2064658632.0,attack,902
40,2107046342,627200,2064659784.0,attack,902
41,2107047518,627200,2064660936.0,attack,905
42,2107048694,627200,2064662088.0,attack,904
43,2107049870,627200,2064663240.0,attack,901
44,2107051046,627200,2064664392.0,attack,905
45,2107052222,627200,2064665544.0,attack,903
46,2107053398,627200,2064666696.0,attack,903
47,2107054574,627200,2064667848.0,attack,901
48,2107055750,627200,2064669000.0,attack,904
49,2107056926,627200,2064670152.0,attack,903
50,2107058102,627200,2064671304.0,attack,903
