transaction_id,fee,mev_potential,mev_captured,creator_id,target_tx_id,type_of_user,block_number,block_created,validator_type,transaction_type
58478,27000000,0,0,639,,unknown,1,1,attack,normal
58475,6100000,0,0,627,,unknown,1,1,attack,normal
58467,1600000,0,0,627,,unknown,1,1,attack,normal
58482,1600000,0,0,621,,unknown,1,1,attack,normal
58477,1100000,0,0,630,,unknown,1,1,attack,normal
58461,1000000,0,0,624,,unknown,1,1,attack,normal
58468,910000,0,0,625,,unknown,1,1,attack,normal
58473,660000,0,0,625,,unknown,1,1,attack,normal
58463,420000,42000,0,636,,unknown,1,1,attack,normal
59689,0,0,0,1566,58463.0,unknown,1,1,attack,failed
58462,260000,0,0,636,,unknown,1,1,attack,normal
58469,260000,0,0,632,,unknown,1,1,attack,normal
58479,260000,0,0,633,,unknown,1,1,attack,normal
58465,220000,0,0,622,,unknown,1,1,attack,normal
58470,220000,0,0,638,,unknown,1,1,attack,normal
58476,120000,0,0,625,,unknown,1,1,attack,normal
58481,120000,0,0,634,,unknown,1,1,attack,normal
58459,110000,0,0,621,,unknown,1,1,attack,normal
58474,110000,0,0,629,,unknown,1,1,attack,normal
58466,87000,0,0,637,,unknown,1,1,attack,normal
58471,87000,0,0,632,,unknown,1,1,attack,normal
58480,85000,0,0,635,,unknown,1,1,attack,normal
58460,84000,0,0,624,,unknown,1,1,attack,normal
58464,84000,0,0,635,,unknown,1,1,attack,normal
58472,80000,0,0,625,,unknown,1,1,attack,normal
58497,6100000,0,0,621,,unknown,2,2,attack,normal
58489,5000000,0,0,633,,unknown,2,2,attack,normal
58506,4500000,0,0,638,,unknown,2,2,attack,normal
58487,2000000,0,0,627,,unknown,2,2,attack,normal
58502,2000000,0,0,632,,unknown,2,2,attack,normal
58504,1500000,0,0,626,,unknown,2,2,attack,normal
58500,1300000,0,0,626,,unknown,2,2,attack,normal
58505,1100000,164000,0,627,,unknown,2,2,attack,normal
59690,0,0,0,1567,58505.0,unknown,2,2,attack,failed
58488,600000,0,0,631,,unknown,2,2,attack,normal
58501,530000,0,0,628,,unknown,2,2,attack,normal
58496,420000,13900,0,621,,unknown,2,2,attack,normal
58486,370000,0,0,635,,unknown,2,2,attack,normal
58503,310000,0,0,629,,unknown,2,2,attack,normal
58491,300000,0,0,634,,unknown,2,2,attack,normal
58493,300000,0,0,634,,unknown,2,2,attack,normal
58483,220000,0,0,632,,unknown,2,2,attack,normal
58484,220000,0,0,621,,unknown,2,2,attack,normal
58490,160000,15100,0,639,,unknown,2,2,attack,normal
58485,150000,0,0,623,,unknown,2,2,attack,normal
58498,150000,0,0,630,,unknown,2,2,attack,normal
58492,130000,0,0,637,,unknown,2,2,attack,normal
58494,110000,0,0,637,,unknown,2,2,attack,normal
58495,83000,0,0,635,,unknown,2,2,attack,normal
58499,70000,0,0,639,,unknown,2,2,attack,normal
58515,19000000,0,0,635,,unknown,3,3,attack,normal
58527,5200000,0,0,638,,unknown,3,3,attack,normal
58528,4500000,0,0,626,,unknown,3,3,attack,normal
58511,3200000,0,0,640,,unknown,3,3,attack,normal
58513,2000000,0,0,632,,unknown,3,3,attack,normal
58524,2000000,0,0,632,,unknown,3,3,attack,normal
58508,1700000,0,0,637,,unknown,3,3,attack,normal
58529,1600000,0,0,625,,unknown,3,3,attack,normal
58523,1100000,0,0,635,,unknown,3,3,attack,normal
58509,970000,0,0,626,,unknown,3,3,attack,normal
58514,600000,0,0,624,,unknown,3,3,attack,normal
58517,220000,322000,0,624,,unknown,3,3,attack,normal
59691,0,0,0,1577,58517.0,unknown,3,3,attack,failed
58507,460000,0,0,621,,unknown,3,3,attack,normal
58520,420000,0,0,634,,unknown,3,3,attack,normal
58516,320000,0,0,634,,unknown,3,3,attack,normal
58525,170000,18600,0,623,,unknown,3,3,attack,normal
58526,170000,0,0,634,,unknown,3,3,attack,normal
58521,150000,0,0,631,,unknown,3,3,attack,normal
58530,150000,0,0,636,,unknown,3,3,attack,normal
58510,120000,0,0,625,,unknown,3,3,attack,normal
58512,120000,0,0,628,,unknown,3,3,attack,normal
58518,98000,0,0,622,,unknown,3,3,attack,normal
58522,87000,0,0,628,,unknown,3,3,attack,normal
58519,77000,0,0,632,,unknown,3,3,attack,normal
58549,27000000,0,0,638,,unknown,4,4,normal,normal
58544,5000000,0,0,622,,unknown,4,4,normal,normal
58535,4500000,49100,0,621,,unknown,4,4,normal,normal
58540,4200000,0,0,628,,unknown,4,4,normal,normal
58532,3200000,0,0,635,,unknown,4,4,normal,normal
58546,2600000,0,0,621,,unknown,4,4,normal,normal
58533,2000000,0,0,629,,unknown,4,4,normal,normal
58553,2000000,0,0,625,,unknown,4,4,normal,normal
58545,1500000,0,0,623,,unknown,4,4,normal,normal
58547,970000,322000,0,622,,unknown,4,4,normal,normal
58550,1200000,0,0,634,,unknown,4,4,normal,normal
58551,670000,0,0,637,,unknown,4,4,normal,normal
58539,470000,15300,0,623,,unknown,4,4,normal,normal
58536,370000,0,0,640,,unknown,4,4,normal,normal
58542,260000,0,0,625,,unknown,4,4,normal,normal
58543,260000,0,0,634,,unknown,4,4,normal,normal
58537,220000,0,0,621,,unknown,4,4,normal,normal
58548,220000,0,0,632,,unknown,4,4,normal,normal
58538,160000,0,0,629,,unknown,4,4,normal,normal
58552,150000,0,0,634,,unknown,4,4,normal,normal
58531,120000,0,0,625,,unknown,4,4,normal,normal
58541,79000,13900,0,637,,unknown,4,4,normal,normal
58554,85000,0,0,627,,unknown,4,4,normal,normal
58534,84000,0,0,625,,unknown,4,4,normal,normal
58564,43000000,12800,0,625,,unknown,5,5,normal,normal
58566,30000000,0,0,630,,unknown,5,5,normal,normal
58570,27000000,0,0,622,,unknown,5,5,normal,normal
58557,5200000,0,0,633,,unknown,5,5,normal,normal
58560,4200000,0,0,622,,unknown,5,5,normal,normal
58568,3200000,6390,0,640,,unknown,5,5,normal,normal
58572,2400000,0,0,637,,unknown,5,5,normal,normal
58577,1800000,0,0,627,,unknown,5,5,normal,normal
58569,1400000,0,0,638,,unknown,5,5,normal,normal
58574,1000000,7840,0,635,,unknown,5,5,normal,normal
58578,660000,0,0,622,,unknown,5,5,normal,normal
58563,650000,0,0,625,,unknown,5,5,normal,normal
58556,460000,49100,0,627,,unknown,5,5,normal,normal
58558,420000,0,0,628,,unknown,5,5,normal,normal
58562,360000,0,0,637,,unknown,5,5,normal,normal
58565,170000,0,0,637,,unknown,5,5,normal,normal
58567,150000,0,0,628,,unknown,5,5,normal,normal
58571,150000,0,0,625,,unknown,5,5,normal,normal
58576,150000,0,0,625,,unknown,5,5,normal,normal
58573,120000,0,0,625,,unknown,5,5,normal,normal
58559,87000,0,0,631,,unknown,5,5,normal,normal
58555,85000,0,0,628,,unknown,5,5,normal,normal
58575,84000,0,0,625,,unknown,5,5,normal,normal
58561,83000,0,0,635,,unknown,5,5,normal,normal
58581,19000000,0,0,634,,unknown,6,6,normal,normal
58580,5000000,0,0,624,,unknown,6,6,normal,normal
58579,4200000,0,0,637,,unknown,6,6,normal,normal
58587,1900000,0,0,630,,unknown,6,6,normal,normal
58601,1900000,0,0,640,,unknown,6,6,normal,normal
58588,1400000,0,0,626,,unknown,6,6,normal,normal
58590,1100000,0,0,624,,unknown,6,6,normal,normal
58589,1000000,0,0,632,,unknown,6,6,normal,normal
58596,650000,0,0,631,,unknown,6,6,normal,normal
58599,460000,0,0,622,,unknown,6,6,normal,normal
58582,420000,0,0,627,,unknown,6,6,normal,normal
58602,420000,0,0,628,,unknown,6,6,normal,normal
58600,84000,283000,0,639,,unknown,6,6,normal,normal
58593,310000,42000,0,630,,unknown,6,6,normal,normal
58597,350000,0,0,622,,unknown,6,6,normal,normal
58595,320000,0,0,638,,unknown,6,6,normal,normal
58583,300000,0,0,622,,unknown,6,6,normal,normal
58592,220000,0,0,637,,unknown,6,6,normal,normal
58594,220000,0,0,639,,unknown,6,6,normal,normal
58598,170000,0,0,632,,unknown,6,6,normal,normal
58586,150000,0,0,626,,unknown,6,6,normal,normal
58591,150000,0,0,630,,unknown,6,6,normal,normal
58584,110000,0,0,629,,unknown,6,6,normal,normal
58585,110000,0,0,624,,unknown,6,6,normal,normal
58614,27000000,0,0,628,,unknown,7,7,normal,normal
58616,4500000,15300,0,628,,unknown,7,7,normal,normal
58610,1900000,0,0,625,,unknown,7,7,normal,normal
58609,1700000,0,0,621,,unknown,7,7,normal,normal
58604,1500000,0,0,634,,unknown,7,7,normal,normal
58615,1500000,0,0,627,,unknown,7,7,normal,normal
58621,360000,959000,0,640,,unknown,7,7,normal,normal
58612,1200000,0,0,636,,unknown,7,7,normal,normal
58620,70000,959000,0,626,,unknown,7,7,normal,normal
58622,1000000,0,0,635,,unknown,7,7,normal,normal
58623,1000000,0,0,633,,unknown,7,7,normal,normal
58618,660000,0,0,623,,unknown,7,7,normal,normal
58607,530000,0,0,624,,unknown,7,7,normal,normal
58619,260000,108000,0,639,,unknown,7,7,normal,normal
58605,110000,256000,0,621,,unknown,7,7,normal,normal
58613,300000,0,0,623,,unknown,7,7,normal,normal
58624,260000,0,0,626,,unknown,7,7,normal,normal
58608,220000,0,0,638,,unknown,7,7,normal,normal
58603,150000,0,0,640,,unknown,7,7,normal,normal
58617,150000,0,0,625,,unknown,7,7,normal,normal
58625,150000,0,0,630,,unknown,7,7,normal,normal
58626,110000,0,0,632,,unknown,7,7,normal,normal
58611,100000,0,0,638,,unknown,7,7,normal,normal
58606,70000,0,0,640,,unknown,7,7,normal,normal
58641,43000000,0,0,628,,unknown,8,8,normal,normal
58636,4200000,0,0,632,,unknown,8,8,normal,normal
58635,3200000,0,0,623,,unknown,8,8,normal,normal
58648,2500000,0,0,634,,unknown,8,8,normal,normal
58629,2000000,0,0,633,,unknown,8,8,normal,normal
58642,1500000,0,0,634,,unknown,8,8,normal,normal
58643,1200000,0,0,633,,unknown,8,8,normal,normal
