block_id,total_gas,total_mev_captured,validator_type,validator_id
1,31647000,70200,attack,1671
2,42777000,624900,attack,1664
3,85343000,35545490,attack,1668
4,23630000,0,normal,1687
5,30308000,16400,normal,1693
6,52724000,0,attack,1662
7,45444000,164300,attack,1659
8,43613000,29640,normal,1693
9,18774000,381000,attack,1674
10,29929000,72900,attack,1658
11,109374000,2211600,normal,1690
12,67034000,14589200,attack,1681
13,32674000,34000,attack,1660
14,28653000,362840,attack,1656
15,39409000,0,normal,1692
16,64699000,59300,attack,1657
17,22765000,13800,normal,1696
18,110329000,434000,attack,1655
19,20567000,0,attack,1657
20,136194000,121000,normal,1693
21,45165000,3410900,attack,1665
22,41041000,672900,attack,1658
23,47062000,445280,attack,1679
24,34208000,84900,normal,1690
25,43147000,778700,normal,1696
26,133442000,150700,attack,1677
27,90435000,14676000,attack,1660
28,153845000,675740,attack,1653
29,30906000,593000,attack,1661
30,38294000,13800,normal,1687
31,23983000,36800,normal,1699
32,16908000,411000,normal,1691
33,17473000,0,attack,1676
34,61042000,70200,attack,1660
35,44510000,405920,normal,1695
36,56292000,1688200,attack,1665
37,97830000,283000,normal,1692
38,38673000,298100,attack,1680
39,61270000,117700,attack,1660
40,89288000,1678840,attack,1684
41,23820000,408400,attack,1661
42,55330000,993280,normal,1692
43,75400000,17040,attack,1683
44,54278000,56400,normal,1692
45,31557000,560600,normal,1686
46,38692000,1591300,attack,1660
47,83059000,744390,attack,1684
48,77684000,1188000,attack,1667
49,174825001,221000,attack,1672
50,65750000,96070,normal,1697
