transaction_id,fee,mev_potential,mev_captured,creator_id,target_tx_id,type_of_user,block_number,block_created,builder_type,transaction_type
387751,0,0,0,316,333609.0,unknown,1,1,attack,b_attack
333609,43000000,32900,0,121,,unknown,1,1,attack,normal
332843,43000000,0,0,125,,unknown,1,1,attack,normal
333067,43000000,0,0,129,,unknown,1,1,attack,normal
333238,43000000,0,0,124,,unknown,1,1,attack,normal
333326,43000000,0,0,124,,unknown,1,1,attack,normal
333347,43000000,0,0,123,,unknown,1,1,attack,normal
333424,43000000,0,0,134,,unknown,1,1,attack,normal
333442,43000000,0,0,130,,unknown,1,1,attack,normal
333757,43000000,0,0,137,,unknown,1,1,attack,normal
333786,43000000,0,0,122,,unknown,1,1,attack,normal
333841,43000000,0,0,133,,unknown,1,1,attack,normal
333846,43000000,0,0,138,,unknown,1,1,attack,normal
332997,30000000,0,0,125,,unknown,1,1,attack,normal
333031,30000000,0,0,137,,unknown,1,1,attack,normal
333229,30000000,0,0,137,,unknown,1,1,attack,normal
333230,30000000,0,0,138,,unknown,1,1,attack,normal
333360,30000000,0,0,136,,unknown,1,1,attack,normal
333436,30000000,0,0,124,,unknown,1,1,attack,normal
333771,30000000,0,0,129,,unknown,1,1,attack,normal
333779,30000000,0,0,137,,unknown,1,1,attack,normal
387752,0,0,0,316,333441.0,unknown,1,1,attack,b_attack
333441,27000000,1100000,0,129,,unknown,1,1,attack,normal
332809,27000000,0,0,135,,unknown,1,1,attack,normal
333382,27000000,0,0,136,,unknown,1,1,attack,normal
333521,27000000,0,0,121,,unknown,1,1,attack,normal
333560,27000000,0,0,138,,unknown,1,1,attack,normal
333589,27000000,0,0,123,,unknown,1,1,attack,normal
333691,27000000,0,0,137,,unknown,1,1,attack,normal
332911,19000000,0,0,127,,unknown,1,1,attack,normal
333048,19000000,0,0,132,,unknown,1,1,attack,normal
333094,19000000,0,0,134,,unknown,1,1,attack,normal
333218,19000000,0,0,126,,unknown,1,1,attack,normal
333845,19000000,0,0,137,,unknown,1,1,attack,normal
387753,0,0,0,316,333219.0,unknown,1,1,attack,b_attack
333219,1000000,17700000,0,127,,unknown,1,1,attack,normal
387754,0,0,0,316,333340.0,unknown,1,1,attack,b_attack
333340,220000,17700000,0,138,,unknown,1,1,attack,normal
387755,0,0,0,316,333653.0,unknown,1,1,attack,b_attack
333653,110000,17700000,0,121,,unknown,1,1,attack,normal
387756,0,0,0,316,333206.0,unknown,1,1,attack,b_attack
333206,2100000,7190000,0,136,,unknown,1,1,attack,normal
387757,0,0,0,316,333711.0,unknown,1,1,attack,b_attack
333711,1000000,7190000,0,135,,unknown,1,1,attack,normal
387758,0,0,0,316,332789.0,unknown,1,1,attack,b_attack
332789,320000,7190000,0,137,,unknown,1,1,attack,normal
387759,0,0,0,316,333685.0,unknown,1,1,attack,b_attack
333685,240000,7190000,0,131,,unknown,1,1,attack,normal
387760,0,0,0,316,333772.0,unknown,1,1,attack,b_attack
333772,6300000,15300,0,130,,unknown,1,1,attack,normal
334358,43000000,369000,0,122,,unknown,2,2,normal,normal
334269,43000000,60700,0,121,,unknown,2,2,normal,normal
334009,43000000,0,0,125,,unknown,2,2,normal,normal
334015,43000000,0,0,131,,unknown,2,2,normal,normal
334106,43000000,0,0,134,,unknown,2,2,normal,normal
334107,43000000,0,0,135,,unknown,2,2,normal,normal
334115,43000000,0,0,121,,unknown,2,2,normal,normal
334314,43000000,0,0,122,,unknown,2,2,normal,normal
334416,43000000,0,0,136,,unknown,2,2,normal,normal
334847,43000000,0,0,127,,unknown,2,2,normal,normal
334937,43000000,0,0,129,,unknown,2,2,normal,normal
334318,30000000,19700,0,126,,unknown,2,2,normal,normal
334938,30000000,11200,0,130,,unknown,2,2,normal,normal
334411,30000000,0,0,131,,unknown,2,2,normal,normal
334468,30000000,0,0,122,,unknown,2,2,normal,normal
334522,30000000,0,0,132,,unknown,2,2,normal,normal
334744,30000000,0,0,134,,unknown,2,2,normal,normal
334831,27000000,195000,0,133,,unknown,2,2,normal,normal
334277,27000000,31700,0,129,,unknown,2,2,normal,normal
333885,27000000,30200,0,133,,unknown,2,2,normal,normal
334283,27000000,0,0,135,,unknown,2,2,normal,normal
334545,27000000,0,0,133,,unknown,2,2,normal,normal
334665,27000000,0,0,121,,unknown,2,2,normal,normal
334093,1800000,17700000,0,121,,unknown,2,2,normal,normal
334913,19000000,6390,0,127,,unknown,2,2,normal,normal
333934,19000000,0,0,138,,unknown,2,2,normal,normal
333974,19000000,0,0,134,,unknown,2,2,normal,normal
333992,19000000,0,0,130,,unknown,2,2,normal,normal
334071,19000000,0,0,121,,unknown,2,2,normal,normal
334145,19000000,0,0,129,,unknown,2,2,normal,normal
334429,19000000,0,0,127,,unknown,2,2,normal,normal
334870,19000000,0,0,128,,unknown,2,2,normal,normal
334563,120000,17700000,0,129,,unknown,2,2,normal,normal
334656,120000,17700000,0,134,,unknown,2,2,normal,normal
334679,110000,17700000,0,135,,unknown,2,2,normal,normal
334497,84000,17700000,0,129,,unknown,2,2,normal,normal
334825,82000,7190000,0,127,,unknown,2,2,normal,normal
334695,6300000,381000,0,129,,unknown,2,2,normal,normal
333888,6300000,322000,0,136,,unknown,2,2,normal,normal
334195,6300000,71800,0,135,,unknown,2,2,normal,normal
332807,6300000,0,0,133,,unknown,2,1,normal,normal
333083,6300000,0,0,123,,unknown,2,1,normal,normal
333114,6300000,0,0,132,,unknown,2,1,normal,normal
333213,5200000,1100000,0,121,,unknown,2,1,normal,normal
333280,6300000,0,0,122,,unknown,2,1,normal,normal
333379,6300000,0,0,133,,unknown,2,1,normal,normal
333414,6300000,0,0,124,,unknown,2,1,normal,normal
333678,6300000,0,0,124,,unknown,2,1,normal,normal
333763,6300000,0,0,121,,unknown,2,1,normal,normal
334257,6300000,0,0,131,,unknown,2,2,normal,normal
335117,43000000,4320000,0,133,,unknown,3,3,normal,normal
335990,43000000,322000,0,126,,unknown,3,3,normal,normal
335838,43000000,31700,0,128,,unknown,3,3,normal,normal
335372,43000000,12800,0,124,,unknown,3,3,normal,normal
335000,43000000,0,0,126,,unknown,3,3,normal,normal
335053,43000000,0,0,135,,unknown,3,3,normal,normal
335067,43000000,0,0,127,,unknown,3,3,normal,normal
335076,43000000,0,0,136,,unknown,3,3,normal,normal
335143,43000000,0,0,137,,unknown,3,3,normal,normal
335281,43000000,0,0,121,,unknown,3,3,normal,normal
335613,43000000,0,0,123,,unknown,3,3,normal,normal
335670,43000000,0,0,136,,unknown,3,3,normal,normal
