block_id,total_gas,total_mev_captured,block_bid,builder_type,builder_id
1,980380000,16568300,3365760813.023592,attack,204
2,1039573000,25602600,7006407349.212606,attack,208
3,1049400000,23400990,10599648012.532389,attack,204
4,1226800000,33545200,14301044354.921522,attack,214
5,879110000,51976400,18411304420.552315,attack,209
6,906543000,96745100,23127589611.634823,attack,212
7,1123000000,1264640,27780472860.54265,attack,208
8,1182000000,959030,32173949597.87014,attack,206
9,1037700000,27961080,35631587551.45073,attack,205
10,1060800000,43181600,39917703749.63956,attack,212
11,904480000,99735000,45671879055.88563,attack,215
12,1329000000,1231980,51614587499.37265,attack,210
13,1304600000,17865370,55516008431.66904,attack,205
14,970490000,53442800,61014959932.39656,attack,205
15,1202600000,19121700,67264444278.90044,attack,211
16,984730000,70941200,68867714077.84703,attack,204
17,1316000000,2074000,77665870198.56107,attack,213
18,1105260000,18815430,83126132127.01233,attack,204
19,1311000000,7476770,88141257325.17462,attack,206
20,1017460000,37736640,90746015437.81195,attack,201
21,1001790000,71838800,98822334163.66339,attack,215
22,1157000000,806720,105368553440.07939,attack,207
23,1192000000,19375200,113595113223.61508,attack,213
24,1136000000,18798040,114491687335.0187,attack,206
25,1089600000,42490880,125530640735.87877,attack,214
26,1318000000,456300,125968996188.13211,attack,207
27,1148280000,35554300,134990128061.56201,attack,202
28,905680000,124155700,144846674600.5828,attack,208
29,1289000000,7961800,150149322652.78656,attack,209
30,1052470000,53722220,149117286360.4493,attack,212
31,1002020000,62024300,158450735019.18512,attack,202
32,903584000,124677280,166897782112.75458,attack,209
33,1146220000,27618600,177841041270.96124,attack,211
34,1165000000,1941680,182938816004.7056,attack,209
35,1365000000,448560,194490552028.21005,attack,212
36,883680000,124876120,195081825424.08124,attack,202
37,1214350000,35753700,207483592124.25653,attack,201
38,992550000,89987200,216270189711.18533,attack,204
39,907521000,124833700,219368122645.69922,attack,205
40,1070650000,41351100,233415237365.20657,attack,212
41,1183000000,8210140,237336124184.52472,attack,204
42,770337000,124566700,233784554093.94257,attack,204
43,1205000000,917300,244361804976.82385,attack,209
44,833380000,90354000,246980008501.83643,attack,209
45,1050460000,36810790,270201364652.53085,attack,203
46,1160720000,33466100,281889518268.40094,attack,212
47,1061471000,85373430,279595377367.58606,attack,206
48,955700000,48910000,290403458188.1313,attack,202
49,1351000000,175300,302281518897.9528,attack,203
50,1120000000,75763920,307255577441.4037,attack,207
