block_id,total_gas,total_mev_captured,block_bid,builder_type
1,82995005.0,0.0,78583089.75527418,attack
2,70250005.0,17700000.0,122016679.00130484,attack
3,177000010.0,0.0,688448797.3076422,attack
4,177000010.0,0.0,1414098230.0,attack
5,177000010.0,0.0,2102674548.0,attack
6,177000010.0,0.0,2793714186.0,attack
7,187600008.0,0.0,3538096624.0,attack
8,178300009.0,0.0,4237083884.0,attack
9,177000010.0,0.0,4923270723.0,attack
10,177000010.0,0.0,5613380161.0,attack
11,177000010.0,0.0,6317668599.0,attack
12,177000010.0,0.0,7006555317.0,attack
13,202300009.0,0.0,7732752155.0,attack
14,187600008.0,0.0,8443760194.0,attack
15,177000010.0,0.0,9138828234.0,attack
16,177000010.0,0.0,9827026272.0,attack
17,177000010.0,0.0,10523069310.0,attack
18,189300009.0,0.0,11246873748.0,attack
19,177000010.0,0.0,11964432387.0,normal
20,189300009.0,0.0,12685032785.0,normal
21,177000010.0,0.0,13366797824.0,normal
22,177000010.0,0.0,14054119702.0,normal
23,202300009.0,0.0,14786938820.0,normal
24,189300009.0,0.0,15469807659.0,normal
25,177000010.0,0.0,16179717698.0,normal
26,189300009.0,0.0,16904982196.0,normal
27,177000010.0,0.0,17593810235.0,normal
28,177000010.0,0.0,18275488593.0,normal
29,178300009.0,0.0,19015858631.0,normal
30,178300009.0,0.0,19741122790.0,normal
31,177000010.0,0.0,20473985429.0,normal
32,189300009.0,0.0,21191426907.0,normal
33,177000010.0,0.0,21869365706.0,normal
34,177000010.0,0.0,22565502144.0,normal
35,177000010.0,0.0,23261467062.0,normal
36,187600008.0,0.0,23990417360.0,normal
37,186300009.0,0.0,24693257400.0,normal
38,202300009.0,0.0,25411750839.0,normal
39,177000010.0,0.0,26071369658.0,normal
40,177000010.0,0.0,26764943696.0,normal
41,178300009.0,0.0,27491526134.0,normal
42,177000010.0,0.0,28187102553.0,normal
43,178300009.0,0.0,28904100591.0,normal
44,178300009.0,0.0,29604780790.0,normal
45,179600008.0,0.0,30328214629.0,normal
46,177000010.0,0.0,31007845549.0,normal
47,177000010.0,0.0,31695508507.0,normal
48,177000010.0,0.0,32379616105.0,normal
49,178300009.0,0.0,33121803743.0,normal
50,203600008.0,0.0,33882947582.0,normal
51,177000010.0,0.0,34541869182.0,normal
52,189300009.0,0.0,35253581580.0,normal
53,177000010.0,0.0,35944004419.0,normal
54,177000010.0,0.0,36647949777.0,normal
55,177000010.0,0.0,37332298215.0,normal
56,178300009.0,0.0,38036530533.0,normal
57,178300009.0,0.0,38792979572.0,normal
58,177000010.0,0.0,39486365431.0,normal
59,202300009.0,0.0,40219760149.0,normal
60,177000010.0,0.0,40880664188.0,normal
61,178300009.0,0.0,41594143486.0,normal
62,177000010.0,0.0,42282004925.0,normal
63,178300009.0,0.0,42989020763.0,normal
64,177000010.0,0.0,43672424602.0,normal
65,178300009.0,0.0,44386469760.0,normal
66,177000010.0,0.0,45066188279.0,normal
67,177000010.0,0.0,45757061697.0,normal
68,186300009.0,0.0,46487471935.0,normal
69,177000010.0,0.0,47170692774.0,normal
70,177000010.0,0.0,47863840192.0,normal
71,177000010.0,0.0,48556994670.0,normal
72,202300009.0,0.0,49289036568.0,normal
73,203600008.0,0.0,50022479207.0,normal
74,186300009.0,0.0,50724408327.0,normal
75,177000010.0,0.0,51438677366.0,normal
76,202300009.0,0.0,52168848484.0,normal
77,177000010.0,0.0,52832714383.0,normal
78,178300009.0,0.0,53538385301.0,normal
79,189300009.0,0.0,54256194140.0,normal
80,177000010.0,0.0,54936350459.0,normal
81,177000010.0,0.0,55618463297.0,normal
82,177000010.0,0.0,56321690335.0,normal
83,195600008.0,0.0,57065058973.0,normal
84,177000010.0,0.0,57745164093.0,normal
85,177000010.0,0.0,58428736111.0,normal
86,177000010.0,0.0,59116953009.0,normal
87,177000010.0,0.0,59834862047.0,normal
88,186300009.0,0.0,60553113145.0,normal
89,177000010.0,0.0,61232594804.0,normal
90,214600008.0,0.0,62007907302.0,normal
91,177000010.0,0.0,62656628582.0,normal
92,202300009.0,0.0,63393308580.0,normal
93,203600008.0,0.0,64128681219.0,normal
94,190600008.0,0.0,64837767219.0,normal
95,177000010.0,0.0,65524467059.0,normal
96,186300009.0,0.0,66233021377.0,normal
97,177000010.0,0.0,66916387456.0,normal
98,202300009.0,0.0,67645351094.0,normal
99,177000010.0,0.0,68309746333.0,normal
100,177000010.0,0.0,68996672651.0,normal
