block_id,total_gas,total_mev_captured,block_bid,validator_type
1,1.7999999999999996,1.0,,normal
2,1.8699999999999997,1.6,,normal
3,1.7999999999999996,2.0,,normal
4,1.6999999999999997,2.0,,normal
5,1.5499999999999998,2.0,,attack
6,1.9499999999999997,2.0,,normal
7,1.6499999999999997,2.0,,normal
8,1.7999999999999996,2.0,,attack
9,1.6999999999999997,2.0,,attack
10,1.7499999999999996,2.0,,attack
11,1.8499999999999996,2.0,,attack
12,1.6999999999999997,2.0,,normal
13,1.6999999999999997,2.0,,attack
14,1.8499999999999996,2.0,,attack
15,1.6999999999999997,2.0,,normal
16,1.7499999999999996,2.0,,normal
17,1.8499999999999996,2.0,,attack
18,1.7999999999999996,2.0,,attack
19,1.8999999999999997,2.0,,attack
20,1.8499999999999996,2.0,,attack
21,1.9499999999999997,2.0,,attack
22,2.1,0.0,,normal
23,2.1,0.0,,attack
24,2.1,0.0,,attack
25,2.1,0.0,,normal
26,2.1,0.0,,normal
27,2.1,0.0,,attack
28,2.1,0.0,,normal
29,2.1,0.0,,attack
30,2.1,0.0,,attack
31,2.1,0.0,,normal
32,2.1,0.0,,normal
33,2.1,0.0,,normal
34,2.1,0.0,,normal
35,2.1,0.0,,normal
36,2.1,0.0,,attack
37,2.1,0.0,,normal
38,2.1,0.0,,normal
39,2.1,0.0,,normal
40,2.1,0.0,,attack
41,2.1,0.0,,attack
42,2.1,0.0,,normal
43,2.1,0.0,,attack
44,2.1,0.0,,normal
45,2.1,0.0,,normal
46,2.1,0.0,,normal
47,2.1,0.0,,attack
48,2.1,0.0,,normal
49,2.1,0.0,,normal
50,2.1,0.0,,normal
