period,miner,block_count
STABLE_PRE_MERGE_2022,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,41
STABLE_PRE_MERGE_2022,0x829BD824B016326A401d083B33D092293333A830,15
STABLE_PRE_MERGE_2022,0x1aD91ee08f21bE3dE0BA2ba6918E714dA6B45836,9
STABLE_PRE_MERGE_2022,0xc730B028dA66EBB14f20e67c68DD809FBC49890D,6
STABLE_PRE_MERGE_2022,0x2DaA35962A6D43EB54C48367b33d0B379C930E5e,5
STABLE_PRE_MERGE_2022,0x52bc44d5378309EE2abF1539BF71dE1b7d7bE3b5,4
STABLE_PRE_MERGE_2022,0x00192Fb10dF37c9FB26829eb2CC623cd1BF599E8,4
STABLE_PRE_MERGE_2022,0xab3B229eB4BcFF881275E7EA2F0FD24eeaC8C83a,3
STABLE_PRE_MERGE_2022,0x7F101fE45e6649A6fB8F3F8B43ed03D353f2B90c,3
STABLE_PRE_MERGE_2022,0xd757fd54b273BB1234d4d9993f27699d28d0EDD2,3
STABLE_PRE_MERGE_2022,0x2A20380DcA5bC24D052acfbf79ba23e988ad0050,2
STABLE_PRE_MERGE_2022,0x5b310960a7922092fdCB9295ece336012F9CF87e,2
STABLE_PRE_MERGE_2022,0xc365c3315cF926351CcAf13fA7D19c8C4058C8E1,2
STABLE_PRE_MERGE_2022,0x3EcEf08D0e2DaD803847E052249bb4F8bFf2D5bB,2
STABLE_PRE_MERGE_2022,0x28846f1Ec065eEa239152213373bb58B1C9Fc93B,2
STABLE_PRE_MERGE_2022,0x4F9bEBE3adC3c7f647C0023C60f91AC9dfFA52d5,1
STABLE_PRE_MERGE_2022,0x4069e799Da927C06b430e247b2ee16C03e8B837d,1
STABLE_PRE_MERGE_2022,0xCD458d7F11023556cC9058F729831a038Cb8Df9c,1
STABLE_PRE_MERGE_2022,0x8B4de256180CFEC54c436A470AF50F9EE2813dbB,1
STABLE_PRE_MERGE_2022,0xB7e390864a90b7b923C9f9310C6F98aafE43F707,1
STABLE_PRE_MERGE_2022,0xc93452A74e596e81E4f73Ca1AcFF532089AD4c62,1
STABLE_PRE_MERGE_2022,0x5B56F09e7D6272FC014f8526A5290700c5Bb302b,1
STABLE_PRE_MERGE_2022,0x0c7213bac2B9e7b99ABa344243C9de84227911Be,1
STABLE_PRE_MERGE_2022,0x7777788200B672A42421017F65EDE4Fc759564C8,1
STABLE_PRE_MERGE_2022,0x646dB8ffC21e7ddc2B6327448dd9Fa560Df41087,1
STABLE_POST_MERGE_2022,0x690B9A9E9aa1C9dB991C7721a92d351Db4FaC990,49
STABLE_POST_MERGE_2022,0xFeebabE6b0418eC13b30aAdF129F5DcDd4f70CeA,18
