period,block_number,num_transactions,inversion_count,inversion_rate,max_possible_inversions
STABLE_PRE_MERGE_2022,15000000,348,2663,0.04410546887939316,60378
STABLE_PRE_MERGE_2022,15000001,229,0,0.0,26106
STABLE_PRE_MERGE_2022,15000002,138,274,0.028985507246376812,9453
STABLE_PRE_MERGE_2022,15000003,185,1273,0.07479435957696827,17020
STABLE_PRE_MERGE_2022,15000004,179,178,0.0111731843575419,15931
STABLE_PRE_MERGE_2022,15000005,259,308,0.009218520846427823,33411
STABLE_PRE_MERGE_2022,15000006,223,89,0.0035955237748959723,24753
STABLE_PRE_MERGE_2022,15000007,251,1,3.187250996015936e-05,31375
STABLE_PRE_MERGE_2022,15000008,414,851,0.009954264191552327,85491
STABLE_PRE_MERGE_2022,15000009,606,1130,0.0061642527889152554,183315
STABLE_PRE_MERGE_2022,15000010,63,0,0.0,1953
STABLE_PRE_MERGE_2022,15000011,421,0,0.0,88410
STABLE_PRE_MERGE_2022,15000012,272,1125,0.03052420230084654,36856
STABLE_PRE_MERGE_2022,15000013,70,0,0.0,2415
STABLE_PRE_MERGE_2022,15000014,144,1444,0.14024864024864026,10296
STABLE_PRE_MERGE_2022,15000015,347,2039,0.03396578434475521,60031
STABLE_PRE_MERGE_2022,15000016,357,711,0.011188745160985742,63546
STABLE_PRE_MERGE_2022,15000017,36,35,0.05555555555555555,630
STABLE_PRE_MERGE_2022,15000018,236,1677,0.06047601875225388,27730
STABLE_PRE_MERGE_2022,15000019,170,17,0.001183431952662722,14365
STABLE_PRE_MERGE_2022,15000020,57,108,0.06766917293233082,1596
STABLE_PRE_MERGE_2022,15000021,232,1431,0.05340349305866547,26796
STABLE_PRE_MERGE_2022,15000022,85,0,0.0,3570
STABLE_PRE_MERGE_2022,15000023,23,97,0.383399209486166,253
STABLE_PRE_MERGE_2022,15000024,260,1028,0.030531630531630532,33670
STABLE_PRE_MERGE_2022,15000025,0,0,0.0,0
STABLE_PRE_MERGE_2022,15000026,64,0,0.0,2016
STABLE_PRE_MERGE_2022,15000027,317,397,0.007926366649363095,50086
STABLE_PRE_MERGE_2022,15000028,252,659,0.020837285777524823,31626
STABLE_PRE_MERGE_2022,15000029,123,122,0.016260162601626018,7503
STABLE_PRE_MERGE_2022,15000030,170,0,0.0,14365
STABLE_PRE_MERGE_2022,15000031,215,636,0.027646163877417952,23005
STABLE_PRE_MERGE_2022,15000032,373,1246,0.01795958372971259,69378
STABLE_PRE_MERGE_2022,15000033,206,435,0.020601468150603836,21115
STABLE_PRE_MERGE_2022,15000034,121,1543,0.21253443526170798,7260
STABLE_PRE_MERGE_2022,15000035,449,238,0.002366369710467706,100576
STABLE_PRE_MERGE_2022,15000036,256,531,0.016268382352941178,32640
STABLE_PRE_MERGE_2022,15000037,373,2955,0.04259275274582721,69378
STABLE_PRE_MERGE_2022,15000038,218,713,0.03014416775884666,23653
STABLE_PRE_MERGE_2022,15000039,147,423,0.03941850712887895,10731
STABLE_PRE_MERGE_2022,15000040,55,15,0.010101010101010102,1485
STABLE_PRE_MERGE_2022,15000041,70,177,0.07329192546583851,2415
STABLE_PRE_MERGE_2022,15000042,136,855,0.09313725490196079,9180
STABLE_PRE_MERGE_2022,15000043,83,156,0.04584190420217455,3403
STABLE_PRE_MERGE_2022,15000044,97,20,0.00429553264604811,4656
