period,gas_fee_gwei
STABLE_PRE_MERGE_2022,61012291.0
STABLE_PRE_MERGE_2022,21034402.0
STABLE_PRE_MERGE_2022,18874526.0
STABLE_PRE_MERGE_2022,10660065.0
STABLE_PRE_MERGE_2022,8827470.0
STABLE_PRE_MERGE_2022,8098450.0
STABLE_PRE_MERGE_2022,6906432.0
STABLE_PRE_MERGE_2022,6454799.0
STABLE_PRE_MERGE_2022,6284253.0
STABLE_PRE_MERGE_2022,5744428.0
STABLE_PRE_MERGE_2022,4605658.0
STABLE_PRE_MERGE_2022,4469410.0
STABLE_PRE_MERGE_2022,4384275.0
STABLE_PRE_MERGE_2022,3523809.0
STABLE_PRE_MERGE_2022,3467014.0
STABLE_PRE_MERGE_2022,2606747.0
STABLE_PRE_MERGE_2022,2216013.0
STABLE_PRE_MERGE_2022,2069991.0
STABLE_PRE_MERGE_2022,1912734.0
STABLE_PRE_MERGE_2022,1859687.0
STABLE_PRE_MERGE_2022,1836070.0
STABLE_PRE_MERGE_2022,1825119.0
STABLE_PRE_MERGE_2022,1807090.0
STABLE_PRE_MERGE_2022,1643746.0
STABLE_PRE_MERGE_2022,1515647.0
STABLE_PRE_MERGE_2022,1378643.0
STABLE_PRE_MERGE_2022,1359716.0
STABLE_PRE_MERGE_2022,1304892.0
STABLE_PRE_MERGE_2022,1200000.0
STABLE_PRE_MERGE_2022,908638.0
STABLE_PRE_MERGE_2022,839093.0
STABLE_PRE_MERGE_2022,771834.0
STABLE_PRE_MERGE_2022,768236.0
STABLE_PRE_MERGE_2022,761773.0
STABLE_PRE_MERGE_2022,661016.0
STABLE_PRE_MERGE_2022,569969.0
STABLE_PRE_MERGE_2022,459106.0
STABLE_PRE_MERGE_2022,459106.0
STABLE_PRE_MERGE_2022,416358.0
STABLE_PRE_MERGE_2022,407475.0
STABLE_PRE_MERGE_2022,389388.0
STABLE_PRE_MERGE_2022,339463.0
STABLE_PRE_MERGE_2022,309945.0
STABLE_PRE_MERGE_2022,23708513.0
STABLE_PRE_MERGE_2022,15256079.0
STABLE_PRE_MERGE_2022,10134108.0
