period,validator_id,block_count
STABLE_PRE_MERGE_2022,validator_17,81
STABLE_PRE_MERGE_2022,validator_6,78
STABLE_PRE_MERGE_2022,validator_9,72
STABLE_PRE_MERGE_2022,validator_11,70
STABLE_PRE_MERGE_2022,validator_2,63
STABLE_PRE_MERGE_2022,validator_18,61
STABLE_PRE_MERGE_2022,validator_14,60
STABLE_PRE_MERGE_2022,validator_4,56
STABLE_PRE_MERGE_2022,validator_16,55
STABLE_PRE_MERGE_2022,validator_12,54
STABLE_PRE_MERGE_2022,validator_10,52
STABLE_PRE_MERGE_2022,validator_13,45
STABLE_PRE_MERGE_2022,validator_1,43
STABLE_PRE_MERGE_2022,validator_0,39
STABLE_PRE_MERGE_2022,validator_19,37
STABLE_PRE_MERGE_2022,validator_3,34
STABLE_PRE_MERGE_2022,validator_5,30
STABLE_PRE_MERGE_2022,validator_15,27
STABLE_PRE_MERGE_2022,validator_7,23
STABLE_PRE_MERGE_2022,validator_8,20
STABLE_POST_MERGE_2022,validator_17,81
STABLE_POST_MERGE_2022,validator_6,79
STABLE_POST_MERGE_2022,validator_9,72
STABLE_POST_MERGE_2022,validator_11,70
STABLE_POST_MERGE_2022,validator_2,63
STABLE_POST_MERGE_2022,validator_14,61
STABLE_POST_MERGE_2022,validator_18,61
STABLE_POST_MERGE_2022,validator_4,55
STABLE_POST_MERGE_2022,validator_12,54
STABLE_POST_MERGE_2022,validator_16,52
STABLE_POST_MERGE_2022,validator_10,51
STABLE_POST_MERGE_2022,validator_13,46
STABLE_POST_MERGE_2022,validator_1,42
STABLE_POST_MERGE_2022,validator_0,39
STABLE_POST_MERGE_2022,validator_19,38
STABLE_POST_MERGE_2022,validator_3,33
STABLE_POST_MERGE_2022,validator_5,30
STABLE_POST_MERGE_2022,validator_15,27
STABLE_POST_MERGE_2022,validator_7,26
STABLE_POST_MERGE_2022,validator_8,20
STABLE_POST_MERGE_2023,validator_17,81
STABLE_POST_MERGE_2023,validator_6,78
STABLE_POST_MERGE_2023,validator_9,72
STABLE_POST_MERGE_2023,validator_11,69
STABLE_POST_MERGE_2023,validator_2,63
STABLE_POST_MERGE_2023,validator_14,60
STABLE_POST_MERGE_2023,validator_18,60
STABLE_POST_MERGE_2023,validator_4,56
STABLE_POST_MERGE_2023,validator_12,54
STABLE_POST_MERGE_2023,validator_13,51
STABLE_POST_MERGE_2023,validator_10,50
STABLE_POST_MERGE_2023,validator_16,48
STABLE_POST_MERGE_2023,validator_1,41
STABLE_POST_MERGE_2023,validator_0,41
STABLE_POST_MERGE_2023,validator_19,39
STABLE_POST_MERGE_2023,validator_3,32
STABLE_POST_MERGE_2023,validator_7,30
STABLE_POST_MERGE_2023,validator_15,27
STABLE_POST_MERGE_2023,validator_5,27
STABLE_POST_MERGE_2023,validator_8,21
FTX_COLLAPSE_NOV_2022,validator_17,81
FTX_COLLAPSE_NOV_2022,validator_6,78
FTX_COLLAPSE_NOV_2022,validator_9,71
FTX_COLLAPSE_NOV_2022,validator_11,69
FTX_COLLAPSE_NOV_2022,validator_2,62
FTX_COLLAPSE_NOV_2022,validator_14,59
FTX_COLLAPSE_NOV_2022,validator_18,59
FTX_COLLAPSE_NOV_2022,validator_4,57
FTX_COLLAPSE_NOV_2022,validator_12,54
FTX_COLLAPSE_NOV_2022,validator_13,51
FTX_COLLAPSE_NOV_2022,validator_10,50
FTX_COLLAPSE_NOV_2022,validator_16,50
FTX_COLLAPSE_NOV_2022,validator_0,42
FTX_COLLAPSE_NOV_2022,validator_1,41
FTX_COLLAPSE_NOV_2022,validator_19,39
FTX_COLLAPSE_NOV_2022,validator_3,33
FTX_COLLAPSE_NOV_2022,validator_7,30
FTX_COLLAPSE_NOV_2022,validator_15,27
FTX_COLLAPSE_NOV_2022,validator_5,26
FTX_COLLAPSE_NOV_2022,validator_8,21
LUNA_CRASH_MAY_2022,validator_17,81
LUNA_CRASH_MAY_2022,validator_6,80
LUNA_CRASH_MAY_2022,validator_9,72
LUNA_CRASH_MAY_2022,validator_11,71
LUNA_CRASH_MAY_2022,validator_2,63
LUNA_CRASH_MAY_2022,validator_14,62
LUNA_CRASH_MAY_2022,validator_18,62
LUNA_CRASH_MAY_2022,validator_16,56
LUNA_CRASH_MAY_2022,validator_4,54
LUNA_CRASH_MAY_2022,validator_12,54
LUNA_CRASH_MAY_2022,validator_10,52
LUNA_CRASH_MAY_2022,validator_1,43
LUNA_CRASH_MAY_2022,validator_13,41
LUNA_CRASH_MAY_2022,validator_19,37
LUNA_CRASH_MAY_2022,validator_0,37
LUNA_CRASH_MAY_2022,validator_3,34
LUNA_CRASH_MAY_2022,validator_5,33
LUNA_CRASH_MAY_2022,validator_15,27
LUNA_CRASH_MAY_2022,validator_7,22
LUNA_CRASH_MAY_2022,validator_8,19
USDC_DEPEG_MARCH_2023,validator_17,81
USDC_DEPEG_MARCH_2023,validator_6,79
USDC_DEPEG_MARCH_2023,validator_9,72
USDC_DEPEG_MARCH_2023,validator_11,70
USDC_DEPEG_MARCH_2023,validator_2,65
USDC_DEPEG_MARCH_2023,validator_18,62
USDC_DEPEG_MARCH_2023,validator_14,61
USDC_DEPEG_MARCH_2023,validator_4,55
USDC_DEPEG_MARCH_2023,validator_16,55
USDC_DEPEG_MARCH_2023,validator_12,55
USDC_DEPEG_MARCH_2023,validator_10,53
USDC_DEPEG_MARCH_2023,validator_1,44
USDC_DEPEG_MARCH_2023,validator_13,41
USDC_DEPEG_MARCH_2023,validator_19,37
USDC_DEPEG_MARCH_2023,validator_0,37
USDC_DEPEG_MARCH_2023,validator_3,32
USDC_DEPEG_MARCH_2023,validator_5,31
USDC_DEPEG_MARCH_2023,validator_15,27
USDC_DEPEG_MARCH_2023,validator_7,23
USDC_DEPEG_MARCH_2023,validator_8,20
