Block Number,Proposer ID,Builder ID,Winning Bid Value,Winning Block Value,Reward,Builder ID 1 Bid,Builder ID 2 Bid,Builder ID 3 Bid,Builder ID 4 Bid,Builder ID 5 Bid,Builder ID 10 Bid,Builder ID 30 Bid,Builder ID 50 Bid,Builder ID 70 Bid,Builder ID 90 Bid,Builder ID 1 Block Value,Builder ID 2 Block Value,Builder ID 3 Block Value,Builder ID 4 Block Value,Builder ID 5 Block Value,Builder ID 10 Block Value,Builder ID 30 Block Value,Builder ID 50 Block Value,Builder ID 70 Block Value,Builder ID 90 Block Value
1,50,5,440,525.294,85.2944,0,160,104,45,440,85,224,118,382,5,0,202.266,169.708,54.2298,525.294,115.39,229.452,151.876,383.764,5.33706
2,10,10,549.158,549.158,549.158,0,0,440.788,0,392,440.579,440.489,440.198,440.967,440.115,205.663,214.972,497.576,254.374,665.225,549.158,528.978,612.397,675.933,662.23
3,30,30,799.466,799.466,799.466,549.84,549.756,549.577,550.092,549.417,440.019,549.733,549.441,549.272,549.381,591.681,661.513,757.154,782.185,702.833,596.039,799.466,712.882,644.545,750.762
4,30,30,702.943,702.943,702.943,0,0,0,0,0,0,549.472,0,0,0,602.335,661.036,769.758,569.089,754.726,594.576,702.943,685.839,762.647,763.108
5,1,5,703.333,732.666,29.3332,0,0,0,0,703.333,0,549.994,0,0,0,555.034,513.822,667.933,621.323,732.666,597.865,659.987,675.645,731.927,756.961
6,70,5,703.085,716.17,13.0848,0,0,0,0,703.085,0,0,0,0,0,512.372,477.183,534.856,533.922,716.169,601.192,643.876,624.244,616.928,589.463
7,90,90,597.457,597.457,597.457,0,0,0,0,0,0,0,0,0,0,581.899,438.343,574.777,572.962,573.676,638.818,606.666,609.927,667.116,597.457
8,4,4,753.04,753.04,753.04,0,0,0,0,703.515,703.636,0,0,0,0,553.365,718.577,648.648,753.04,765.031,715.271,663.456,745.991,630.835,662.332
9,70,70,737.833,737.833,737.833,0,0,0,0,703.747,0,0,0,0,0,602.834,600.867,727.762,541.77,753.493,681.084,630.573,662.809,737.833,642.271
10,50,5,703.571,787.142,83.571,0,0,0,0,703.571,0,0,0,0,0,432.872,468.448,750.037,455.576,787.142,635.493,499.822,492.761,524.83,757.331
11,2,2,522.624,522.624,522.624,0,0,0,0,0,0,0,0,0,0,577.807,522.624,590.299,446.613,569.058,554.74,489.505,525.806,560.884,570.813
12,10,10,527.404,527.404,527.404,0,0,0,0,0,0,0,0,0,0,499.949,382.109,593.854,400.568,464.903,527.404,526.584,513.113,600.585,610.307
13,2,2,553.498,553.498,553.498,0,0,0,0,0,0,0,0,0,0,548.424,553.498,661.223,606.474,648.16,608.095,670.05,734.668,720.418,774.613
14,5,90,800.264,816.528,16.2642,0,0,0,0,703.756,0,0,0,0,800.264,544.041,440.429,754.008,657.926,731.513,665.889,598.187,719.494,713.367,816.528
15,30,30,353.775,353.775,353.775,0,0,0,0,0,0,0,0,0,0,327.468,328.26,430.451,400.577,446.385,426.552,353.775,413.967,515.463,463.048
16,50,50,743.398,743.398,743.398,0,0,0,0,0,0,0,0,0,0,477.059,543.076,530.332,365.426,605.765,580.72,497.993,743.398,565.446,622.523
17,70,70,562.212,562.212,562.212,0,0,0,0,0,0,0,0,0,0,333.303,333.303,416.838,377.879,416.838,510.627,387.324,437.329,562.212,466.027
18,4,4,316.546,316.546,316.546,0,0,0,0,0,0,0,0,0,0,234.051,349.385,491.202,316.546,338.974,404.997,382.723,378.399,404.997,456.703
