Block Number,Proposer ID,Builder ID,Winning Bid Value,Winning Block Value,Reward
1,24576,5,6.9516e-310,664.242,664.242
2,24576,50,5.21502e-310,769.337,769.337
3,24576,2,6.9516e-310,757.355,757.355
4,24576,1,6.9516e-310,643.825,643.825
5,24576,30,5.21502e-310,864.457,864.457
6,24576,5,6.9516e-310,786.532,786.532
7,24576,3,6.9516e-310,767.247,767.247
8,24576,30,5.21502e-310,761.603,761.603
9,24576,90,5.21502e-310,836.043,836.043
10,24576,2,6.9516e-310,618.068,618.068
11,24576,4,6.9516e-310,539.803,539.803
12,24576,5,6.9516e-310,889.633,889.633
13,24576,10,5.21502e-310,807.323,807.323
14,24576,70,5.21502e-310,721.655,721.655
15,24576,2,6.9516e-310,426.723,426.723
16,24576,3,6.9516e-310,738.307,738.307
17,24576,90,5.21502e-310,551.652,551.652
18,24576,5,6.9516e-310,561.063,561.063
19,24576,90,5.21502e-310,693.854,693.854
20,24576,70,5.21502e-310,688.06,688.06
21,24576,10,5.21502e-310,528.932,528.932
22,24576,10,5.21502e-310,544.629,544.629
23,24576,50,5.21502e-310,552.455,552.455
24,24576,50,5.21502e-310,560.469,560.469
25,24576,3,6.9516e-310,647.287,647.287
26,24576,5,6.9516e-310,625.416,625.416
27,24576,70,5.21502e-310,411.845,411.845
28,24576,70,5.21502e-310,775.809,775.809
29,24576,4,6.9516e-310,381.84,381.84
30,24576,10,5.21502e-310,604.282,604.282
31,24576,3,6.9516e-310,606.32,606.32
32,24576,50,5.21502e-310,456.324,456.324
33,24576,50,5.21502e-310,496.021,496.021
34,24576,2,6.9516e-310,515.319,515.319
35,24576,10,5.21502e-310,568.087,568.087
36,24576,2,6.9516e-310,538.059,538.059
37,24576,90,5.21502e-310,562.329,562.329
38,24576,90,5.21502e-310,526.267,526.267
39,24576,3,6.9516e-310,761.52,761.52
40,24576,10,5.21502e-310,491.392,491.392
41,24576,10,5.21502e-310,608.015,608.016
42,24576,30,5.21502e-310,448.752,448.752
43,24576,50,5.21502e-310,556.153,556.153
44,24576,90,5.21502e-310,563.234,563.234
45,24576,90,5.21502e-310,367.953,367.953
46,24576,3,6.9516e-310,490.485,490.485
47,24576,1,6.9516e-310,387.261,387.261
48,24576,10,5.21502e-310,445.91,445.91
49,24576,30,5.21502e-310,334.339,334.339
50,24576,3,6.9516e-310,715.761,715.761
51,24576,70,5.21502e-310,468.476,468.476
52,24576,90,5.21502e-310,664.563,664.563
53,24576,50,5.21502e-310,560.592,560.592
54,24576,1,6.9516e-310,493.02,493.02
55,24576,90,5.21502e-310,485.626,485.626
56,24576,70,5.21502e-310,708.621,708.621
57,24576,90,5.21502e-310,538.18,538.18
58,24576,4,6.9516e-310,252.117,252.117
59,24576,1,6.9516e-310,565.457,565.457
60,24576,10,5.21502e-310,623.703,623.703
61,24576,1,6.9516e-310,469.049,469.049
62,24576,50,5.21502e-310,519.936,519.936
63,24576,5,6.9516e-310,814.494,814.494
64,24576,5,6.9516e-310,548.331,548.331
65,24576,70,5.21502e-310,553.333,553.333
66,24576,10,5.21502e-310,688.913,688.913
67,24576,4,6.9516e-310,430.312,430.312
68,24576,90,5.21502e-310,694.539,694.539
69,24576,50,5.21502e-310,647.918,647.918
70,24576,2,6.9516e-310,338.153,338.153
71,24576,5,6.9516e-310,583.659,583.659
72,24576,30,5.21502e-310,396.14,396.14
73,24576,50,5.21502e-310,478.788,478.788
74,24576,10,5.21502e-310,571.06,571.06
75,24576,90,5.21502e-310,507.099,507.099
76,24576,1,6.9516e-310,564.422,564.422
77,24576,5,6.9516e-310,405.642,405.642
78,24576,90,5.21502e-310,455.002,455.002
79,24576,90,5.21502e-310,509.757,509.757
80,24576,2,6.9516e-310,262.325,262.325
81,24576,90,5.21502e-310,723.092,723.092
82,24576,10,5.21502e-310,524.346,524.346
83,24576,5,6.9516e-310,645.579,645.579
84,24576,50,5.21502e-310,497.537,497.537
85,24576,30,5.21502e-310,520.381,520.381
86,24576,3,6.9516e-310,621.87,621.87
87,24576,4,6.9516e-310,196.676,196.676
88,24576,50,5.21502e-310,697.032,697.032
89,24576,30,5.21502e-310,325.178,325.178
90,24576,70,5.21502e-310,585.477,585.477
91,24576,2,6.9516e-310,296.47,296.47
92,24576,70,5.21502e-310,886.618,886.618
93,24576,1,6.9516e-310,348.267,348.267
94,24576,3,6.9516e-310,767.633,767.633
95,24576,2,6.9516e-310,490.909,490.909
96,24576,5,6.9516e-310,643.848,643.848
97,24576,50,5.21502e-310,679.988,679.988
98,24576,50,5.21502e-310,327.901,327.901
99,24576,70,5.21502e-310,699.398,699.398
100,24576,50,5.21502e-310,650.334,650.334
101,24576,30,5.21502e-310,523.574,523.574
102,24576,2,6.9516e-310,342.155,342.155
103,24576,50,5.21502e-310,628.887,628.888
104,24576,30,5.21502e-310,489.549,489.549
105,24576,1,6.9516e-310,261.447,261.447
106,24576,70,5.21502e-310,481.449,481.449
107,24576,3,6.9516e-310,636.562,636.562
108,24576,3,6.9516e-310,423.071,423.071
109,24576,4,6.9516e-310,199.868,199.868
110,24576,2,6.9516e-310,562.997,562.997
111,24576,1,6.9516e-310,526.686,526.686
112,24576,2,6.9516e-310,270.483,270.483
113,24576,3,6.9516e-310,728.516,728.516
114,24576,90,5.21502e-310,534.5,534.5
115,24576,90,5.21502e-310,561.767,561.767
116,24576,50,5.21502e-310,541.522,541.522
117,24576,10,5.21502e-310,627.996,627.996
118,24576,50,5.21502e-310,589.762,589.761
119,24576,90,5.21502e-310,494.837,494.837
120,24576,10,5.21502e-310,578.633,578.633
121,24576,50,5.21502e-310,560.251,560.251
122,24576,4,6.9516e-310,281.875,281.875
123,24576,1,6.9516e-310,382.251,382.251
124,24576,10,5.21502e-310,495.073,495.073
125,24576,3,6.9516e-310,538.663,538.663
126,24576,5,6.9516e-310,578.629,578.629
127,24576,4,6.9516e-310,108.388,108.388
128,24576,10,5.21502e-310,632.962,632.962
129,24576,1,6.9516e-310,511.125,511.125
130,24576,50,5.21502e-310,727.021,727.021
131,24576,30,5.21502e-310,661.014,661.014
132,24576,50,5.21502e-310,664.676,664.676
133,24576,1,6.9516e-310,379.359,379.359
134,24576,90,5.21502e-310,748.463,748.463
135,24576,2,6.9516e-310,424.82,424.82
136,24576,10,5.21502e-310,599.339,599.339
137,24576,10,5.21502e-310,394.918,394.918
138,24576,3,6.9516e-310,681.24,681.24
139,24576,2,6.9516e-310,303.843,303.843
140,24576,30,5.21502e-310,588.136,588.136
141,24576,10,5.21502e-310,393.354,393.354
142,24576,50,5.21502e-310,446.552,446.552
143,24576,1,6.9516e-310,554.502,554.502
144,24576,1,6.9516e-310,340.526,340.526
145,24576,50,5.21502e-310,637.444,637.444
146,24576,5,6.9516e-310,542.134,542.134
147,24576,90,5.21502e-310,479.106,479.106
148,24576,50,5.21502e-310,658.158,658.158
149,24576,70,5.21502e-310,560.384,560.384
150,24576,1,6.9516e-310,281.018,281.018
151,24576,50,5.21502e-310,557.73,557.73
152,24576,70,5.21502e-310,401.937,401.937
153,24576,10,5.21502e-310,365.847,365.847
154,24576,30,5.21502e-310,535.595,535.595
155,24576,4,6.9516e-310,192.952,192.952
156,24576,90,5.21502e-310,759.824,759.824
157,24576,90,5.21502e-310,678.322,678.322
158,24576,3,6.9516e-310,513.277,513.277
159,24576,1,6.9516e-310,375.689,375.689
160,24576,90,5.21502e-310,772.509,772.509
161,24576,3,6.9516e-310,720.903,720.903
162,24576,2,6.9516e-310,506.801,506.801
163,24576,10,5.21502e-310,575.497,575.497
164,24576,1,6.9516e-310,513.787,513.787
165,24576,4,6.9516e-310,359.217,359.217
166,24576,90,5.21502e-310,654.338,654.338
167,24576,30,5.21502e-310,453.166,453.166
168,24576,90,5.21502e-310,374.318,374.318
169,24576,4,6.9516e-310,394.713,394.713
170,24576,3,6.9516e-310,395.785,395.785
171,24576,70,5.21502e-310,712.023,712.023
172,24576,5,6.9516e-310,509.129,509.129
173,24576,5,6.9516e-310,366.119,366.119
174,24576,30,5.21502e-310,415.641,415.641
175,24576,5,6.9516e-310,633.213,633.213
176,24576,2,6.9516e-310,397.972,397.972
177,24576,1,6.9516e-310,545.264,545.264
178,24576,70,5.21502e-310,754.668,754.668
