block_num,validator_id,total_gas_fee,total_mev_available
0,validator_6,553324306,3054
1,validator_10,243824998,24141
2,validator_18,223527585,93095
3,validator_7,285050274,5586
4,validator_16,235962780,108881
5,validator_10,414123457,3556
6,validator_18,405246514,11966
7,validator_8,337852183,6007
8,validator_4,310046024,10119
9,validator_3,339896578,3073
10,validator_2,346044933,249982
11,validator_11,402608182,15966
12,validator_17,260037719,4865
13,validator_9,480568869,129119
14,validator_6,268189837,8420
15,validator_1,214107102,257543
16,validator_19,373773138,113261
17,validator_6,363911364,3957
18,validator_11,508084198,13599
19,validator_18,247972876,33161
20,validator_8,624875444,2065
21,validator_13,235428346,15298
22,validator_11,250834241,1361
23,validator_6,267402254,43231
24,validator_13,716718595,109378
25,validator_9,220908745,6837
26,validator_12,465962885,15430
27,validator_2,219800722,1886
28,validator_9,271964513,23484
29,validator_11,494497661,36693
30,validator_16,322841757,34794
31,validator_4,334366376,264443
32,validator_2,280552138,140839
33,validator_9,249707939,535406
34,validator_14,300860837,5051982
35,validator_6,263078073,11778
36,validator_15,478598671,112655
37,validator_12,274773055,10524
38,validator_4,1509643094,9489
39,validator_18,134161644,20684
40,validator_3,302583504,49829
41,validator_11,204905404,3011
42,validator_15,827078732,25048
43,validator_2,267335530,37432
44,validator_4,249613026,31854
45,validator_4,242620037,13729
46,validator_14,236132714,5013158
47,validator_6,603920588,10268
48,validator_17,213264740,4679
49,validator_9,263914937,11161
50,validator_10,252454381,9722
51,validator_17,471674681,13861
52,validator_10,405110006,2845
53,validator_12,308736528,15322
54,validator_17,345523507,18147
55,validator_2,346550085,23686
56,validator_6,553324306,3054
57,validator_10,243824998,24141
58,validator_18,223527585,93095
59,validator_7,285050274,5586
60,validator_16,235962780,108881
61,validator_10,414123457,3556
62,validator_18,405246514,11966
63,validator_8,337852183,6007
64,validator_4,310046024,10119
65,validator_3,339896578,3073
66,validator_2,346044933,249982
67,validator_11,402608182,15966
68,validator_17,260037719,4865
69,validator_9,480568869,129119
70,validator_6,268189837,8420
71,validator_1,214107102,257543
72,validator_19,373773138,113261
73,validator_6,363911364,3957
74,validator_11,508084198,13599
75,validator_18,247972876,33161
76,validator_8,624875444,2065
77,validator_13,235428346,15298
78,validator_11,250834241,1361
79,validator_6,267402254,43231
80,validator_13,716718595,109378
81,validator_9,220908745,6837
82,validator_12,465962885,15430
83,validator_2,219800722,1886
84,validator_6,553324306,3054
85,validator_10,243824998,24141
86,validator_18,223527585,93095
87,validator_7,285050274,5586
88,validator_16,235962780,108881
89,validator_10,414123457,3556
90,validator_18,405246514,11966
91,validator_8,337852183,6007
92,validator_4,310046024,10119
93,validator_3,339896578,3073
94,validator_2,346044933,249982
95,validator_11,402608182,15966
96,validator_17,260037719,4865
97,validator_9,480568869,129119
98,validator_6,268189837,8420
99,validator_1,214107102,257543
100,validator_19,373773138,113261
101,validator_6,363911364,3957
102,validator_11,508084198,13599
103,validator_18,247972876,33161
104,validator_8,624875444,2065
105,validator_13,235428346,15298
106,validator_11,250834241,1361
107,validator_6,267402254,43231
108,validator_13,716718595,109378
109,validator_9,220908745,6837
110,validator_12,465962885,15430
111,validator_2,219800722,1886
112,validator_6,553324306,3054
113,validator_10,243824998,24141
114,validator_18,223527585,93095
115,validator_7,285050274,5586
116,validator_16,235962780,108881
117,validator_10,414123457,3556
118,validator_18,405246514,11966
119,validator_8,337852183,6007
120,validator_4,310046024,10119
121,validator_3,339896578,3073
122,validator_2,346044933,249982
123,validator_11,402608182,15966
124,validator_17,260037719,4865
125,validator_9,480568869,129119
126,validator_6,268189837,8420
127,validator_1,214107102,257543
128,validator_19,373773138,113261
129,validator_6,363911364,3957
130,validator_11,508084198,13599
131,validator_18,247972876,33161
132,validator_8,624875444,2065
133,validator_13,235428346,15298
134,validator_11,250834241,1361
135,validator_6,267402254,43231
136,validator_13,716718595,109378
137,validator_9,220908745,6837
138,validator_12,465962885,15430
139,validator_2,219800722,1886
140,validator_6,553324306,3054
141,validator_10,243824998,24141
142,validator_18,223527585,93095
143,validator_7,285050274,5586
144,validator_16,235962780,108881
145,validator_10,414123457,3556
146,validator_18,405246514,11966
147,validator_8,337852183,6007
148,validator_4,310046024,10119
149,validator_3,339896578,3073
150,validator_2,346044933,249982
151,validator_11,402608182,15966
152,validator_17,260037719,4865
153,validator_9,480568869,129119
154,validator_6,268189837,8420
155,validator_1,214107102,257543
156,validator_19,373773138,113261
157,validator_6,363911364,3957
158,validator_11,508084198,13599
159,validator_18,247972876,33161
160,validator_8,624875444,2065
161,validator_13,235428346,15298
162,validator_11,250834241,1361
163,validator_6,267402254,43231
164,validator_13,716718595,109378
165,validator_9,220908745,6837
166,validator_12,465962885,15430
167,validator_2,219800722,1886
168,validator_6,553324306,3054
169,validator_10,243824998,24141
170,validator_18,223527585,93095
171,validator_7,285050274,5586
172,validator_16,235962780,108881
173,validator_10,414123457,3556
174,validator_18,405246514,11966
175,validator_8,337852183,6007
176,validator_4,310046024,10119
177,validator_3,339896578,3073
178,validator_2,346044933,249982
179,validator_11,402608182,15966
180,validator_17,260037719,4865
181,validator_9,480568869,129119
182,validator_6,268189837,8420
183,validator_1,214107102,257543
184,validator_19,373773138,113261
185,validator_6,363911364,3957
186,validator_11,508084198,13599
187,validator_18,247972876,33161
188,validator_8,624875444,2065
189,validator_13,235428346,15298
190,validator_11,250834241,1361
191,validator_6,267402254,43231
192,validator_13,716718595,109378
193,validator_9,220908745,6837
194,validator_12,465962885,15430
195,validator_2,219800722,1886
196,validator_6,553324306,3054
197,validator_10,243824998,24141
198,validator_18,223527585,93095
199,validator_7,285050274,5586
200,validator_16,235962780,108881
201,validator_10,414123457,3556
202,validator_18,405246514,11966
203,validator_8,337852183,6007
204,validator_4,310046024,10119
205,validator_3,339896578,3073
206,validator_2,346044933,249982
207,validator_11,402608182,15966
208,validator_17,260037719,4865
209,validator_9,480568869,129119
210,validator_6,268189837,8420
211,validator_1,214107102,257543
212,validator_19,373773138,113261
213,validator_6,363911364,3957
214,validator_11,508084198,13599
215,validator_18,247972876,33161
216,validator_8,624875444,2065
217,validator_13,235428346,15298
218,validator_11,250834241,1361
219,validator_6,267402254,43231
220,validator_13,716718595,109378
221,validator_9,220908745,6837
222,validator_12,465962885,15430
223,validator_2,219800722,1886
224,validator_6,553324306,3054
225,validator_10,243824998,24141
226,validator_18,223527585,93095
227,validator_7,285050274,5586
228,validator_16,235962780,108881
229,validator_10,414123457,3556
230,validator_18,405246514,11966
231,validator_8,337852183,6007
232,validator_4,310046024,10119
233,validator_3,339896578,3073
234,validator_2,346044933,249982
235,validator_11,402608182,15966
236,validator_17,260037719,4865
237,validator_9,480568869,129119
238,validator_6,268189837,8420
239,validator_1,214107102,257543
240,validator_19,373773138,113261
241,validator_6,363911364,3957
242,validator_11,508084198,13599
243,validator_18,247972876,33161
244,validator_8,624875444,2065
245,validator_13,235428346,15298
246,validator_11,250834241,1361
247,validator_6,267402254,43231
248,validator_13,716718595,109378
249,validator_9,220908745,6837
250,validator_12,465962885,15430
251,validator_2,219800722,1886
252,validator_6,553324306,3054
253,validator_10,243824998,24141
254,validator_18,223527585,93095
255,validator_7,285050274,5586
256,validator_16,235962780,108881
257,validator_10,414123457,3556
258,validator_18,405246514,11966
259,validator_8,337852183,6007
260,validator_4,310046024,10119
261,validator_3,339896578,3073
262,validator_2,346044933,249982
263,validator_11,402608182,15966
264,validator_17,260037719,4865
265,validator_9,480568869,129119
266,validator_6,268189837,8420
267,validator_1,214107102,257543
268,validator_19,373773138,113261
269,validator_6,363911364,3957
270,validator_11,508084198,13599
271,validator_18,247972876,33161
272,validator_8,624875444,2065
273,validator_13,235428346,15298
274,validator_11,250834241,1361
275,validator_6,267402254,43231
276,validator_13,716718595,109378
277,validator_9,220908745,6837
278,validator_12,465962885,15430
279,validator_2,219800722,1886
280,validator_9,271964513,23484
281,validator_11,494497661,36693
282,validator_16,322841757,34794
283,validator_4,334366376,264443
284,validator_2,280552138,140839
285,validator_9,249707939,535406
286,validator_14,300860837,5051982
287,validator_6,263078073,11778
288,validator_15,478598671,112655
289,validator_12,274773055,10524
290,validator_4,1509643094,9489
291,validator_18,134161644,20684
292,validator_3,302583504,49829
293,validator_11,204905404,3011
294,validator_15,827078732,25048
295,validator_2,267335530,37432
296,validator_4,249613026,31854
297,validator_4,242620037,13729
298,validator_14,236132714,5013158
299,validator_6,603920588,10268
300,validator_17,213264740,4679
301,validator_9,263914937,11161
302,validator_10,252454381,9722
303,validator_17,471674681,13861
304,validator_10,405110006,2845
305,validator_12,308736528,15322
306,validator_17,345523507,18147
307,validator_2,346550085,23686
308,validator_17,490128510,29157
309,validator_12,261725044,256945
310,validator_14,219095914,6074
311,validator_14,529878655,10372
312,validator_11,509525499,3857
313,validator_17,805837550,7736
314,validator_12,360646376,12725
315,validator_0,379082056,24784
316,validator_11,313919912,5316
317,validator_13,343899800,7308
318,validator_18,526220890,10009
319,validator_0,359010921,268672
320,validator_2,303368873,51142
321,validator_19,282179483,22608
322,validator_0,224419113,9854
323,validator_12,255904076,11004
324,validator_7,659163485,3658
325,validator_13,529947053,12588
326,validator_9,535832223,8172
327,validator_6,255124795,256028
328,validator_16,376855027,102425
329,validator_1,243131512,120317
330,validator_18,336501332,19851
331,validator_5,389680204,45246
332,validator_9,406238943,5108
333,validator_14,219789895,13820
334,validator_10,418689515,22340
335,validator_2,287273546,5828
336,validator_9,271964513,23484
337,validator_11,494497661,36693
338,validator_16,322841757,34794
339,validator_4,334366376,264443
340,validator_2,280552138,140839
341,validator_9,249707939,535406
342,validator_14,300860837,5051982
343,validator_6,263078073,11778
344,validator_15,478598671,112655
345,validator_12,274773055,10524
346,validator_4,1509643094,9489
347,validator_18,134161644,20684
348,validator_3,302583504,49829
349,validator_11,204905404,3011
350,validator_15,827078732,25048
351,validator_2,267335530,37432
352,validator_4,249613026,31854
353,validator_4,242620037,13729
354,validator_14,236132714,5013158
355,validator_6,603920588,10268
356,validator_17,213264740,4679
357,validator_9,263914937,11161
358,validator_10,252454381,9722
359,validator_17,471674681,13861
360,validator_10,405110006,2845
361,validator_12,308736528,15322
362,validator_17,345523507,18147
363,validator_2,346550085,23686
364,validator_9,271964513,23484
365,validator_11,494497661,36693
366,validator_16,322841757,34794
367,validator_4,334366376,264443
368,validator_2,280552138,140839
369,validator_9,249707939,535406
370,validator_14,300860837,5051982
371,validator_6,263078073,11778
372,validator_15,478598671,112655
373,validator_12,274773055,10524
374,validator_4,1509643094,9489
375,validator_18,134161644,20684
376,validator_3,302583504,49829
377,validator_11,204905404,3011
378,validator_15,827078732,25048
379,validator_2,267335530,37432
380,validator_4,249613026,31854
381,validator_4,242620037,13729
382,validator_14,236132714,5013158
383,validator_6,603920588,10268
384,validator_17,213264740,4679
385,validator_9,263914937,11161
386,validator_10,252454381,9722
387,validator_17,471674681,13861
388,validator_10,405110006,2845
389,validator_12,308736528,15322
390,validator_17,345523507,18147
391,validator_2,346550085,23686
392,validator_9,271964513,23484
393,validator_11,494497661,36693
394,validator_16,322841757,34794
395,validator_4,334366376,264443
396,validator_2,280552138,140839
397,validator_9,249707939,535406
398,validator_14,300860837,5051982
399,validator_6,263078073,11778
400,validator_15,478598671,112655
401,validator_12,274773055,10524
402,validator_4,1509643094,9489
403,validator_18,134161644,20684
404,validator_3,302583504,49829
405,validator_11,204905404,3011
406,validator_15,827078732,25048
407,validator_2,267335530,37432
408,validator_4,249613026,31854
409,validator_4,242620037,13729
410,validator_14,236132714,5013158
411,validator_6,603920588,10268
412,validator_17,213264740,4679
413,validator_9,263914937,11161
414,validator_10,252454381,9722
415,validator_17,471674681,13861
416,validator_10,405110006,2845
417,validator_12,308736528,15322
418,validator_17,345523507,18147
419,validator_2,346550085,23686
420,validator_9,271964513,23484
421,validator_11,494497661,36693
422,validator_16,322841757,34794
423,validator_4,334366376,264443
424,validator_2,280552138,140839
425,validator_9,249707939,535406
426,validator_14,300860837,5051982
427,validator_6,263078073,11778
428,validator_15,478598671,112655
429,validator_12,274773055,10524
430,validator_4,1509643094,9489
431,validator_18,134161644,20684
432,validator_3,302583504,49829
433,validator_11,204905404,3011
434,validator_15,827078732,25048
435,validator_2,267335530,37432
436,validator_4,249613026,31854
437,validator_4,242620037,13729
438,validator_14,236132714,5013158
439,validator_6,603920588,10268
440,validator_17,213264740,4679
441,validator_9,263914937,11161
442,validator_10,252454381,9722
443,validator_17,471674681,13861
444,validator_10,405110006,2845
445,validator_12,308736528,15322
446,validator_17,345523507,18147
447,validator_2,346550085,23686
448,validator_9,271964513,23484
449,validator_11,494497661,36693
450,validator_16,322841757,34794
451,validator_4,334366376,264443
452,validator_2,280552138,140839
453,validator_9,249707939,535406
454,validator_14,300860837,5051982
455,validator_6,263078073,11778
456,validator_15,478598671,112655
457,validator_12,274773055,10524
458,validator_4,1509643094,9489
459,validator_18,134161644,20684
460,validator_3,302583504,49829
461,validator_11,204905404,3011
462,validator_15,827078732,25048
463,validator_2,267335530,37432
464,validator_4,249613026,31854
465,validator_4,242620037,13729
466,validator_14,236132714,5013158
467,validator_6,603920588,10268
468,validator_17,213264740,4679
469,validator_9,263914937,11161
470,validator_10,252454381,9722
471,validator_17,471674681,13861
472,validator_10,405110006,2845
473,validator_12,308736528,15322
474,validator_17,345523507,18147
475,validator_2,346550085,23686
476,validator_9,271964513,23484
477,validator_11,494497661,36693
478,validator_16,322841757,34794
479,validator_4,334366376,264443
480,validator_2,280552138,140839
481,validator_9,249707939,535406
482,validator_14,300860837,5051982
483,validator_6,263078073,11778
484,validator_15,478598671,112655
485,validator_12,274773055,10524
486,validator_4,1509643094,9489
487,validator_18,134161644,20684
488,validator_3,302583504,49829
489,validator_11,204905404,3011
490,validator_15,827078732,25048
491,validator_2,267335530,37432
492,validator_4,249613026,31854
493,validator_4,242620037,13729
494,validator_14,236132714,5013158
495,validator_6,603920588,10268
496,validator_17,213264740,4679
497,validator_9,263914937,11161
498,validator_10,252454381,9722
499,validator_17,471674681,13861
500,validator_10,405110006,2845
501,validator_12,308736528,15322
502,validator_17,345523507,18147
503,validator_2,346550085,23686
504,validator_17,490128510,29157
505,validator_12,261725044,256945
506,validator_14,219095914,6074
507,validator_14,529878655,10372
508,validator_11,509525499,3857
509,validator_17,805837550,7736
510,validator_12,360646376,12725
511,validator_0,379082056,24784
512,validator_11,313919912,5316
513,validator_13,343899800,7308
514,validator_18,526220890,10009
515,validator_0,359010921,268672
516,validator_2,303368873,51142
517,validator_19,282179483,22608
518,validator_0,224419113,9854
519,validator_12,255904076,11004
520,validator_7,659163485,3658
521,validator_13,529947053,12588
522,validator_9,535832223,8172
523,validator_6,255124795,256028
