block_num,validator_id,total_gas_fee,total_mev_available
0,validator_6,102294737,11188
1,validator_10,177748127,22532
2,validator_18,99129162,6599
3,validator_7,144641090,4653
4,validator_16,67517229,2069
5,validator_10,673862923,10769
6,validator_18,219565189,12442
7,validator_8,190788198,14178
8,validator_4,174269775,13030
9,validator_3,151091204,47345
10,validator_2,113383875,2364
11,validator_11,180037813,3768
12,validator_17,138847539,5005
13,validator_9,286462477,104998
14,validator_6,68613964,94681
15,validator_1,174851684,52584
16,validator_19,217144782,3843
17,validator_6,144734371,5028
18,validator_11,241147572,12168
19,validator_18,179789558,3605
20,validator_8,444201949,7304
21,validator_13,985414119,3665
22,validator_11,132257738,18952
23,validator_6,383593522,9788
24,validator_13,440296506,98488
25,validator_9,84462185,6784
26,validator_12,769510894,2913
27,validator_2,371158276,1653
28,validator_6,102294737,11188
29,validator_10,177748127,22532
30,validator_18,99129162,6599
31,validator_7,144641090,4653
32,validator_16,67517229,2069
33,validator_10,673862923,10769
34,validator_18,219565189,12442
35,validator_8,190788198,14178
36,validator_4,174269775,13030
37,validator_3,151091204,47345
38,validator_2,113383875,2364
39,validator_11,180037813,3768
40,validator_17,138847539,5005
41,validator_9,286462477,104998
42,validator_6,68613964,94681
43,validator_1,174851684,52584
44,validator_19,217144782,3843
45,validator_6,144734371,5028
46,validator_11,241147572,12168
47,validator_18,179789558,3605
48,validator_8,444201949,7304
49,validator_13,985414119,3665
50,validator_11,132257738,18952
51,validator_6,383593522,9788
52,validator_13,440296506,98488
53,validator_9,84462185,6784
54,validator_12,769510894,2913
55,validator_2,371158276,1653
56,validator_6,102294737,11188
57,validator_10,177748127,22532
58,validator_18,99129162,6599
59,validator_7,144641090,4653
60,validator_16,67517229,2069
61,validator_10,673862923,10769
62,validator_18,219565189,12442
63,validator_8,190788198,14178
64,validator_4,174269775,13030
65,validator_3,151091204,47345
66,validator_2,113383875,2364
67,validator_11,180037813,3768
68,validator_17,138847539,5005
69,validator_9,286462477,104998
70,validator_6,68613964,94681
71,validator_1,174851684,52584
72,validator_19,217144782,3843
73,validator_6,144734371,5028
74,validator_11,241147572,12168
75,validator_18,179789558,3605
76,validator_8,444201949,7304
77,validator_13,985414119,3665
78,validator_11,132257738,18952
79,validator_6,383593522,9788
80,validator_13,440296506,98488
81,validator_9,84462185,6784
82,validator_12,769510894,2913
83,validator_2,371158276,1653
84,validator_6,102294737,11188
85,validator_10,177748127,22532
86,validator_18,99129162,6599
87,validator_7,144641090,4653
88,validator_16,67517229,2069
89,validator_10,673862923,10769
90,validator_18,219565189,12442
91,validator_8,190788198,14178
92,validator_4,174269775,13030
93,validator_3,151091204,47345
94,validator_2,113383875,2364
95,validator_11,180037813,3768
96,validator_17,138847539,5005
97,validator_9,286462477,104998
98,validator_6,68613964,94681
99,validator_1,174851684,52584
100,validator_19,217144782,3843
101,validator_6,144734371,5028
102,validator_11,241147572,12168
103,validator_18,179789558,3605
104,validator_8,444201949,7304
105,validator_13,985414119,3665
106,validator_11,132257738,18952
107,validator_6,383593522,9788
108,validator_13,440296506,98488
109,validator_9,84462185,6784
110,validator_12,769510894,2913
111,validator_2,371158276,1653
112,validator_6,102294737,11188
113,validator_10,177748127,22532
114,validator_18,99129162,6599
115,validator_7,144641090,4653
116,validator_16,67517229,2069
117,validator_10,673862923,10769
118,validator_18,219565189,12442
119,validator_8,190788198,14178
120,validator_4,174269775,13030
121,validator_3,151091204,47345
122,validator_2,113383875,2364
123,validator_11,180037813,3768
124,validator_17,138847539,5005
125,validator_9,286462477,104998
126,validator_6,68613964,94681
127,validator_1,174851684,52584
128,validator_19,217144782,3843
129,validator_6,144734371,5028
130,validator_11,241147572,12168
131,validator_18,179789558,3605
132,validator_8,444201949,7304
133,validator_13,985414119,3665
134,validator_11,132257738,18952
135,validator_6,383593522,9788
136,validator_13,440296506,98488
137,validator_9,84462185,6784
138,validator_12,769510894,2913
139,validator_2,371158276,1653
140,validator_6,102294737,11188
141,validator_10,177748127,22532
142,validator_18,99129162,6599
143,validator_7,144641090,4653
144,validator_16,67517229,2069
145,validator_10,673862923,10769
146,validator_18,219565189,12442
147,validator_8,190788198,14178
148,validator_4,174269775,13030
149,validator_3,151091204,47345
150,validator_2,113383875,2364
151,validator_11,180037813,3768
152,validator_17,138847539,5005
153,validator_9,286462477,104998
154,validator_6,68613964,94681
155,validator_1,174851684,52584
156,validator_19,217144782,3843
157,validator_6,144734371,5028
158,validator_11,241147572,12168
159,validator_18,179789558,3605
160,validator_8,444201949,7304
161,validator_13,985414119,3665
162,validator_11,132257738,18952
163,validator_6,383593522,9788
164,validator_13,440296506,98488
165,validator_9,84462185,6784
166,validator_12,769510894,2913
167,validator_2,371158276,1653
168,validator_9,181425016,40982
169,validator_11,559581384,115649
170,validator_16,195917707,106664
171,validator_4,155973380,25845
172,validator_2,466383493,13146
173,validator_9,109400962,98025
174,validator_14,146512383,5128
175,validator_6,121014551,13566
176,validator_15,727444272,12579
177,validator_12,117308469,6107
178,validator_4,155383506,6536
179,validator_18,69169419,1530
180,validator_3,117558411,4978
181,validator_11,247852992,3263
182,validator_15,175192728,9767
183,validator_2,118176966,7819
184,validator_4,98128629,5637
185,validator_4,111445121,2149
186,validator_14,102104650,5961
187,validator_6,428991346,10865
188,validator_17,205285050,12547
189,validator_9,124755409,11319
190,validator_10,291037776,10295
191,validator_17,355134300,9397
192,validator_10,70916626,10292
193,validator_12,135343392,138533
194,validator_17,156491017,3875
195,validator_2,238906683,17166
196,validator_6,102294737,11188
197,validator_10,177748127,22532
198,validator_18,99129162,6599
199,validator_7,144641090,4653
200,validator_16,67517229,2069
201,validator_10,673862923,10769
202,validator_18,219565189,12442
203,validator_8,190788198,14178
204,validator_4,174269775,13030
205,validator_3,151091204,47345
206,validator_2,113383875,2364
207,validator_11,180037813,3768
208,validator_17,138847539,5005
209,validator_9,286462477,104998
210,validator_6,68613964,94681
211,validator_1,174851684,52584
212,validator_19,217144782,3843
213,validator_6,144734371,5028
214,validator_11,241147572,12168
215,validator_18,179789558,3605
216,validator_8,444201949,7304
217,validator_13,985414119,3665
218,validator_11,132257738,18952
219,validator_6,383593522,9788
220,validator_13,440296506,98488
221,validator_9,84462185,6784
222,validator_12,769510894,2913
223,validator_2,371158276,1653
224,validator_9,181425016,40982
225,validator_11,559581384,115649
226,validator_16,195917707,106664
227,validator_4,155973380,25845
228,validator_2,466383493,13146
229,validator_9,109400962,98025
230,validator_14,146512383,5128
231,validator_6,121014551,13566
232,validator_15,727444272,12579
233,validator_12,117308469,6107
234,validator_4,155383506,6536
235,validator_18,69169419,1530
236,validator_3,117558411,4978
237,validator_11,247852992,3263
238,validator_15,175192728,9767
239,validator_2,118176966,7819
240,validator_4,98128629,5637
241,validator_4,111445121,2149
242,validator_14,102104650,5961
243,validator_6,428991346,10865
244,validator_17,205285050,12547
245,validator_9,124755409,11319
246,validator_10,291037776,10295
247,validator_17,355134300,9397
248,validator_10,70916626,10292
249,validator_12,135343392,138533
250,validator_17,156491017,3875
251,validator_2,238906683,17166
252,validator_9,181425016,40982
253,validator_11,559581384,115649
254,validator_16,195917707,106664
255,validator_4,155973380,25845
256,validator_2,466383493,13146
257,validator_9,109400962,98025
258,validator_14,146512383,5128
259,validator_6,121014551,13566
260,validator_15,727444272,12579
261,validator_12,117308469,6107
262,validator_4,155383506,6536
263,validator_18,69169419,1530
264,validator_3,117558411,4978
265,validator_11,247852992,3263
266,validator_15,175192728,9767
267,validator_2,118176966,7819
268,validator_4,98128629,5637
269,validator_4,111445121,2149
270,validator_14,102104650,5961
271,validator_6,428991346,10865
272,validator_17,205285050,12547
273,validator_9,124755409,11319
274,validator_10,291037776,10295
275,validator_17,355134300,9397
276,validator_10,70916626,10292
277,validator_12,135343392,138533
278,validator_17,156491017,3875
279,validator_2,238906683,17166
280,validator_9,181425016,40982
281,validator_11,559581384,115649
282,validator_16,195917707,106664
283,validator_4,155973380,25845
284,validator_2,466383493,13146
285,validator_9,109400962,98025
286,validator_14,146512383,5128
287,validator_6,121014551,13566
288,validator_15,727444272,12579
289,validator_12,117308469,6107
290,validator_4,155383506,6536
291,validator_18,69169419,1530
292,validator_3,117558411,4978
293,validator_11,247852992,3263
294,validator_15,175192728,9767
295,validator_2,118176966,7819
296,validator_4,98128629,5637
297,validator_4,111445121,2149
298,validator_14,102104650,5961
299,validator_6,428991346,10865
300,validator_17,205285050,12547
301,validator_9,124755409,11319
302,validator_10,291037776,10295
303,validator_17,355134300,9397
304,validator_10,70916626,10292
305,validator_12,135343392,138533
306,validator_17,156491017,3875
307,validator_2,238906683,17166
308,validator_6,102294737,11188
309,validator_10,177748127,22532
310,validator_18,99129162,6599
311,validator_7,144641090,4653
312,validator_16,67517229,2069
313,validator_10,673862923,10769
314,validator_18,219565189,12442
315,validator_8,190788198,14178
316,validator_4,174269775,13030
317,validator_3,151091204,47345
318,validator_2,113383875,2364
319,validator_11,180037813,3768
320,validator_17,138847539,5005
321,validator_9,286462477,104998
322,validator_6,68613964,94681
323,validator_1,174851684,52584
324,validator_19,217144782,3843
325,validator_6,144734371,5028
326,validator_11,241147572,12168
327,validator_18,179789558,3605
328,validator_8,444201949,7304
329,validator_13,985414119,3665
330,validator_11,132257738,18952
331,validator_6,383593522,9788
332,validator_13,440296506,98488
333,validator_9,84462185,6784
334,validator_12,769510894,2913
335,validator_2,371158276,1653
336,validator_6,102294737,11188
337,validator_10,177748127,22532
338,validator_18,99129162,6599
339,validator_7,144641090,4653
340,validator_16,67517229,2069
341,validator_10,673862923,10769
342,validator_18,219565189,12442
343,validator_8,190788198,14178
344,validator_4,174269775,13030
345,validator_3,151091204,47345
346,validator_2,113383875,2364
347,validator_11,180037813,3768
348,validator_17,138847539,5005
349,validator_9,286462477,104998
350,validator_6,68613964,94681
351,validator_1,174851684,52584
352,validator_19,217144782,3843
353,validator_6,144734371,5028
354,validator_11,241147572,12168
355,validator_18,179789558,3605
356,validator_8,444201949,7304
357,validator_13,985414119,3665
358,validator_11,132257738,18952
359,validator_6,383593522,9788
360,validator_13,440296506,98488
361,validator_9,84462185,6784
362,validator_12,769510894,2913
363,validator_2,371158276,1653
364,validator_9,181425016,40982
365,validator_11,559581384,115649
366,validator_16,195917707,106664
367,validator_4,155973380,25845
368,validator_2,466383493,13146
369,validator_9,109400962,98025
370,validator_14,146512383,5128
371,validator_6,121014551,13566
372,validator_15,727444272,12579
373,validator_12,117308469,6107
374,validator_4,155383506,6536
375,validator_18,69169419,1530
376,validator_3,117558411,4978
377,validator_11,247852992,3263
378,validator_15,175192728,9767
379,validator_2,118176966,7819
380,validator_4,98128629,5637
381,validator_4,111445121,2149
382,validator_14,102104650,5961
383,validator_6,428991346,10865
