block_num,builder_id,proposer_id,winning_bid,total_gas_fee,total_mev
0,builder_16,proposer_8,228666320.19088578,257217909,7357
1,builder_12,proposer_15,901053309.6176243,1181280147,6628
2,builder_8,proposer_11,561241714.2278157,639757729,20755
3,builder_12,proposer_7,805089234.0973096,880247730,17310
4,builder_0,proposer_7,635357363.378655,695480581,226976
5,builder_5,proposer_2,276855721.3997824,302950424,9294
6,builder_5,proposer_12,954876920.3856361,1042427275,8130
7,builder_19,proposer_4,239890494.69219688,261859977,18451
8,builder_16,proposer_11,1367199474.0711381,1561944850,10782
9,builder_17,proposer_16,216080548.6663532,236632318,25616
10,builder_18,proposer_0,507264439.20473444,554805192,4525
11,builder_4,proposer_8,288267916.4146336,315566303,5104
12,builder_4,proposer_19,898872862.5033381,979618784,13652
13,builder_1,proposer_13,274434516.34893453,302855858,11468
14,builder_13,proposer_7,209958263.97994548,228827992,3854
15,builder_3,proposer_4,313133983.85526997,380913863,18376
16,builder_10,proposer_18,398313744.48739016,435534492,12181
17,builder_2,proposer_15,514532778.1895915,622269829,15009
18,builder_13,proposer_8,339894636.93581444,371812760,10829
19,builder_11,proposer_1,1039553011.4186918,1134252799,29402
20,builder_15,proposer_15,426209352.7470255,467398441,17156
21,builder_9,proposer_7,554590589.9580843,606593608,15104
22,builder_0,proposer_3,361265442.75682276,397179645,127559
23,builder_7,proposer_5,800667963.7169844,876355877,25215
24,builder_16,proposer_4,478855910.97384185,522856425,16161
25,builder_1,proposer_2,570667371.6359022,621667776,8409
26,builder_17,proposer_2,305569722.4227356,334567909,11422
27,builder_7,proposer_11,1080982840.7155442,1178183953,22475
28,builder_16,proposer_8,228666320.19088578,257217909,7357
29,builder_12,proposer_15,901053309.6176243,1181280147,6628
30,builder_8,proposer_11,561241714.2278157,639757729,20755
31,builder_12,proposer_7,805089234.0973096,880247730,17310
32,builder_0,proposer_7,635357363.378655,695480581,226976
33,builder_5,proposer_2,276855721.3997824,302950424,9294
34,builder_5,proposer_12,954876920.3856361,1042427275,8130
35,builder_19,proposer_4,239890494.69219688,261859977,18451
36,builder_16,proposer_11,1367199474.0711381,1561944850,10782
37,builder_17,proposer_16,216080548.6663532,236632318,25616
38,builder_18,proposer_0,507264439.20473444,554805192,4525
39,builder_4,proposer_8,288267916.4146336,315566303,5104
40,builder_4,proposer_19,898872862.5033381,979618784,13652
41,builder_1,proposer_13,274434516.34893453,302855858,11468
