id,position,gas_fee,mev_potential,creator_id,created_at,included_at,target_tx
14,0,29674664,0,user_14,0,0,
17,1,28618476,13,user_19,0,0,
26,2,14080011,0,user_31,0,0,
24,3,10120335,1289,user_29,0,0,
21,4,10120335,10,user_25,0,0,
44,5,9032774,85,user_49,0,0,
30,6,8949440,0,user_35,0,0,
32,7,8861986,0,user_37,0,0,
1,8,8500000,36,user_2,0,0,
5,9,8107426,0,user_7,0,0,
34,10,8066434,13,user_39,0,0,
16,11,6921413,0,user_17,0,0,
6,12,3850000,0,user_7,0,0,
23,13,3711332,16,user_27,0,0,
36,14,3710000,0,user_42,0,0,
28,15,3595015,98,user_33,0,0,
33,16,3297703,496,user_38,0,0,
29,17,3170104,1719,user_33,0,0,
8,18,3164008,13,user_7,0,0,
15,19,2947200,0,user_14,0,0,
3,20,2857599,0,user_4,0,0,
25,21,2814262,0,user_30,0,0,
41,22,2274366,246,user_43,0,0,
39,23,1937822,0,user_43,0,0,
10,24,1890000,493,user_9,0,0,
0,25,1746368,0,user_0,0,0,
20,26,1630744,13,user_23,0,0,
7,27,1621815,14,user_7,0,0,
35,28,1557451,7,user_41,0,0,
9,29,1550000,0,user_8,0,0,
27,30,1542716,0,user_32,0,0,
4,31,1532613,0,user_6,0,0,
38,32,1263093,0,user_43,0,0,
42,33,1244353,12,user_45,0,0,
18,34,1054282,0,user_19,0,0,
43,35,869731,0,user_48,0,0,
2,36,838576,21,user_3,0,0,
37,37,761400,150,user_43,0,0,
19,38,712235,0,user_22,0,0,
22,39,434741,0,user_25,0,0,
31,40,387097,13,user_36,0,0,
11,41,328530,0,user_10,0,0,
13,42,317046,26,user_12,0,0,
45,0,137863341,8,user_0,1,1,
63,1,59484350,4,user_13,1,1,
86,2,34807308,0,user_43,1,1,
89,3,28669693,0,user_48,1,1,
84,4,23234141,56,user_40,1,1,
64,5,23234141,0,user_15,1,1,
52,6,16602624,0,user_8,1,1,
77,7,13408612,10,user_33,1,1,
90,8,10316224,0,user_48,1,1,
91,9,10088650,7,user_49,1,1,
58,10,9740443,0,user_11,1,1,
69,11,8597170,0,user_24,1,1,
56,12,8464280,19,user_10,1,1,
50,13,8405634,0,user_5,1,1,
62,14,7769423,0,user_13,1,1,
72,15,6498390,45,user_27,1,1,
85,16,6164747,14,user_41,1,1,
54,17,5882953,12,user_10,1,1,
73,18,5563809,0,user_28,1,1,
80,19,5266186,8,user_36,1,1,
78,20,4843139,0,user_33,1,1,
61,21,4648187,0,user_13,1,1,
66,22,4485375,49999,user_16,1,1,
48,23,3970480,2,user_4,1,1,
51,24,3713414,183,user_7,1,1,
79,25,3628377,4,user_35,1,1,
65,26,3615891,1727,user_16,1,1,
46,27,3595015,6,user_1,1,1,
71,28,3461282,7,user_26,1,1,
53,29,2704208,48,user_9,1,1,
75,30,2547362,44,user_29,1,1,
82,31,2545224,9,user_38,1,1,
55,32,2030754,135,user_10,1,1,
59,33,1944153,0,user_13,1,1,
67,34,1804890,0,user_20,1,1,
60,35,1721664,998,user_13,1,1,
47,36,1615657,39,user_3,1,1,
83,37,1279503,95,user_39,1,1,
76,38,1071000,0,user_30,1,1,
81,39,1020023,8119,user_37,1,1,
57,40,1002907,0,user_10,1,1,
88,41,455879,17,user_45,1,1,
68,42,388406,490,user_21,1,1,
70,43,381535,0,user_25,1,1,
49,44,381333,0,user_5,1,1,
74,45,310963,7,user_28,1,1,
87,46,304312,12,user_44,1,1,
111,0,98824728,0,user_22,2,2,
130,1,87295430,37,user_41,2,2,
102,2,40468914,12,user_11,2,2,
113,3,27202393,13,user_24,2,2,
115,4,22179325,0,user_26,2,2,
109,5,16645461,0,user_20,2,2,
99,6,16645461,0,user_7,2,2,
131,7,15436248,0,user_41,2,2,
127,8,13297527,13,user_36,2,2,
95,9,12258722,0,user_6,2,2,
112,10,11882767,290,user_22,2,2,
121,11,11584057,1,user_30,2,2,
106,12,8834157,0,user_15,2,2,
114,13,7934556,0,user_25,2,2,
105,14,7027645,0,user_14,2,2,
133,15,6826521,0,user_48,2,2,
120,16,6671691,0,user_29,2,2,
98,17,6580050,8,user_6,2,2,
124,18,6471791,0,user_34,2,2,
93,19,6247556,0,user_3,2,2,
94,20,5147451,0,user_4,2,2,
123,21,5130091,0,user_33,2,2,
135,22,4703225,1727,user_48,2,2,
126,23,4691419,9,user_35,2,2,
136,24,3713414,12,user_48,2,2,
97,25,3018213,0,user_6,2,2,
92,26,2693858,293,user_1,2,2,
119,27,2640081,0,user_29,2,2,
104,28,2627969,102,user_13,2,2,
117,29,2256900,7,user_27,2,2,
132,30,1994380,0,user_46,2,2,
116,31,1860085,14,user_27,2,2,
107,32,1782438,0,user_17,2,2,
134,33,1511418,0,user_48,2,2,
122,34,1489045,0,user_31,2,2,
138,35,956318,432,user_49,2,2,
129,36,948701,0,user_39,2,2,
118,37,933306,692,user_28,2,2,
100,38,925094,499,user_7,2,2,
128,39,846807,0,user_38,2,2,
96,40,820523,15,user_6,2,2,
103,41,697509,0,user_12,2,2,
101,42,616000,29,user_10,2,2,
125,43,588946,51,user_34,2,2,
110,44,456135,0,user_21,2,2,
137,45,446593,0,user_48,2,2,
108,46,386136,28,user_18,2,2,
190,0,144419058,35,user_47,3,3,
163,1,28902761,0,user_23,3,3,
176,2,27610988,0,user_34,3,3,
185,3,24694501,0,user_44,3,3,
140,4,22179325,38,user_0,3,3,
151,5,22179325,0,user_13,3,3,
139,6,18433410,34,user_0,3,3,
152,7,12601192,12,user_14,3,3,
143,8,11716089,0,user_5,3,3,
172,9,11398152,0,user_31,3,3,
181,10,9757080,7,user_38,3,3,
175,11,9096696,0,user_34,3,3,
173,12,8649158,0,user_32,3,3,
166,13,8405634,1994,user_26,3,3,
167,14,7570406,0,user_27,3,3,
156,15,7494131,10,user_16,3,3,
155,16,7392616,0,user_16,3,3,
165,17,6596599,0,user_26,3,3,
182,18,5161931,1727,user_38,3,3,
178,19,4847731,1727,user_36,3,3,
168,20,4645442,13,user_28,3,3,
162,21,4633351,0,user_23,3,3,
147,22,4003620,0,user_10,3,3,
154,23,3710000,0,user_16,3,3,
153,24,3662122,494,user_15,3,3,
189,25,3148621,8,user_47,3,3,
179,26,2739717,12,user_36,3,3,
186,27,2641822,0,user_45,3,3,
141,28,2500000,0,user_3,3,3,
191,29,2452031,13,user_47,3,3,
144,30,2289748,355,user_6,3,3,
188,31,2252812,0,user_46,3,3,
164,32,2162134,595,user_23,3,3,
169,33,2030065,483,user_29,3,3,
142,34,1783517,0,user_4,3,3,
171,35,1734270,17,user_30,3,3,
160,36,1657176,158,user_23,3,3,
161,37,1557097,0,user_23,3,3,
192,38,1380936,0,user_49,3,3,
157,39,1212689,38,user_17,3,3,
146,40,1068995,0,user_9,3,3,
149,41,955005,578,user_12,3,3,
184,42,947955,0,user_43,3,3,
158,43,947370,0,user_21,3,3,
180,44,933306,0,user_37,3,3,
150,45,910321,0,user_13,3,3,
174,46,887518,374,user_33,3,3,
177,47,665419,56,user_35,3,3,
159,48,651000,0,user_22,3,3,
187,49,634442,0,user_46,3,3,
145,50,594521,0,user_8,3,3,
183,51,516011,45,user_40,3,3,
148,52,392684,35,user_11,3,3,
170,53,315624,0,user_29,3,3,
222,0,497780064,103,user_32,4,4,
232,1,253257281,0,user_43,4,4,
218,2,137863341,499,user_29,4,4,
233,3,28618476,56,user_46,4,4,
199,4,12952845,19,user_8,4,4,
227,5,11200779,0,user_37,4,4,
207,6,10248309,0,user_20,4,4,
205,7,9997900,0,user_19,4,4,
231,8,8533407,0,user_42,4,4,
237,9,8317216,8,user_48,4,4,
213,10,7392616,0,user_23,4,4,
230,11,6365717,0,user_41,4,4,
223,12,5912883,0,user_32,4,4,
200,13,5617597,0,user_9,4,4,
216,14,5611606,0,user_26,4,4,
228,15,5144510,969,user_38,4,4,
226,16,5049360,0,user_34,4,4,
235,17,4851258,293,user_46,4,4,
225,18,4757515,0,user_33,4,4,
234,19,4727690,5,user_46,4,4,
206,20,3888429,0,user_20,4,4,
210,21,2802561,331,user_23,4,4,
193,22,2586883,0,user_2,4,4,
197,23,2552060,0,user_6,4,4,
219,24,2396356,10,user_29,4,4,
194,25,2386690,0,user_3,4,4,
236,26,2321303,13,user_47,4,4,
208,27,2298584,9,user_21,4,4,
204,28,2264046,0,user_15,4,4,
196,29,1948685,2,user_5,4,4,
217,30,1808312,19,user_27,4,4,
195,31,1791562,0,user_4,4,4,
201,32,1773960,0,user_10,4,4,
209,33,1701503,140,user_23,4,4,
202,34,1314820,0,user_12,4,4,
229,35,1314820,41,user_39,4,4,
203,36,1234622,18,user_14,4,4,
212,37,1184021,0,user_23,4,4,
221,38,1092885,91,user_31,4,4,
211,39,905188,0,user_23,4,4,
238,40,780528,10,user_49,4,4,
214,41,774266,13,user_24,4,4,
198,42,751957,18,user_7,4,4,
215,43,609000,13,user_25,4,4,
224,44,575531,346,user_33,4,4,
220,45,412347,0,user_30,4,4,
250,0,23906336,0,user_10,5,5,
270,1,19247447,13,user_25,5,5,
255,2,18674338,0,user_13,5,5,
252,3,16500138,41,user_13,5,5,
245,4,13865938,12,user_7,5,5,
281,5,11861702,0,user_37,5,5,
247,6,11178718,55,user_8,5,5,
265,7,10461024,0,user_21,5,5,
283,8,10015992,0,user_39,5,5,
271,9,8641490,0,user_26,5,5,
272,10,8567932,55,user_26,5,5,
273,11,8409160,0,user_27,5,5,
284,12,8281002,0,user_40,5,5,
256,13,7965340,0,user_13,5,5,
240,14,6672069,0,user_1,5,5,
246,15,6528575,1994,user_8,5,5,
268,16,6463258,0,user_23,5,5,
239,17,4678339,408,user_0,5,5,
244,18,4633351,0,user_6,5,5,
253,19,4405906,85,user_13,5,5,
292,20,4091902,0,user_48,5,5,
286,21,3964911,0,user_42,5,5,
254,22,3888429,0,user_13,5,5,
287,23,3793859,0,user_43,5,5,
293,24,3713414,98,user_49,5,5,
279,25,3329544,0,user_34,5,5,
242,26,3179786,0,user_3,5,5,
280,27,2965147,75,user_36,5,5,
241,28,2734662,0,user_2,5,5,
289,29,2714100,0,user_46,5,5,
259,30,2652220,25,user_15,5,5,
267,31,2364439,0,user_23,5,5,
243,32,1890000,0,user_4,5,5,
288,33,1612298,7,user_44,5,5,
266,34,1460669,0,user_22,5,5,
294,35,1227006,0,user_49,5,5,
290,36,1156356,0,user_47,5,5,
263,37,1126229,0,user_17,5,5,
269,38,993401,85,user_24,5,5,
282,39,966000,22,user_38,5,5,
261,40,849368,8,user_16,5,5,
264,41,761400,0,user_21,5,5,
248,42,753407,96,user_9,5,5,
249,43,711083,6,user_10,5,5,
260,44,689728,0,user_15,5,5,
258,45,683971,41,user_14,5,5,
291,46,665419,5,user_47,5,5,
276,47,655686,0,user_31,5,5,
275,48,609834,0,user_30,5,5,
257,49,468306,42,user_14,5,5,
262,50,468129,0,user_16,5,5,
278,51,392684,0,user_34,5,5,
251,52,333767,0,user_12,5,5,
274,53,319811,459,user_29,5,5,
277,54,304500,10,user_31,5,5,
312,0,17887119,202,user_20,6,6,
303,1,17173976,13,user_14,6,6,
325,2,16167396,0,user_34,6,6,
307,3,12258722,197,user_15,6,6,
339,4,12113226,0,user_46,6,6,
306,5,11178718,0,user_15,6,6,
342,6,10327524,90,user_48,6,6,
318,7,10015992,0,user_26,6,6,
310,8,9301241,60,user_17,6,6,
331,9,8900135,0,user_39,6,6,
337,10,8826679,0,user_45,6,6,
295,11,8523826,0,user_0,6,6,
297,12,8409160,0,user_3,6,6,
324,13,8195022,0,user_31,6,6,
338,14,6626800,5,user_46,6,6,
309,15,5085808,21,user_16,6,6,
299,16,4795457,0,user_7,6,6,
314,17,4002972,831,user_22,6,6,
319,18,3799920,0,user_27,6,6,
321,19,3597511,14,user_28,6,6,
308,20,3297703,114,user_15,6,6,
333,21,3226494,0,user_41,6,6,
300,22,3017703,0,user_10,6,6,
316,23,2801142,1423,user_23,6,6,
327,24,2552060,0,user_36,6,6,
298,25,2297422,0,user_4,6,6,
326,26,2031499,43,user_35,6,6,
335,27,2030754,127,user_42,6,6,
322,28,2000000,17,user_29,6,6,
313,29,1896686,51,user_21,6,6,
301,30,1864412,0,user_11,6,6,
