block_num,builder_id,total_gas_fee,total_mev_available,total_mev_captured_by_attackers,total_mev_captured_by_builders
0,builder_11,80940997,18208030,0,0
1,builder_5,87817000,109500,0,0
2,builder_5,250529988,7595080,0,0
3,builder_4,84939995,5742100,0,0
4,builder_5,71704993,1587900,0,0
5,builder_5,96709009,799000,0,0
6,builder_1,66619997,35997400,0,0
7,builder_0,53914007,431600,0,0
8,builder_3,664987004,385500,0,0
9,builder_5,67557004,2059200,0,0
10,builder_11,31210998,1226430,0,0
11,builder_6,134029007,1282420,0,0
12,builder_0,39316995,797700,0,0
13,builder_4,32875012,2099240,0,0
14,builder_16,348376998,17812800,0,0
15,builder_5,84167000,593800,0,0
16,builder_1,189946000,1383200,0,0
17,builder_5,103491991,1130000,0,0
18,builder_4,88714998,1228320,0,0
19,builder_4,115687001,4968200,0,0
20,builder_5,35039003,1487490,0,0
21,builder_5,70911996,614730,0,0
22,builder_13,45527007,868200,0,0
23,builder_6,44300009,4571100,0,0
24,builder_5,123685997,568100,0,0
25,builder_5,40367993,666100,0,0
26,builder_5,100384986,661800,0,0
27,builder_1,271529001,952460,0,0
28,builder_5,164031999,8208930,0,0
29,builder_5,125072005,2003100,0,0
30,builder_11,91605993,1197700,0,0
31,builder_2,18967000,1980030,0,0
32,builder_5,130782007,825630,0,0
33,builder_11,66442995,779800,0,0
34,builder_4,113475996,568500,0,0
35,builder_5,91206997,236500,0,0
36,builder_11,80940997,18208030,0,0
37,builder_5,87817000,109500,0,0
38,builder_5,250529988,7595080,0,0
39,builder_4,84939995,5742100,0,0
40,builder_5,71704993,1587900,0,0
41,builder_5,96709009,799000,0,0
42,builder_1,66619997,35997400,0,0
43,builder_0,53914007,431600,0,0
44,builder_3,664987004,385500,0,0
45,builder_5,67557004,2059200,0,0
46,builder_11,31210998,1226430,0,0
47,builder_6,134029007,1282420,0,0
48,builder_0,39316995,797700,0,0
49,builder_4,32875012,2099240,0,0
50,builder_16,348376998,17812800,0,0
51,builder_5,84167000,593800,0,0
52,builder_1,189946000,1383200,0,0
53,builder_5,103491991,1130000,0,0
54,builder_4,88714998,1228320,0,0
55,builder_4,115687001,4968200,0,0
56,builder_5,35039003,1487490,0,0
57,builder_5,70911996,614730,0,0
58,builder_13,45527007,868200,0,0
59,builder_6,44300009,4571100,0,0
60,builder_5,123685997,568100,0,0
61,builder_5,40367993,666100,0,0
62,builder_5,100384986,661800,0,0
63,builder_1,271529001,952460,0,0
64,builder_5,164031999,8208930,0,0
65,builder_5,125072005,2003100,0,0
66,builder_11,91605993,1197700,0,0
67,builder_2,18967000,1980030,0,0
68,builder_5,130782007,825630,0,0
69,builder_11,66442995,779800,0,0
70,builder_4,113475996,568500,0,0
71,builder_5,91206997,236500,0,0
72,builder_11,80940997,18208030,0,0
73,builder_5,87817000,109500,0,0
74,builder_5,250529988,7595080,0,0
75,builder_4,84939995,5742100,0,0
76,builder_5,71704993,1587900,0,0
77,builder_5,96709009,799000,0,0
78,builder_1,66619997,35997400,0,0
79,builder_0,53914007,431600,0,0
80,builder_3,664987004,385500,0,0
81,builder_5,67557004,2059200,0,0
82,builder_11,31210998,1226430,0,0
83,builder_6,134029007,1282420,0,0
84,builder_0,39316995,797700,0,0
85,builder_4,32875012,2099240,0,0
86,builder_16,348376998,17812800,0,0
87,builder_5,84167000,593800,0,0
88,builder_1,189946000,1383200,0,0
89,builder_5,103491991,1130000,0,0
90,builder_4,88714998,1228320,0,0
91,builder_4,115687001,4968200,0,0
92,builder_5,35039003,1487490,0,0
93,builder_5,70911996,614730,0,0
94,builder_13,45527007,868200,0,0
95,builder_6,44300009,4571100,0,0
96,builder_5,123685997,568100,0,0
97,builder_5,40367993,666100,0,0
98,builder_5,100384986,661800,0,0
99,builder_1,271529001,952460,0,0
100,builder_5,164031999,8208930,0,0
101,builder_5,125072005,2003100,0,0
102,builder_11,91605993,1197700,0,0
103,builder_2,18967000,1980030,0,0
104,builder_5,130782007,825630,0,0
105,builder_11,66442995,779800,0,0
106,builder_4,113475996,568500,0,0
107,builder_5,91206997,236500,0,0
108,builder_11,80940997,18208030,0,0
109,builder_5,87817000,109500,0,0
110,builder_5,250529988,7595080,0,0
111,builder_4,84939995,5742100,0,0
112,builder_5,71704993,1587900,0,0
113,builder_5,96709009,799000,0,0
114,builder_1,66619997,35997400,0,0
115,builder_0,53914007,431600,0,0
116,builder_3,664987004,385500,0,0
117,builder_5,67557004,2059200,0,0
118,builder_11,31210998,1226430,0,0
119,builder_6,134029007,1282420,0,0
120,builder_0,39316995,797700,0,0
121,builder_4,32875012,2099240,0,0
122,builder_16,348376998,17812800,0,0
123,builder_5,84167000,593800,0,0
124,builder_1,189946000,1383200,0,0
125,builder_5,103491991,1130000,0,0
126,builder_4,88714998,1228320,0,0
127,builder_4,115687001,4968200,0,0
128,builder_5,35039003,1487490,0,0
129,builder_5,70911996,614730,0,0
130,builder_13,45527007,868200,0,0
131,builder_6,44300009,4571100,0,0
132,builder_5,123685997,568100,0,0
133,builder_5,40367993,666100,0,0
134,builder_5,100384986,661800,0,0
135,builder_1,271529001,952460,0,0
136,builder_5,164031999,8208930,0,0
137,builder_5,125072005,2003100,0,0
138,builder_11,91605993,1197700,0,0
139,builder_2,18967000,1980030,0,0
140,builder_5,130782007,825630,0,0
141,builder_11,66442995,779800,0,0
142,builder_4,113475996,568500,0,0
143,builder_5,91206997,236500,0,0
144,builder_11,80940997,18208030,0,0
145,builder_5,87817000,109500,0,0
146,builder_5,250529988,7595080,0,0
147,builder_4,84939995,5742100,0,0
148,builder_5,71704993,1587900,0,0
149,builder_5,96709009,799000,0,0
150,builder_1,66619997,35997400,0,0
151,builder_0,53914007,431600,0,0
152,builder_3,664987004,385500,0,0
153,builder_5,67557004,2059200,0,0
154,builder_11,31210998,1226430,0,0
155,builder_6,134029007,1282420,0,0
156,builder_0,39316995,797700,0,0
157,builder_4,32875012,2099240,0,0
158,builder_16,348376998,17812800,0,0
159,builder_5,84167000,593800,0,0
160,builder_1,189946000,1383200,0,0
161,builder_5,103491991,1130000,0,0
162,builder_4,88714998,1228320,0,0
163,builder_4,115687001,4968200,0,0
164,builder_5,35039003,1487490,0,0
165,builder_5,70911996,614730,0,0
166,builder_13,45527007,868200,0,0
167,builder_6,44300009,4571100,0,0
168,builder_5,123685997,568100,0,0
169,builder_5,40367993,666100,0,0
170,builder_5,100384986,661800,0,0
171,builder_1,271529001,952460,0,0
172,builder_5,164031999,8208930,0,0
173,builder_5,125072005,2003100,0,0
174,builder_11,91605993,1197700,0,0
175,builder_2,18967000,1980030,0,0
176,builder_5,130782007,825630,0,0
177,builder_11,66442995,779800,0,0
178,builder_4,113475996,568500,0,0
179,builder_5,91206997,236500,0,0
180,builder_11,80940997,18208030,0,0
181,builder_5,87817000,109500,0,0
182,builder_5,250529988,7595080,0,0
183,builder_4,84939995,5742100,0,0
184,builder_5,71704993,1587900,0,0
185,builder_5,96709009,799000,0,0
186,builder_1,66619997,35997400,0,0
187,builder_0,53914007,431600,0,0
188,builder_3,664987004,385500,0,0
189,builder_5,67557004,2059200,0,0
190,builder_11,31210998,1226430,0,0
191,builder_6,134029007,1282420,0,0
192,builder_0,39316995,797700,0,0
193,builder_4,32875012,2099240,0,0
194,builder_16,348376998,17812800,0,0
195,builder_5,84167000,593800,0,0
196,builder_1,189946000,1383200,0,0
197,builder_5,103491991,1130000,0,0
198,builder_4,88714998,1228320,0,0
199,builder_4,115687001,4968200,0,0
200,builder_5,35039003,1487490,0,0
201,builder_5,70911996,614730,0,0
202,builder_13,45527007,868200,0,0
203,builder_6,44300009,4571100,0,0
204,builder_5,123685997,568100,0,0
205,builder_5,40367993,666100,0,0
206,builder_5,100384986,661800,0,0
207,builder_1,271529001,952460,0,0
208,builder_5,164031999,8208930,0,0
209,builder_5,125072005,2003100,0,0
210,builder_11,91605993,1197700,0,0
211,builder_2,18967000,1980030,0,0
212,builder_5,130782007,825630,0,0
213,builder_11,66442995,779800,0,0
214,builder_4,113475996,568500,0,0
215,builder_5,91206997,236500,0,0
216,builder_11,80940997,18208030,0,0
217,builder_5,87817000,109500,0,0
218,builder_5,250529988,7595080,0,0
219,builder_4,84939995,5742100,0,0
220,builder_5,71704993,1587900,0,0
221,builder_5,96709009,799000,0,0
222,builder_1,66619997,35997400,0,0
223,builder_0,53914007,431600,0,0
