block_num,builder_id,total_gas_fee,total_mev,included_txs
0,builder_13,5300000,0,
1,builder_13,36670002,525400,
2,builder_13,62228003,620830,
3,builder_13,36538006,0,
4,builder_13,188034997,618200,
5,builder_13,130586998,0,
6,builder_13,31499999,0,
7,builder_11,8309998,5630,
8,builder_13,150306002,136700,
9,builder_13,139174002,19148300,
10,builder_13,7505003,0,
11,builder_13,170565005,2006030,
12,builder_13,84592999,108000,
13,builder_13,107062006,756700,
14,builder_13,135259998,296000,
15,builder_13,88090994,570300,
16,builder_11,48505002,331000,
17,builder_13,151305012,1550200,
18,builder_13,6888001,121000,
19,builder_13,123365998,464900,
20,builder_13,5300000,0,
21,builder_13,36670002,525400,
22,builder_13,62228003,620830,
23,builder_13,36538006,0,
24,builder_13,188034997,618200,
25,builder_13,130586998,0,
26,builder_13,31499999,0,
27,builder_11,8309998,5630,
28,builder_13,150306002,136700,
29,builder_13,139174002,19148300,
30,builder_13,7505003,0,
31,builder_13,170565005,2006030,
32,builder_13,84592999,108000,
33,builder_13,107062006,756700,
34,builder_13,135259998,296000,
35,builder_13,88090994,570300,
36,builder_11,48505002,331000,
37,builder_13,151305012,1550200,
38,builder_13,6888001,121000,
39,builder_13,123365998,464900,
40,builder_13,5300000,0,
41,builder_13,36670002,525400,
42,builder_13,62228003,620830,
43,builder_13,36538006,0,
44,builder_13,188034997,618200,
45,builder_13,130586998,0,
46,builder_13,31499999,0,
47,builder_11,8309998,5630,
48,builder_13,150306002,136700,
49,builder_13,139174002,19148300,
50,builder_13,7505003,0,
51,builder_13,170565005,2006030,
52,builder_13,84592999,108000,
53,builder_13,107062006,756700,
54,builder_13,135259998,296000,
55,builder_13,88090994,570300,
56,builder_11,48505002,331000,
57,builder_13,151305012,1550200,
58,builder_13,6888001,121000,
59,builder_13,123365998,464900,
60,builder_13,5300000,0,
61,builder_13,36670002,525400,
62,builder_13,62228003,620830,
63,builder_13,36538006,0,
64,builder_13,188034997,618200,
65,builder_13,130586998,0,
66,builder_13,31499999,0,
67,builder_11,8309998,5630,
68,builder_13,150306002,136700,
69,builder_13,139174002,19148300,
70,builder_13,7505003,0,
71,builder_13,170565005,2006030,
72,builder_13,84592999,108000,
73,builder_13,107062006,756700,
74,builder_13,135259998,296000,
75,builder_13,88090994,570300,
76,builder_11,48505002,331000,
77,builder_13,151305012,1550200,
78,builder_13,6888001,121000,
79,builder_13,123365998,464900,
80,builder_13,5300000,0,
81,builder_13,36670002,525400,
82,builder_13,62228003,620830,
83,builder_13,36538006,0,
84,builder_13,188034997,618200,
85,builder_13,130586998,0,
86,builder_13,31499999,0,
87,builder_11,8309998,5630,
88,builder_13,150306002,136700,
89,builder_13,139174002,19148300,
90,builder_13,7505003,0,
91,builder_13,170565005,2006030,
92,builder_13,84592999,108000,
93,builder_13,107062006,756700,
94,builder_13,135259998,296000,
95,builder_13,88090994,570300,
96,builder_11,48505002,331000,
97,builder_13,151305012,1550200,
98,builder_13,6888001,121000,
99,builder_13,123365998,464900,
100,builder_13,5300000,0,
101,builder_13,36670002,525400,
102,builder_13,62228003,620830,
103,builder_13,36538006,0,
104,builder_13,188034997,618200,
105,builder_13,130586998,0,
106,builder_13,31499999,0,
107,builder_11,8309998,5630,
108,builder_13,150306002,136700,
109,builder_13,139174002,19148300,
110,builder_13,7505003,0,
111,builder_13,170565005,2006030,
112,builder_13,84592999,108000,
113,builder_13,107062006,756700,
114,builder_13,135259998,296000,
115,builder_13,88090994,570300,
116,builder_11,48505002,331000,
117,builder_13,151305012,1550200,
118,builder_13,6888001,121000,
119,builder_13,123365998,464900,
120,builder_13,5300000,0,
121,builder_13,36670002,525400,
122,builder_13,62228003,620830,
123,builder_13,36538006,0,
124,builder_13,188034997,618200,
125,builder_13,130586998,0,
126,builder_13,31499999,0,
127,builder_11,8309998,5630,
128,builder_13,150306002,136700,
129,builder_13,139174002,19148300,
130,builder_13,7505003,0,
131,builder_13,170565005,2006030,
132,builder_13,84592999,108000,
133,builder_13,107062006,756700,
134,builder_13,135259998,296000,
135,builder_13,88090994,570300,
136,builder_11,48505002,331000,
137,builder_13,151305012,1550200,
138,builder_13,6888001,121000,
139,builder_13,123365998,464900,
140,builder_13,5300000,0,
141,builder_13,36670002,525400,
142,builder_13,62228003,620830,
143,builder_13,36538006,0,
144,builder_13,188034997,618200,
145,builder_13,130586998,0,
146,builder_13,31499999,0,
147,builder_11,8309998,5630,
148,builder_13,150306002,136700,
149,builder_13,139174002,19148300,
150,builder_13,7505003,0,
151,builder_13,170565005,2006030,
152,builder_13,84592999,108000,
153,builder_13,107062006,756700,
154,builder_13,135259998,296000,
155,builder_13,88090994,570300,
156,builder_11,48505002,331000,
157,builder_13,151305012,1550200,
158,builder_13,6888001,121000,
159,builder_13,123365998,464900,
160,builder_13,5300000,0,
161,builder_13,36670002,525400,
162,builder_13,62228003,620830,
163,builder_13,36538006,0,
164,builder_13,188034997,618200,
165,builder_13,130586998,0,
166,builder_13,31499999,0,
167,builder_11,8309998,5630,
168,builder_13,150306002,136700,
169,builder_13,139174002,19148300,
170,builder_13,7505003,0,
171,builder_13,170565005,2006030,
172,builder_13,84592999,108000,
173,builder_13,107062006,756700,
174,builder_13,135259998,296000,
175,builder_13,88090994,570300,
176,builder_11,48505002,331000,
177,builder_13,151305012,1550200,
178,builder_13,6888001,121000,
179,builder_13,123365998,464900,
180,builder_13,5300000,0,
181,builder_13,36670002,525400,
182,builder_13,62228003,620830,
183,builder_13,36538006,0,
184,builder_13,188034997,618200,
185,builder_13,130586998,0,
186,builder_13,31499999,0,
187,builder_11,8309998,5630,
188,builder_13,150306002,136700,
189,builder_13,139174002,19148300,
190,builder_13,7505003,0,
191,builder_13,170565005,2006030,
192,builder_13,84592999,108000,
