block_num,builder_id,total_gas_fee,total_mev
0,builder_6,5920000,3130
1,builder_6,1000000,0
2,builder_6,337232997,18446960
3,builder_6,443363999,1762930
4,builder_7,6357999,108000
5,builder_6,581599999,3509900
6,builder_6,91982997,19050000
7,builder_6,171616001,19419000
8,builder_6,303129995,864900
9,builder_6,74915004,500480
10,builder_6,180496008,3397720
11,builder_6,373269997,4182880
12,builder_6,140895994,1916470
13,builder_6,34562000,447900
14,builder_6,175186004,634630
15,builder_6,214258002,1689520
16,builder_6,4949999,779000
17,builder_7,257000,0
18,builder_6,329759993,2547490
19,builder_6,671499998,3088310
20,builder_6,5920000,3130
21,builder_6,1000000,0
22,builder_6,337232997,18446960
23,builder_6,443363999,1762930
24,builder_7,6357999,108000
25,builder_6,581599999,3509900
26,builder_6,91982997,19050000
27,builder_6,171616001,19419000
28,builder_6,303129995,864900
29,builder_6,74915004,500480
30,builder_6,180496008,3397720
31,builder_6,373269997,4182880
32,builder_6,140895994,1916470
33,builder_6,34562000,447900
34,builder_6,175186004,634630
35,builder_6,214258002,1689520
36,builder_6,4949999,779000
37,builder_7,257000,0
38,builder_6,329759993,2547490
39,builder_6,671499998,3088310
40,builder_6,5920000,3130
41,builder_6,1000000,0
42,builder_6,337232997,18446960
43,builder_6,443363999,1762930
44,builder_7,6357999,108000
45,builder_6,581599999,3509900
46,builder_6,91982997,19050000
47,builder_6,171616001,19419000
48,builder_6,303129995,864900
49,builder_6,74915004,500480
50,builder_6,180496008,3397720
51,builder_6,373269997,4182880
52,builder_6,140895994,1916470
53,builder_6,34562000,447900
54,builder_6,175186004,634630
55,builder_6,214258002,1689520
56,builder_6,4949999,779000
57,builder_7,257000,0
58,builder_6,329759993,2547490
59,builder_6,671499998,3088310
60,builder_6,5920000,3130
61,builder_6,1000000,0
62,builder_6,337232997,18446960
63,builder_6,443363999,1762930
64,builder_7,6357999,108000
65,builder_6,581599999,3509900
66,builder_6,91982997,19050000
67,builder_6,171616001,19419000
68,builder_6,303129995,864900
69,builder_6,74915004,500480
70,builder_6,180496008,3397720
71,builder_6,373269997,4182880
72,builder_6,140895994,1916470
73,builder_6,34562000,447900
74,builder_6,175186004,634630
75,builder_6,214258002,1689520
76,builder_6,4949999,779000
77,builder_7,257000,0
78,builder_6,329759993,2547490
79,builder_6,671499998,3088310
80,builder_6,5920000,3130
81,builder_6,1000000,0
82,builder_6,337232997,18446960
83,builder_6,443363999,1762930
84,builder_7,6357999,108000
85,builder_6,581599999,3509900
86,builder_6,91982997,19050000
87,builder_6,171616001,19419000
88,builder_6,303129995,864900
89,builder_6,74915004,500480
90,builder_6,180496008,3397720
91,builder_6,373269997,4182880
92,builder_6,140895994,1916470
93,builder_6,34562000,447900
94,builder_6,175186004,634630
95,builder_6,214258002,1689520
96,builder_6,4949999,779000
97,builder_7,257000,0
98,builder_6,329759993,2547490
99,builder_6,671499998,3088310
100,builder_6,5920000,3130
101,builder_6,1000000,0
102,builder_6,337232997,18446960
