id,position,gas_fee,mev_potential,creator_id,created_at,included_at,target_tx
0,12,3200000,0,user_0,0,3,
1,21,2100000,0,user_1,0,3,
27,5,19000000,71800,user_21,0,3,
43,8,5000000,0,user_37,0,3,
34,9,3600000,0,user_30,0,3,
30,17,2300000,410000,user_25,0,3,
55,18,2299999,0,user_1,1,3,30
41,22,1700000,0,user_35,0,3,
26,24,1000000,0,user_21,0,3,
35,32,360000,0,user_31,0,3,
36,33,310000,0,user_31,0,3,
52,36,260000,0,user_47,0,3,
38,37,220000,0,user_33,0,3,
22,38,170000,0,user_15,0,3,
15,41,150000,0,user_9,0,3,
40,80,77000,43600,user_35,0,3,
54,81,76999,0,user_0,1,3,40
31,84,73000,0,user_25,0,3,
14,85,73000,0,user_9,0,3,
81,2,19000001,0,user_25,1,3,27
82,3,19000001,0,user_25,1,3,27
4,7,5000000,0,user_4,0,3,
20,11,3500000,17000,user_13,0,3,
17,13,2600000,0,user_11,0,3,
56,14,2300001,0,user_2,1,3,30
75,19,2299999,0,user_21,1,3,30
88,20,2299999,0,user_31,1,3,30
9,8,1200000,0,user_7,0,2,
10,9,460000,0,user_7,0,2,
19,28,460000,296000,user_11,0,3,
18,34,300000,0,user_11,0,3,
11,12,260000,0,user_7,0,2,
5,40,160000,0,user_5,0,3,
8,14,150000,0,user_7,0,2,
3,42,120000,0,user_4,0,3,
2,43,110000,0,user_3,0,3,
7,17,84000,19700,user_7,0,2,
130,64,83999,0,user_1,2,3,7
6,86,70000,3130,user_6,0,3,
62,0,19000001,0,user_11,1,4,27
65,1,19000001,0,user_13,1,4,27
81,2,19000001,0,user_25,1,3,27
82,3,19000001,0,user_25,1,3,27
207,1,19000001,0,user_10,3,6,27
27,5,19000000,71800,user_21,0,3,
23,5,19000000,0,user_16,0,4,
4,7,5000000,0,user_4,0,3,
43,8,5000000,0,user_37,0,3,
34,9,3600000,0,user_30,0,3,
138,7,3500001,0,user_7,2,5,20
20,11,3500000,17000,user_13,0,3,
0,12,3200000,0,user_0,0,3,
17,13,2600000,0,user_11,0,3,
56,14,2300001,0,user_2,1,3,30
61,8,2300001,0,user_7,1,4,30
64,9,2300001,0,user_13,1,4,30
30,17,2300000,410000,user_25,0,3,
55,18,2299999,0,user_1,1,3,30
75,19,2299999,0,user_21,1,3,30
88,20,2299999,0,user_31,1,3,30
1,21,2100000,0,user_1,0,3,
41,22,1700000,0,user_35,0,3,
13,15,1600000,0,user_8,0,4,
26,24,1000000,0,user_21,0,3,
21,17,970000,0,user_14,0,4,
57,18,460001,0,user_3,1,4,19
59,19,460001,0,user_5,1,4,19
19,28,460000,296000,user_11,0,3,
58,24,459999,0,user_4,1,4,19
60,25,459999,0,user_5,1,4,19
42,4,420000,0,user_36,0,6,
35,32,360000,0,user_31,0,3,
36,33,310000,0,user_31,0,3,
18,34,300000,0,user_11,0,3,
51,29,300000,0,user_46,0,4,
52,36,260000,0,user_47,0,3,
38,37,220000,0,user_33,0,3,
22,38,170000,0,user_15,0,3,
12,30,170000,0,user_8,0,4,
5,40,160000,0,user_5,0,3,
15,41,150000,0,user_9,0,3,
3,42,120000,0,user_4,0,3,
2,43,110000,0,user_3,0,3,
25,40,110000,0,user_19,0,4,
29,14,84001,0,user_23,0,6,7
47,15,84001,0,user_41,0,6,7
44,16,84001,0,user_38,0,6,7
72,17,84001,0,user_17,1,6,7
74,18,84001,0,user_20,1,6,7
86,19,84001,0,user_28,1,6,7
146,20,84001,0,user_17,2,6,7
89,21,84001,0,user_36,1,6,7
149,22,84001,0,user_20,2,6,7
156,23,84001,0,user_23,2,6,7
158,24,84001,0,user_23,2,6,7
159,25,84001,0,user_23,2,6,7
24,26,83999,0,user_17,0,6,7
28,27,83999,0,user_23,0,6,7
33,28,83999,0,user_28,0,6,7
70,29,83999,0,user_17,1,6,7
71,30,83999,0,user_17,1,6,7
79,31,83999,0,user_23,1,6,7
94,32,83999,0,user_41,1,6,7
130,64,83999,0,user_1,2,3,7
90,33,83999,0,user_38,1,6,7
150,34,83999,0,user_20,2,6,7
151,35,83999,0,user_20,2,6,7
152,36,83999,0,user_20,2,6,7
153,37,83999,0,user_20,2,6,7
155,38,83999,0,user_23,2,6,7
157,39,83999,0,user_23,2,6,7
163,40,83999,0,user_28,2,6,7
178,41,83999,0,user_41,2,6,7
179,42,83999,0,user_41,2,6,7
180,43,83999,0,user_41,2,6,7
181,44,83999,0,user_41,2,6,7
209,45,83999,0,user_10,3,6,7
210,46,83999,0,user_10,3,6,7
96,47,79000,0,user_43,1,6,
40,80,77000,43600,user_35,0,3,
54,81,76999,0,user_0,1,3,40
131,47,76999,0,user_2,2,4,40
208,49,76999,0,user_10,3,6,40
31,84,73000,0,user_25,0,3,
14,85,73000,0,user_9,0,3,
6,86,70000,3130,user_6,0,3,
62,0,19000001,0,user_11,1,4,27
65,1,19000001,0,user_13,1,4,27
161,2,19000001,0,user_25,2,4,27
170,3,19000001,0,user_33,2,4,27
197,4,19000001,0,user_0,3,4,27
23,5,19000000,0,user_16,0,4,
160,6,18999999,0,user_25,2,4,27
248,7,18999999,0,user_1,4,4,27
61,8,2300001,0,user_7,1,4,30
64,9,2300001,0,user_13,1,4,30
