node_id,avg_latency,degree
user_0,1.3306898661801418,7
user_1,2.0513838470290398,5
user_2,1.3616433235299652,6
user_3,1.384208560627423,8
user_4,2.153784624304744,6
user_5,2.349060262993974,2
user_6,2.132661142165494,5
user_7,1.316228381359819,10
user_8,2.9378766068641378,2
user_9,2.41758887412836,2
user_10,2.119467765369894,4
user_11,3.536192947211915,5
user_12,2.031093396090192,4
user_13,1.7412124680002081,5
user_14,1.3839824251720496,8
user_15,2.0166612078767727,6
user_16,1.484142888087058,4
user_17,1.819550324915967,7
user_18,1.4693067235973696,5
user_19,3.0807287641963663,3
user_20,1.6634540670956184,6
user_21,1.3319093783752638,6
user_22,5.338990297162801,1
user_23,1.558331113841272,3
user_24,1.4829890484323012,3
user_25,2.141508698815416,2
user_26,3.113681174129199,4
user_27,1.9628379724854157,5
user_28,2.259151419733667,3
user_29,2.5500081101690424,2
user_30,2.019219994123303,4
user_31,1.4375412794494895,4
user_32,1.7231726647662027,3
user_33,1.8165705590012726,2
user_34,1.714541481205494,5
user_35,1.6087938283475758,2
user_36,1.9790333754391662,4
user_37,1.752065030318166,3
user_38,5.321422787228039,1
user_39,inf,0
user_40,1.7610936671095285,4
user_41,2.161734122489273,5
user_42,2.093468050321649,4
user_43,1.7050691358478693,3
user_44,1.5741634851836825,7
user_45,2.0305405051171914,5
user_46,2.3580081530816974,5
user_47,inf,0
user_48,1.680510675799453,7
user_49,2.2837032953110614,2
builder_0,2.7863735610709983,2
builder_1,1.9620843901220435,6
builder_2,1.4746342878485352,5
builder_3,2.11108339541379,5
builder_4,1.40791354849769,4
builder_5,1.4148362076435563,3
builder_6,1.6478370676084237,4
builder_7,1.3851603821339549,4
builder_8,1.484880001046654,4
builder_9,1.724778727815234,7
builder_10,1.4722569493177955,5
builder_11,2.0055548489900272,7
builder_12,1.5100133405426976,7
builder_13,1.6115296575501696,4
builder_14,2.1207787392165485,4
builder_15,1.5680872114022477,3
builder_16,2.0274733224139885,3
builder_17,1.3876767731337147,7
builder_18,2.5141508457552253,4
builder_19,1.9368298957295995,5
proposer_0,2.381940232231417,5
proposer_1,1.6979041763572085,7
proposer_2,1.5274539246908159,8
proposer_3,1.327378817520227,6
proposer_4,2.8706209975177073,1
proposer_5,1.5100538261259784,4
proposer_6,1.4188422321543734,2
proposer_7,1.4125698447744532,4
proposer_8,1.457672443567461,8
proposer_9,1.9446695695390415,6
proposer_10,2.3755756630164595,3
proposer_11,3.4392880864478226,1
proposer_12,inf,0
proposer_13,2.131481883708183,4
proposer_14,1.4237143097514808,2
proposer_15,5.44989842691147,1
proposer_16,3.5539050989285412,1
proposer_17,1.671702112594236,4
proposer_18,inf,0
proposer_19,2.6173177363359064,3
