block_num,builder_id,proposer_id,winning_bid,total_gas_fee,total_mev
0,builder_19,proposer_11,79647387.84411569,157357002,1229000
1,builder_19,proposer_18,89145026.42931986,199070001,7311800
2,builder_16,proposer_9,98079413.60734837,232519999,6071190
3,builder_16,proposer_15,107177702.38584888,298220000,1823190
4,builder_16,proposer_4,117608533.56476066,365300004,18864730
5,builder_16,proposer_19,128380254.41397895,429900002,18577490
6,builder_16,proposer_0,141430573.3104035,506700002,19244490
7,builder_16,proposer_1,157572064.18884054,631100004,18988570
8,builder_16,proposer_4,170890015.33337432,671200009,18986970
9,builder_16,proposer_15,185994566.4392477,674000011,19019870
10,builder_16,proposer_16,206816977.37262714,681400010,1319870
11,builder_16,proposer_7,228810961.740169,746300000,2316070
12,builder_16,proposer_1,256354796.96209428,803400000,2329870
13,builder_16,proposer_9,276680105.66882324,814100000,2296970
14,builder_16,proposer_8,309606364.28404725,869500000,2464360
15,builder_16,proposer_3,343510704.5553245,918000000,2284760
16,builder_16,proposer_5,383540928.5617949,979200000,2171460
17,builder_16,proposer_6,424360403.3239376,1128900000,2138360
18,builder_16,proposer_11,463767700.0755415,1224200000,2234670
19,builder_16,proposer_8,509522861.30526394,1232700004,1455670
20,builder_19,proposer_11,79647387.84411569,157357002,1229000
21,builder_19,proposer_18,89145026.42931986,199070001,7311800
22,builder_16,proposer_9,98079413.60734837,232519999,6071190
23,builder_16,proposer_15,107177702.38584888,298220000,1823190
24,builder_16,proposer_4,117608533.56476066,365300004,18864730
25,builder_16,proposer_19,128380254.41397895,429900002,18577490
26,builder_16,proposer_0,141430573.3104035,506700002,19244490
27,builder_16,proposer_1,157572064.18884054,631100004,18988570
28,builder_16,proposer_4,170890015.33337432,671200009,18986970
29,builder_16,proposer_15,185994566.4392477,674000011,19019870
30,builder_16,proposer_16,206816977.37262714,681400010,1319870
31,builder_16,proposer_7,228810961.740169,746300000,2316070
32,builder_16,proposer_1,256354796.96209428,803400000,2329870
33,builder_16,proposer_9,276680105.66882324,814100000,2296970
34,builder_16,proposer_8,309606364.28404725,869500000,2464360
35,builder_16,proposer_3,343510704.5553245,918000000,2284760
36,builder_16,proposer_5,383540928.5617949,979200000,2171460
37,builder_16,proposer_6,424360403.3239376,1128900000,2138360
38,builder_16,proposer_11,463767700.0755415,1224200000,2234670
39,builder_16,proposer_8,509522861.30526394,1232700004,1455670
40,builder_19,proposer_11,79647387.84411569,157357002,1229000
41,builder_19,proposer_18,89145026.42931986,199070001,7311800
42,builder_16,proposer_9,98079413.60734837,232519999,6071190
43,builder_16,proposer_15,107177702.38584888,298220000,1823190
44,builder_16,proposer_4,117608533.56476066,365300004,18864730
45,builder_16,proposer_19,128380254.41397895,429900002,18577490
46,builder_16,proposer_0,141430573.3104035,506700002,19244490
47,builder_16,proposer_1,157572064.18884054,631100004,18988570
48,builder_16,proposer_4,170890015.33337432,671200009,18986970
49,builder_16,proposer_15,185994566.4392477,674000011,19019870
50,builder_16,proposer_16,206816977.37262714,681400010,1319870
51,builder_16,proposer_7,228810961.740169,746300000,2316070
52,builder_16,proposer_1,256354796.96209428,803400000,2329870
53,builder_16,proposer_9,276680105.66882324,814100000,2296970
54,builder_16,proposer_8,309606364.28404725,869500000,2464360
55,builder_16,proposer_3,343510704.5553245,918000000,2284760
56,builder_16,proposer_5,383540928.5617949,979200000,2171460
57,builder_16,proposer_6,424360403.3239376,1128900000,2138360
58,builder_16,proposer_11,463767700.0755415,1224200000,2234670
59,builder_16,proposer_8,509522861.30526394,1232700004,1455670
60,builder_19,proposer_11,79647387.84411569,157357002,1229000
61,builder_19,proposer_18,89145026.42931986,199070001,7311800
62,builder_16,proposer_9,98079413.60734837,232519999,6071190
63,builder_16,proposer_15,107177702.38584888,298220000,1823190
64,builder_16,proposer_4,117608533.56476066,365300004,18864730
65,builder_16,proposer_19,128380254.41397895,429900002,18577490
66,builder_16,proposer_0,141430573.3104035,506700002,19244490
67,builder_16,proposer_1,157572064.18884054,631100004,18988570
68,builder_16,proposer_4,170890015.33337432,671200009,18986970
69,builder_16,proposer_15,185994566.4392477,674000011,19019870
70,builder_16,proposer_16,206816977.37262714,681400010,1319870
71,builder_16,proposer_7,228810961.740169,746300000,2316070
72,builder_16,proposer_1,256354796.96209428,803400000,2329870
73,builder_16,proposer_9,276680105.66882324,814100000,2296970
74,builder_16,proposer_8,309606364.28404725,869500000,2464360
75,builder_16,proposer_3,343510704.5553245,918000000,2284760
76,builder_16,proposer_5,383540928.5617949,979200000,2171460
77,builder_16,proposer_6,424360403.3239376,1128900000,2138360
78,builder_16,proposer_11,463767700.0755415,1224200000,2234670
79,builder_16,proposer_8,509522861.30526394,1232700004,1455670
80,builder_19,proposer_11,79647387.84411569,157357002,1229000
81,builder_19,proposer_18,89145026.42931986,199070001,7311800
82,builder_16,proposer_9,98079413.60734837,232519999,6071190
83,builder_16,proposer_15,107177702.38584888,298220000,1823190
84,builder_16,proposer_4,117608533.56476066,365300004,18864730
85,builder_16,proposer_19,128380254.41397895,429900002,18577490
86,builder_16,proposer_0,141430573.3104035,506700002,19244490
87,builder_16,proposer_1,157572064.18884054,631100004,18988570
88,builder_16,proposer_4,170890015.33337432,671200009,18986970
89,builder_16,proposer_15,185994566.4392477,674000011,19019870
90,builder_16,proposer_16,206816977.37262714,681400010,1319870
91,builder_16,proposer_7,228810961.740169,746300000,2316070
92,builder_16,proposer_1,256354796.96209428,803400000,2329870
93,builder_16,proposer_9,276680105.66882324,814100000,2296970
94,builder_16,proposer_8,309606364.28404725,869500000,2464360
95,builder_16,proposer_3,343510704.5553245,918000000,2284760
96,builder_16,proposer_5,383540928.5617949,979200000,2171460
97,builder_16,proposer_6,424360403.3239376,1128900000,2138360
98,builder_16,proposer_11,463767700.0755415,1224200000,2234670
99,builder_16,proposer_8,509522861.30526394,1232700004,1455670
100,builder_19,proposer_11,79647387.84411569,157357002,1229000
101,builder_19,proposer_18,89145026.42931986,199070001,7311800
102,builder_16,proposer_9,98079413.60734837,232519999,6071190
103,builder_16,proposer_15,107177702.38584888,298220000,1823190
104,builder_16,proposer_4,117608533.56476066,365300004,18864730
105,builder_16,proposer_19,128380254.41397895,429900002,18577490
106,builder_16,proposer_0,141430573.3104035,506700002,19244490
107,builder_16,proposer_1,157572064.18884054,631100004,18988570
108,builder_16,proposer_4,170890015.33337432,671200009,18986970
109,builder_16,proposer_15,185994566.4392477,674000011,19019870
110,builder_16,proposer_16,206816977.37262714,681400010,1319870
111,builder_16,proposer_7,228810961.740169,746300000,2316070
112,builder_16,proposer_1,256354796.96209428,803400000,2329870
113,builder_16,proposer_9,276680105.66882324,814100000,2296970
114,builder_16,proposer_8,309606364.28404725,869500000,2464360
115,builder_16,proposer_3,343510704.5553245,918000000,2284760
116,builder_16,proposer_5,383540928.5617949,979200000,2171460
117,builder_16,proposer_6,424360403.3239376,1128900000,2138360
118,builder_16,proposer_11,463767700.0755415,1224200000,2234670
119,builder_16,proposer_8,509522861.30526394,1232700004,1455670
120,builder_19,proposer_11,79647387.84411569,157357002,1229000
121,builder_19,proposer_18,89145026.42931986,199070001,7311800
122,builder_16,proposer_9,98079413.60734837,232519999,6071190
123,builder_16,proposer_15,107177702.38584888,298220000,1823190
124,builder_16,proposer_4,117608533.56476066,365300004,18864730
125,builder_16,proposer_19,128380254.41397895,429900002,18577490
126,builder_16,proposer_0,141430573.3104035,506700002,19244490
127,builder_16,proposer_1,157572064.18884054,631100004,18988570
128,builder_16,proposer_4,170890015.33337432,671200009,18986970
129,builder_16,proposer_15,185994566.4392477,674000011,19019870
130,builder_16,proposer_16,206816977.37262714,681400010,1319870
131,builder_16,proposer_7,228810961.740169,746300000,2316070
132,builder_16,proposer_1,256354796.96209428,803400000,2329870
133,builder_16,proposer_9,276680105.66882324,814100000,2296970
134,builder_16,proposer_8,309606364.28404725,869500000,2464360
135,builder_16,proposer_3,343510704.5553245,918000000,2284760
136,builder_16,proposer_5,383540928.5617949,979200000,2171460
137,builder_16,proposer_6,424360403.3239376,1128900000,2138360
138,builder_16,proposer_11,463767700.0755415,1224200000,2234670
139,builder_16,proposer_8,509522861.30526394,1232700004,1455670
140,builder_19,proposer_11,79647387.84411569,157357002,1229000
141,builder_19,proposer_18,89145026.42931986,199070001,7311800
142,builder_16,proposer_9,98079413.60734837,232519999,6071190
143,builder_16,proposer_15,107177702.38584888,298220000,1823190
144,builder_16,proposer_4,117608533.56476066,365300004,18864730
145,builder_16,proposer_19,128380254.41397895,429900002,18577490
146,builder_16,proposer_0,141430573.3104035,506700002,19244490
147,builder_16,proposer_1,157572064.18884054,631100004,18988570
148,builder_16,proposer_4,170890015.33337432,671200009,18986970
149,builder_16,proposer_15,185994566.4392477,674000011,19019870
150,builder_16,proposer_16,206816977.37262714,681400010,1319870
151,builder_16,proposer_7,228810961.740169,746300000,2316070
152,builder_16,proposer_1,256354796.96209428,803400000,2329870
153,builder_16,proposer_9,276680105.66882324,814100000,2296970
154,builder_16,proposer_8,309606364.28404725,869500000,2464360
155,builder_16,proposer_3,343510704.5553245,918000000,2284760
156,builder_16,proposer_5,383540928.5617949,979200000,2171460
