block_num,builder_id,total_gas_fee,total_mev
0,builder_14,4554000,19700
1,builder_14,27128002,316130
2,builder_14,54935006,18516100
3,builder_14,184072008,18919790
4,builder_14,253588997,1798330
5,builder_14,295288003,19844030
6,builder_14,461019995,1346500
7,builder_14,300699999,8788970
8,builder_14,342169996,7983430
9,builder_14,174700008,2129100
10,builder_14,238419995,8271220
11,builder_14,238920011,1413100
12,builder_14,128329001,8745930
13,builder_14,290130003,1571130
14,builder_14,128299999,1423400
15,builder_14,227270005,2042730
16,builder_14,167419993,2195040
17,builder_14,81345997,1033160
18,builder_14,217589997,1824860
19,builder_14,133589996,4955800
20,builder_14,4554000,19700
21,builder_14,27128002,316130
22,builder_14,54935006,18516100
23,builder_14,184072008,18919790
24,builder_14,253588997,1798330
25,builder_14,295288003,19844030
26,builder_14,461019995,1346500
27,builder_14,300699999,8788970
28,builder_14,342169996,7983430
29,builder_14,174700008,2129100
30,builder_14,238419995,8271220
31,builder_14,238920011,1413100
32,builder_14,128329001,8745930
33,builder_14,290130003,1571130
34,builder_14,128299999,1423400
35,builder_14,227270005,2042730
36,builder_14,167419993,2195040
37,builder_14,81345997,1033160
38,builder_14,217589997,1824860
39,builder_14,133589996,4955800
40,builder_14,4554000,19700
41,builder_14,27128002,316130
42,builder_14,54935006,18516100
43,builder_14,184072008,18919790
44,builder_14,253588997,1798330
45,builder_14,295288003,19844030
46,builder_14,461019995,1346500
47,builder_14,300699999,8788970
48,builder_14,342169996,7983430
49,builder_14,174700008,2129100
50,builder_14,238419995,8271220
51,builder_14,238920011,1413100
52,builder_14,128329001,8745930
53,builder_14,290130003,1571130
54,builder_14,128299999,1423400
55,builder_14,227270005,2042730
56,builder_14,167419993,2195040
57,builder_14,81345997,1033160
58,builder_14,217589997,1824860
59,builder_14,133589996,4955800
60,builder_14,4554000,19700
61,builder_14,27128002,316130
62,builder_14,54935006,18516100
63,builder_14,184072008,18919790
64,builder_14,253588997,1798330
65,builder_14,295288003,19844030
66,builder_14,461019995,1346500
67,builder_14,300699999,8788970
68,builder_14,342169996,7983430
69,builder_14,174700008,2129100
70,builder_14,238419995,8271220
71,builder_14,238920011,1413100
72,builder_14,128329001,8745930
73,builder_14,290130003,1571130
74,builder_14,128299999,1423400
75,builder_14,227270005,2042730
76,builder_14,167419993,2195040
77,builder_14,81345997,1033160
78,builder_14,217589997,1824860
79,builder_14,133589996,4955800
80,builder_14,4554000,19700
81,builder_14,27128002,316130
82,builder_14,54935006,18516100
83,builder_14,184072008,18919790
84,builder_14,253588997,1798330
85,builder_14,295288003,19844030
86,builder_14,461019995,1346500
87,builder_14,300699999,8788970
88,builder_14,342169996,7983430
89,builder_14,174700008,2129100
90,builder_14,238419995,8271220
91,builder_14,238920011,1413100
92,builder_14,128329001,8745930
93,builder_14,290130003,1571130
94,builder_14,128299999,1423400
95,builder_14,227270005,2042730
96,builder_14,167419993,2195040
97,builder_14,81345997,1033160
98,builder_14,217589997,1824860
99,builder_14,133589996,4955800
100,builder_14,4554000,19700
101,builder_14,27128002,316130
102,builder_14,54935006,18516100
103,builder_14,184072008,18919790
104,builder_14,253588997,1798330
105,builder_14,295288003,19844030
106,builder_14,461019995,1346500
107,builder_14,300699999,8788970
108,builder_14,342169996,7983430
109,builder_14,174700008,2129100
110,builder_14,238419995,8271220
111,builder_14,238920011,1413100
112,builder_14,128329001,8745930
113,builder_14,290130003,1571130
114,builder_14,128299999,1423400
115,builder_14,227270005,2042730
116,builder_14,167419993,2195040
117,builder_14,81345997,1033160
118,builder_14,217589997,1824860
119,builder_14,133589996,4955800
120,builder_14,4554000,19700
121,builder_14,27128002,316130
122,builder_14,54935006,18516100
123,builder_14,184072008,18919790
124,builder_14,253588997,1798330
125,builder_14,295288003,19844030
126,builder_14,461019995,1346500
127,builder_14,300699999,8788970
128,builder_14,342169996,7983430
129,builder_14,174700008,2129100
130,builder_14,238419995,8271220
131,builder_14,238920011,1413100
132,builder_14,128329001,8745930
133,builder_14,290130003,1571130
134,builder_14,128299999,1423400
135,builder_14,227270005,2042730
136,builder_14,167419993,2195040
137,builder_14,81345997,1033160
138,builder_14,217589997,1824860
139,builder_14,133589996,4955800
140,builder_14,4554000,19700
141,builder_14,27128002,316130
142,builder_14,54935006,18516100
143,builder_14,184072008,18919790
144,builder_14,253588997,1798330
145,builder_14,295288003,19844030
146,builder_14,461019995,1346500
147,builder_14,300699999,8788970
148,builder_14,342169996,7983430
149,builder_14,174700008,2129100
150,builder_14,238419995,8271220
151,builder_14,238920011,1413100
152,builder_14,128329001,8745930
153,builder_14,290130003,1571130
154,builder_14,128299999,1423400
155,builder_14,227270005,2042730
156,builder_14,167419993,2195040
157,builder_14,81345997,1033160
158,builder_14,217589997,1824860
159,builder_14,133589996,4955800
160,builder_14,4554000,19700
161,builder_14,27128002,316130
162,builder_14,54935006,18516100
163,builder_14,184072008,18919790
164,builder_14,253588997,1798330
165,builder_14,295288003,19844030
166,builder_14,461019995,1346500
167,builder_14,300699999,8788970
168,builder_14,342169996,7983430
169,builder_14,174700008,2129100
170,builder_14,238419995,8271220
171,builder_14,238920011,1413100
172,builder_14,128329001,8745930
173,builder_14,290130003,1571130
174,builder_14,128299999,1423400
175,builder_14,227270005,2042730
176,builder_14,167419993,2195040
177,builder_14,81345997,1033160
178,builder_14,217589997,1824860
179,builder_14,133589996,4955800
180,builder_14,4554000,19700
181,builder_14,27128002,316130
182,builder_14,54935006,18516100
183,builder_14,184072008,18919790
184,builder_14,253588997,1798330
185,builder_14,295288003,19844030
186,builder_14,461019995,1346500
187,builder_14,300699999,8788970
188,builder_14,342169996,7983430
189,builder_14,174700008,2129100
190,builder_14,238419995,8271220
191,builder_14,238920011,1413100
192,builder_14,128329001,8745930
193,builder_14,290130003,1571130
194,builder_14,128299999,1423400
195,builder_14,227270005,2042730
196,builder_14,167419993,2195040
197,builder_14,81345997,1033160
198,builder_14,217589997,1824860
199,builder_14,133589996,4955800
200,builder_14,4554000,19700
201,builder_14,27128002,316130
202,builder_14,54935006,18516100
203,builder_14,184072008,18919790
204,builder_14,253588997,1798330
205,builder_14,295288003,19844030
206,builder_14,461019995,1346500
207,builder_14,300699999,8788970
208,builder_14,342169996,7983430
209,builder_14,174700008,2129100
210,builder_14,238419995,8271220
211,builder_14,238920011,1413100
212,builder_14,128329001,8745930
213,builder_14,290130003,1571130
214,builder_14,128299999,1423400
215,builder_14,227270005,2042730
216,builder_14,167419993,2195040
217,builder_14,81345997,1033160
218,builder_14,217589997,1824860
219,builder_14,133589996,4955800
220,builder_14,4554000,19700
221,builder_14,27128002,316130
222,builder_14,54935006,18516100
223,builder_14,184072008,18919790
224,builder_14,253588997,1798330
225,builder_14,295288003,19844030
226,builder_14,461019995,1346500
227,builder_14,300699999,8788970
228,builder_14,342169996,7983430
229,builder_14,174700008,2129100
230,builder_14,238419995,8271220
231,builder_14,238920011,1413100
232,builder_14,128329001,8745930
233,builder_14,290130003,1571130
234,builder_14,128299999,1423400
235,builder_14,227270005,2042730
236,builder_14,167419993,2195040
237,builder_14,81345997,1033160
238,builder_14,217589997,1824860
239,builder_14,133589996,4955800
240,builder_14,4554000,19700
241,builder_14,27128002,316130
242,builder_14,54935006,18516100
243,builder_14,184072008,18919790
244,builder_14,253588997,1798330
245,builder_14,295288003,19844030
246,builder_14,461019995,1346500
247,builder_14,300699999,8788970
248,builder_14,342169996,7983430
249,builder_14,174700008,2129100
250,builder_14,238419995,8271220
251,builder_14,238920011,1413100
252,builder_14,128329001,8745930
253,builder_14,290130003,1571130
254,builder_14,128299999,1423400
255,builder_14,227270005,2042730
256,builder_14,167419993,2195040
257,builder_14,81345997,1033160
