id,position,gas_fee,mev_potential,creator_id,created_at,included_at,target_tx
1,7,2100000,0,user_1,0,2,
9,30,1200000,0,user_7,0,4,
10,46,460000,0,user_7,0,4,
53,32,300000,0,user_48,0,2,
11,59,260000,0,user_7,0,4,
8,70,150000,0,user_7,0,4,
7,93,84000,19700,user_7,0,4,
48,6,5200000,0,user_44,0,5,
4,7,5000000,0,user_4,0,5,
20,15,3500000,17000,user_14,0,5,
17,11,2600000,0,user_12,0,4,
1,7,2100000,0,user_1,0,2,
37,17,1300000,0,user_34,0,3,
19,47,460000,296000,user_12,0,4,
72,65,459999,0,user_7,1,6,19
16,49,370000,0,user_10,0,4,
22,53,340000,0,user_17,0,4,
45,81,340000,0,user_42,0,7,
18,56,300000,0,user_12,0,4,
38,61,220000,0,user_35,0,4,
47,57,160000,0,user_44,0,5,
3,66,120000,0,user_4,0,5,
25,84,110000,0,user_20,0,4,
2,74,110000,0,user_3,0,5,
67,68,84001,0,user_1,1,3,7
112,74,84000,0,user_48,1,3,
23,73,84000,0,user_18,0,3,
6,98,70000,3130,user_6,0,4,
48,6,5200000,0,user_44,0,5,
4,7,5000000,0,user_4,0,5,
21,14,3500001,0,user_15,0,5,20
20,15,3500000,17000,user_14,0,5,
155,18,3499999,0,user_7,2,6,20
0,16,3200000,0,user_0,0,5,
17,11,2600000,0,user_12,0,4,
1,7,2100000,0,user_1,0,2,
91,26,2100000,0,user_23,1,9,
46,25,1500000,283000,user_43,0,5,
81,49,1499999,0,user_13,1,7,46
37,17,1300000,0,user_34,0,3,
9,30,1200000,0,user_7,0,4,
69,34,1100001,0,user_3,1,5,29
107,62,1100000,256000,user_44,1,7,
29,37,1100000,17700000,user_24,0,5,
70,39,1099999,0,user_3,1,5,29
32,26,1000000,0,user_28,0,3,
39,27,1000000,0,user_36,0,3,
10,46,460000,0,user_7,0,4,
19,47,460000,296000,user_12,0,4,
88,32,459999,0,user_20,1,3,19
16,49,370000,0,user_10,0,4,
