block_num,builder_id,total_gas_fee,total_mev
0,builder_5,77075998,18352030
1,builder_3,298078991,1273400
2,builder_2,47922998,1287800
3,builder_2,19266997,16400
4,builder_9,95216994,707500
5,builder_3,16102004,1538500
6,builder_1,17073006,1228600
7,builder_10,44421003,811100
8,builder_11,44372000,39800
9,builder_6,87314997,18178890
10,builder_4,119139998,1233140
11,builder_14,782616994,105970
12,builder_12,256316001,506090
13,builder_7,46472999,1662200
14,builder_9,82940006,4501600
15,builder_7,49829002,1548600
16,builder_12,103263012,335850
17,builder_8,86248992,149000
18,builder_3,132387992,1042220
19,builder_16,72104002,389320
20,builder_5,77075998,18352030
21,builder_3,298078991,1273400
22,builder_2,47922998,1287800
23,builder_2,19266997,16400
24,builder_9,95216994,707500
25,builder_3,16102004,1538500
26,builder_1,17073006,1228600
27,builder_10,44421003,811100
28,builder_11,44372000,39800
29,builder_6,87314997,18178890
30,builder_4,119139998,1233140
31,builder_14,782616994,105970
32,builder_12,256316001,506090
33,builder_7,46472999,1662200
34,builder_9,82940006,4501600
35,builder_7,49829002,1548600
36,builder_12,103263012,335850
37,builder_8,86248992,149000
38,builder_3,132387992,1042220
39,builder_16,72104002,389320
40,builder_5,77075998,18352030
41,builder_3,298078991,1273400
42,builder_2,47922998,1287800
43,builder_2,19266997,16400
44,builder_9,95216994,707500
45,builder_3,16102004,1538500
46,builder_1,17073006,1228600
47,builder_10,44421003,811100
48,builder_11,44372000,39800
49,builder_6,87314997,18178890
50,builder_4,119139998,1233140
51,builder_14,782616994,105970
52,builder_12,256316001,506090
53,builder_7,46472999,1662200
54,builder_9,82940006,4501600
55,builder_7,49829002,1548600
56,builder_12,103263012,335850
57,builder_8,86248992,149000
58,builder_3,132387992,1042220
59,builder_16,72104002,389320
60,builder_5,77075998,18352030
61,builder_3,298078991,1273400
62,builder_2,47922998,1287800
63,builder_2,19266997,16400
64,builder_9,95216994,707500
65,builder_3,16102004,1538500
66,builder_1,17073006,1228600
67,builder_10,44421003,811100
68,builder_11,44372000,39800
69,builder_6,87314997,18178890
70,builder_4,119139998,1233140
71,builder_14,782616994,105970
72,builder_12,256316001,506090
73,builder_7,46472999,1662200
74,builder_9,82940006,4501600
75,builder_7,49829002,1548600
76,builder_12,103263012,335850
77,builder_8,86248992,149000
78,builder_3,132387992,1042220
79,builder_16,72104002,389320
80,builder_5,77075998,18352030
81,builder_3,298078991,1273400
82,builder_2,47922998,1287800
83,builder_2,19266997,16400
84,builder_9,95216994,707500
85,builder_3,16102004,1538500
86,builder_1,17073006,1228600
87,builder_10,44421003,811100
88,builder_11,44372000,39800
89,builder_6,87314997,18178890
90,builder_4,119139998,1233140
91,builder_14,782616994,105970
92,builder_12,256316001,506090
93,builder_7,46472999,1662200
94,builder_9,82940006,4501600
95,builder_7,49829002,1548600
96,builder_12,103263012,335850
97,builder_8,86248992,149000
98,builder_3,132387992,1042220
99,builder_16,72104002,389320
100,builder_5,77075998,18352030
101,builder_3,298078991,1273400
102,builder_2,47922998,1287800
103,builder_2,19266997,16400
104,builder_9,95216994,707500
105,builder_3,16102004,1538500
106,builder_1,17073006,1228600
107,builder_10,44421003,811100
108,builder_11,44372000,39800
109,builder_6,87314997,18178890
110,builder_4,119139998,1233140
111,builder_14,782616994,105970
112,builder_12,256316001,506090
113,builder_7,46472999,1662200
114,builder_9,82940006,4501600
115,builder_7,49829002,1548600
116,builder_12,103263012,335850
117,builder_8,86248992,149000
118,builder_3,132387992,1042220
119,builder_16,72104002,389320
120,builder_5,77075998,18352030
121,builder_3,298078991,1273400
122,builder_2,47922998,1287800
123,builder_2,19266997,16400
124,builder_9,95216994,707500
125,builder_3,16102004,1538500
126,builder_1,17073006,1228600
127,builder_10,44421003,811100
128,builder_11,44372000,39800
129,builder_6,87314997,18178890
130,builder_4,119139998,1233140
131,builder_14,782616994,105970
132,builder_12,256316001,506090
133,builder_7,46472999,1662200
134,builder_9,82940006,4501600
135,builder_7,49829002,1548600
136,builder_12,103263012,335850
137,builder_8,86248992,149000
138,builder_3,132387992,1042220
139,builder_16,72104002,389320
140,builder_5,77075998,18352030
141,builder_3,298078991,1273400
142,builder_2,47922998,1287800
143,builder_2,19266997,16400
144,builder_9,95216994,707500
145,builder_3,16102004,1538500
146,builder_1,17073006,1228600
147,builder_10,44421003,811100
148,builder_11,44372000,39800
149,builder_6,87314997,18178890
150,builder_4,119139998,1233140
151,builder_14,782616994,105970
152,builder_12,256316001,506090
153,builder_7,46472999,1662200
154,builder_9,82940006,4501600
155,builder_7,49829002,1548600
156,builder_12,103263012,335850
157,builder_8,86248992,149000
158,builder_3,132387992,1042220
159,builder_16,72104002,389320
160,builder_5,77075998,18352030
161,builder_3,298078991,1273400
162,builder_2,47922998,1287800
163,builder_2,19266997,16400
164,builder_9,95216994,707500
165,builder_3,16102004,1538500
166,builder_1,17073006,1228600
167,builder_10,44421003,811100
168,builder_11,44372000,39800
169,builder_6,87314997,18178890
170,builder_4,119139998,1233140
171,builder_14,782616994,105970
172,builder_12,256316001,506090
173,builder_7,46472999,1662200
174,builder_9,82940006,4501600
175,builder_7,49829002,1548600
176,builder_12,103263012,335850
177,builder_8,86248992,149000
178,builder_3,132387992,1042220
179,builder_16,72104002,389320
180,builder_5,77075998,18352030
181,builder_3,298078991,1273400
182,builder_2,47922998,1287800
183,builder_2,19266997,16400
184,builder_9,95216994,707500
185,builder_3,16102004,1538500
186,builder_1,17073006,1228600
187,builder_10,44421003,811100
188,builder_11,44372000,39800
189,builder_6,87314997,18178890
190,builder_4,119139998,1233140
191,builder_14,782616994,105970
192,builder_12,256316001,506090
193,builder_7,46472999,1662200
194,builder_9,82940006,4501600
195,builder_7,49829002,1548600
196,builder_12,103263012,335850
197,builder_8,86248992,149000
198,builder_3,132387992,1042220
199,builder_16,72104002,389320
200,builder_5,77075998,18352030
201,builder_3,298078991,1273400
202,builder_2,47922998,1287800
203,builder_2,19266997,16400
204,builder_9,95216994,707500
205,builder_3,16102004,1538500
206,builder_1,17073006,1228600
207,builder_10,44421003,811100
208,builder_11,44372000,39800
209,builder_6,87314997,18178890
210,builder_4,119139998,1233140
211,builder_14,782616994,105970
212,builder_12,256316001,506090
213,builder_7,46472999,1662200
214,builder_9,82940006,4501600
215,builder_7,49829002,1548600
216,builder_12,103263012,335850
217,builder_8,86248992,149000
218,builder_3,132387992,1042220
219,builder_16,72104002,389320
220,builder_5,77075998,18352030
221,builder_3,298078991,1273400
222,builder_2,47922998,1287800
223,builder_2,19266997,16400
224,builder_9,95216994,707500
225,builder_3,16102004,1538500
226,builder_1,17073006,1228600
227,builder_10,44421003,811100
228,builder_11,44372000,39800
229,builder_6,87314997,18178890
230,builder_4,119139998,1233140
231,builder_14,782616994,105970
232,builder_12,256316001,506090
233,builder_7,46472999,1662200
234,builder_9,82940006,4501600
235,builder_7,49829002,1548600
236,builder_12,103263012,335850
237,builder_8,86248992,149000
238,builder_3,132387992,1042220
239,builder_16,72104002,389320
240,builder_5,77075998,18352030
241,builder_3,298078991,1273400
242,builder_2,47922998,1287800
243,builder_2,19266997,16400
244,builder_9,95216994,707500
245,builder_3,16102004,1538500
246,builder_1,17073006,1228600
247,builder_10,44421003,811100
248,builder_11,44372000,39800
249,builder_6,87314997,18178890
250,builder_4,119139998,1233140
251,builder_14,782616994,105970
252,builder_12,256316001,506090
253,builder_7,46472999,1662200
254,builder_9,82940006,4501600
255,builder_7,49829002,1548600
256,builder_12,103263012,335850
257,builder_8,86248992,149000
258,builder_3,132387992,1042220
259,builder_16,72104002,389320
260,builder_9,59714000,928030
261,builder_11,39738000,1278180
262,builder_0,38568005,891400
263,builder_2,73242003,543400
264,builder_13,98410006,194440
265,builder_4,31966999,1212500
266,builder_5,69392997,237280
267,builder_7,62860001,1251930
268,builder_10,71219999,414800
269,builder_4,77373995,1108300
270,builder_17,55294995,180440
271,builder_4,29499997,37300
272,builder_3,24866986,989380
273,builder_2,84429000,106700
274,builder_7,82241004,544830
275,builder_10,68487003,645100
276,builder_14,1077160002,65440
277,builder_16,75500008,1587420
278,builder_8,78993995,1166100
279,builder_7,36402999,707630
280,builder_9,59714000,928030
281,builder_11,39738000,1278180
282,builder_0,38568005,891400
283,builder_2,73242003,543400
284,builder_13,98410006,194440
285,builder_4,31966999,1212500
286,builder_5,69392997,237280
287,builder_7,62860001,1251930
288,builder_10,71219999,414800
289,builder_4,77373995,1108300
290,builder_17,55294995,180440
291,builder_4,29499997,37300
292,builder_3,24866986,989380
293,builder_2,84429000,106700
294,builder_7,82241004,544830
295,builder_10,68487003,645100
296,builder_14,1077160002,65440
297,builder_16,75500008,1587420
298,builder_8,78993995,1166100
299,builder_7,36402999,707630
300,builder_9,59714000,928030
301,builder_11,39738000,1278180
302,builder_0,38568005,891400
303,builder_2,73242003,543400
304,builder_13,98410006,194440
305,builder_4,31966999,1212500
306,builder_5,69392997,237280
307,builder_7,62860001,1251930
308,builder_10,71219999,414800
309,builder_4,77373995,1108300
310,builder_17,55294995,180440
311,builder_4,29499997,37300
312,builder_3,24866986,989380
313,builder_2,84429000,106700
314,builder_7,82241004,544830
315,builder_10,68487003,645100
316,builder_14,1077160002,65440
317,builder_16,75500008,1587420
318,builder_8,78993995,1166100
319,builder_7,36402999,707630
320,builder_9,59714000,928030
321,builder_11,39738000,1278180
322,builder_0,38568005,891400
323,builder_2,73242003,543400
324,builder_13,98410006,194440
325,builder_4,31966999,1212500
326,builder_5,69392997,237280
327,builder_7,62860001,1251930
328,builder_10,71219999,414800
329,builder_4,77373995,1108300
330,builder_17,55294995,180440
331,builder_4,29499997,37300
332,builder_3,24866986,989380
333,builder_2,84429000,106700
334,builder_7,82241004,544830
335,builder_10,68487003,645100
336,builder_14,1077160002,65440
337,builder_16,75500008,1587420
338,builder_8,78993995,1166100
339,builder_7,36402999,707630
340,builder_9,59714000,928030
341,builder_11,39738000,1278180
342,builder_0,38568005,891400
343,builder_2,73242003,543400
344,builder_13,98410006,194440
345,builder_4,31966999,1212500
346,builder_5,69392997,237280
347,builder_7,62860001,1251930
348,builder_10,71219999,414800
349,builder_4,77373995,1108300
350,builder_17,55294995,180440
351,builder_4,29499997,37300
352,builder_3,24866986,989380
353,builder_2,84429000,106700
354,builder_7,82241004,544830
355,builder_10,68487003,645100
356,builder_14,1077160002,65440
357,builder_16,75500008,1587420
358,builder_8,78993995,1166100
359,builder_7,36402999,707630
360,builder_9,59714000,928030
361,builder_11,39738000,1278180
362,builder_0,38568005,891400
363,builder_2,73242003,543400
364,builder_13,98410006,194440
365,builder_4,31966999,1212500
366,builder_5,69392997,237280
367,builder_7,62860001,1251930
368,builder_10,71219999,414800
369,builder_4,77373995,1108300
370,builder_17,55294995,180440
371,builder_4,29499997,37300
372,builder_3,24866986,989380
373,builder_2,84429000,106700
374,builder_7,82241004,544830
375,builder_10,68487003,645100
376,builder_14,1077160002,65440
377,builder_16,75500008,1587420
378,builder_8,78993995,1166100
379,builder_7,36402999,707630
380,builder_9,59714000,928030
381,builder_11,39738000,1278180
382,builder_0,38568005,891400
383,builder_2,73242003,543400
384,builder_13,98410006,194440
385,builder_4,31966999,1212500
386,builder_5,69392997,237280
387,builder_7,62860001,1251930
388,builder_10,71219999,414800
389,builder_4,77373995,1108300
390,builder_17,55294995,180440
391,builder_4,29499997,37300
392,builder_3,24866986,989380
393,builder_2,84429000,106700
394,builder_7,82241004,544830
395,builder_10,68487003,645100
396,builder_14,1077160002,65440
397,builder_16,75500008,1587420
398,builder_8,78993995,1166100
399,builder_7,36402999,707630
400,builder_9,59714000,928030
