block_num,validator_id,total_gas_fee,total_mev_available
0,validator_13,9565000,33100
1,validator_6,6490000,108000
2,validator_3,111314000,22260540
3,validator_2,217375000,18854220
4,validator_13,209663000,19153640
5,validator_10,414360000,23785100
6,validator_0,329600000,23585040
7,validator_10,581200000,23557940
8,validator_2,597200000,23620300
9,validator_14,701400000,23403790
10,validator_13,578040000,23594630
11,validator_2,782300000,23199990
12,validator_11,794800000,23281490
13,validator_8,610800000,5488290
14,validator_2,967000000,23606490
15,validator_3,705700000,1030600
16,validator_4,1002400000,5482200
17,validator_7,1079300000,1672200
18,validator_2,1142000000,1694400
19,validator_6,1230300000,1682900
20,validator_18,1335000000,1728700
21,validator_5,690400000,2500330
22,validator_19,1530100000,1917000
23,validator_4,1531700000,2035400
24,validator_16,1545000000,2100900
25,validator_0,1572500000,1820400
26,validator_15,1723800000,1585500
27,validator_9,1696200000,2340700
28,validator_1,1698600000,2290500
29,validator_18,1772600000,1834600
30,validator_12,1772600000,1885000
31,validator_4,1772400000,1900300
32,validator_5,1245900000,2226900
33,validator_1,1860600000,2779400
34,validator_13,1319800000,2584030
35,validator_9,2008300000,2941000
36,validator_13,9565000,33100
37,validator_6,6490000,108000
38,validator_3,111314000,22260540
39,validator_2,217375000,18854220
40,validator_13,209663000,19153640
41,validator_10,414360000,23785100
42,validator_0,329600000,23585040
43,validator_10,581200000,23557940
44,validator_2,597200000,23620300
45,validator_14,701400000,23403790
46,validator_13,578040000,23594630
47,validator_2,782300000,23199990
48,validator_11,794800000,23281490
49,validator_8,610800000,5488290
50,validator_2,967000000,23606490
51,validator_3,705700000,1030600
52,validator_4,1002400000,5482200
53,validator_7,1079300000,1672200
54,validator_2,1142000000,1694400
55,validator_6,1230300000,1682900
56,validator_18,1335000000,1728700
57,validator_5,690400000,2500330
58,validator_19,1530100000,1917000
59,validator_4,1531700000,2035400
60,validator_16,1545000000,2100900
61,validator_0,1572500000,1820400
62,validator_15,1723800000,1585500
63,validator_9,1696200000,2340700
64,validator_1,1698600000,2290500
65,validator_18,1772600000,1834600
66,validator_12,1772600000,1885000
67,validator_4,1772400000,1900300
68,validator_5,1245900000,2226900
69,validator_1,1860600000,2779400
70,validator_13,1319800000,2584030
71,validator_9,2008300000,2941000
72,validator_13,9565000,33100
73,validator_6,6490000,108000
74,validator_3,111314000,22260540
75,validator_2,217375000,18854220
76,validator_13,209663000,19153640
77,validator_10,414360000,23785100
78,validator_0,329600000,23585040
79,validator_10,581200000,23557940
80,validator_2,597200000,23620300
81,validator_14,701400000,23403790
82,validator_13,578040000,23594630
83,validator_2,782300000,23199990
84,validator_11,794800000,23281490
85,validator_8,610800000,5488290
86,validator_2,967000000,23606490
87,validator_3,705700000,1030600
88,validator_4,1002400000,5482200
89,validator_7,1079300000,1672200
90,validator_2,1142000000,1694400
91,validator_6,1230300000,1682900
92,validator_18,1335000000,1728700
93,validator_5,690400000,2500330
94,validator_19,1530100000,1917000
95,validator_4,1531700000,2035400
96,validator_16,1545000000,2100900
97,validator_0,1572500000,1820400
98,validator_15,1723800000,1585500
99,validator_9,1696200000,2340700
100,validator_1,1698600000,2290500
101,validator_18,1772600000,1834600
102,validator_12,1772600000,1885000
103,validator_4,1772400000,1900300
104,validator_5,1245900000,2226900
105,validator_1,1860600000,2779400
106,validator_13,1319800000,2584030
107,validator_9,2008300000,2941000
