id,position,gas_fee,mev_potential,creator_id,created_at,included_at,target_tx
60,98,5200000,0,user_46,0,35,
54,66,1500000,0,user_40,0,10,
28,83,1100000,0,user_17,0,10,
61,94,970000,0,user_46,0,10,
59,80,420000,0,user_46,0,6,
58,58,220000,0,user_45,0,4,
27,95,85000,33100,user_17,0,4,
57,53,70000,0,user_45,0,2,
15,98,2400000,0,user_11,0,14,
22,59,1700000,108000,user_14,0,10,
90,61,970000,0,user_31,1,6,
79,73,650000,0,user_21,1,6,
81,76,600000,0,user_23,1,6,
42,61,170000,0,user_28,0,4,
8,24,30000000,0,user_3,0,35,
101,33,27000000,0,user_39,1,35,
60,98,5200000,0,user_46,0,35,
1,65,5000000,46500,user_1,0,34,
12,82,4500000,0,user_8,0,34,
89,99,4500000,0,user_30,1,22,
33,98,2600000,0,user_21,0,16,
159,99,2600000,4320000,user_47,2,16,
39,96,2500000,17700000,user_23,0,14,
15,98,2400000,0,user_11,0,14,
6,80,2300000,0,user_3,0,12,
50,72,2100000,0,user_35,0,13,
4,93,2000000,0,user_2,0,15,
22,59,1700000,108000,user_14,0,10,
24,64,1600000,0,user_15,0,10,
14,63,1600000,0,user_10,0,10,
3,68,1500000,0,user_1,0,10,
38,69,1500000,0,user_22,0,10,
54,66,1500000,0,user_40,0,10,
36,88,1000000,0,user_22,0,10,
61,94,970000,0,user_46,0,10,
87,69,660000,0,user_25,1,6,
158,71,660000,60700,user_47,2,6,
55,23,420000,0,user_41,0,2,
59,80,420000,0,user_46,0,6,
16,84,350000,0,user_12,0,6,
108,82,350000,0,user_46,1,6,
35,87,340000,0,user_22,0,6,
25,89,320000,5640,user_16,0,6,
9,92,310000,0,user_3,0,6,
13,95,300000,0,user_9,0,6,
63,55,240000,0,user_49,0,4,
58,58,220000,0,user_45,0,4,
100,59,220000,0,user_39,1,4,
157,34,190000,0,user_47,2,2,
42,61,170000,0,user_28,0,4,
23,67,160000,0,user_15,0,4,
53,69,160000,0,user_39,0,4,
34,70,150000,0,user_22,0,4,
40,71,150000,19700,user_25,0,4,
140,75,150000,0,user_27,2,4,
141,76,150000,0,user_27,2,4,
64,80,120000,0,user_49,0,4,
45,79,120000,0,user_31,0,4,
37,85,110000,0,user_22,0,4,
26,84,110000,0,user_16,0,4,
49,86,110000,0,user_35,0,4,
156,47,100000,0,user_47,2,2,
41,91,87000,0,user_27,0,4,
2,96,84000,0,user_1,0,4,
7,97,83000,0,user_3,0,4,
5,98,80000,0,user_2,0,4,
47,99,80000,0,user_33,0,4,
57,53,70000,0,user_45,0,2,
94,2,43000000,0,user_35,1,35,
117,25,30000000,0,user_6,2,35,
101,33,27000000,0,user_39,1,35,
142,40,27000000,0,user_29,2,35,
60,98,5200000,0,user_46,0,35,
131,68,5000000,0,user_18,2,34,
1,65,5000000,46500,user_1,0,34,
139,66,5000000,0,user_25,2,34,
89,99,4500000,0,user_30,1,22,
12,82,4500000,0,user_8,0,34,
183,65,3200000,0,user_22,3,21,
10,86,2600000,350000,user_5,0,14,
33,98,2600000,0,user_21,0,16,
109,74,2500000,0,user_47,1,21,
39,96,2500000,17700000,user_23,0,14,
211,73,2500000,0,user_48,3,21,
15,98,2400000,0,user_11,0,14,
50,72,2100000,0,user_35,0,13,
88,95,2000000,13800,user_26,1,21,
4,93,2000000,0,user_2,0,15,
72,96,2000000,0,user_9,1,21,
128,53,1900000,13900,user_14,2,10,
22,59,1700000,108000,user_14,0,10,
14,63,1600000,0,user_10,0,10,
24,64,1600000,0,user_15,0,10,
54,66,1500000,0,user_40,0,10,
38,69,1500000,0,user_22,0,10,
3,68,1500000,0,user_1,0,10,
118,74,1400000,0,user_10,2,10,
92,56,1100000,0,user_34,1,6,
28,83,1100000,0,user_17,0,10,
36,88,1000000,0,user_22,0,10,
61,94,970000,0,user_46,0,10,
135,95,970000,0,user_21,2,10,
90,61,970000,0,user_31,1,6,
43,93,970000,0,user_30,0,10,
134,98,910000,0,user_21,2,10,
149,99,870000,0,user_39,2,10,
82,70,660000,0,user_24,1,6,
87,69,660000,0,user_25,1,6,
75,72,650000,0,user_15,1,6,
81,76,600000,0,user_23,1,6,
155,77,600000,64600,user_45,2,6,
85,79,420000,0,user_24,1,6,
59,80,420000,0,user_46,0,6,
108,82,350000,0,user_46,1,6,
130,83,350000,0,user_18,2,6,
16,84,350000,0,user_12,0,6,
35,87,340000,0,user_22,0,6,
25,89,320000,5640,user_16,0,6,
121,93,310000,0,user_10,2,6,
44,90,310000,0,user_30,0,6,
13,95,300000,0,user_9,0,6,
115,97,260000,256000,user_3,2,6,
86,99,240000,0,user_24,1,6,
63,55,240000,0,user_49,0,4,
127,56,240000,68100,user_14,2,4,
100,59,220000,0,user_39,1,4,
58,58,220000,0,user_45,0,4,
93,59,220000,0,user_35,1,3,
137,60,190000,121000,user_23,2,4,
119,63,170000,0,user_10,2,4,
143,62,170000,0,user_29,2,4,
138,64,170000,0,user_23,2,4,
53,69,160000,0,user_39,0,4,
46,66,160000,0,user_32,0,4,
23,67,160000,0,user_15,0,4,
67,67,150000,5180,user_4,1,3,
40,71,150000,19700,user_25,0,4,
0,73,150000,31700,user_0,0,4,
34,70,150000,0,user_22,0,4,
76,78,150000,0,user_18,1,4,
150,74,150000,0,user_40,2,4,
140,75,150000,0,user_27,2,4,
141,76,150000,0,user_27,2,4,
182,75,150000,0,user_22,3,3,
66,76,120000,0,user_3,1,3,
45,79,120000,0,user_31,0,4,
64,80,120000,0,user_49,0,4,
120,81,120000,0,user_10,2,4,
122,82,120000,0,user_10,2,4,
129,83,120000,0,user_16,2,4,
110,82,110000,0,user_48,1,3,
49,86,110000,0,user_35,0,4,
26,84,110000,0,user_16,0,4,
37,85,110000,0,user_22,0,4,
160,87,110000,0,user_49,2,4,
73,87,110000,0,user_10,1,3,
83,88,100000,0,user_24,1,3,
41,91,87000,0,user_27,0,4,
103,92,87000,0,user_40,1,4,
80,91,87000,17000,user_22,1,3,
62,90,87000,0,user_47,0,4,
27,95,85000,33100,user_17,0,4,
153,94,85000,0,user_42,2,4,
2,96,84000,0,user_1,0,4,
184,96,83000,0,user_22,3,3,
5,98,80000,0,user_2,0,4,
47,99,80000,0,user_33,0,4,
181,99,80000,0,user_22,3,3,
117,25,30000000,0,user_6,2,35,
8,24,30000000,0,user_3,0,35,
142,40,27000000,0,user_29,2,35,
101,33,27000000,0,user_39,1,35,
253,70,6300000,0,user_45,4,35,
60,98,5200000,0,user_46,0,35,
113,64,5000000,0,user_1,2,34,
131,68,5000000,0,user_18,2,34,
1,65,5000000,46500,user_1,0,34,
139,66,5000000,0,user_25,2,34,
12,82,4500000,0,user_8,0,34,
124,97,3200000,0,user_11,2,34,
