id,position,gas_fee,mev_potential,creator_id,created_at,included_at,target_tx
27,0,19000000,71800,user_48,0,0,
0,1,0,0,validator_0,100,0,27
23,2,19000000,0,user_42,0,0,
29,3,1100000,17700000,user_0,0,0,
1,4,0,0,validator_0,100,0,29
48,5,5200000,0,user_20,0,0,
4,6,5000000,0,user_29,0,0,
43,7,5000000,0,user_15,0,0,
34,8,3600000,0,user_8,0,0,
20,9,3500000,17000,user_39,0,0,
2,10,0,0,validator_0,100,0,20
0,11,3200000,0,user_25,0,0,
30,12,2300000,410000,user_2,0,0,
3,13,0,0,validator_0,100,0,30
17,14,2600000,0,user_37,0,0,
1,15,2100000,0,user_26,0,0,
46,16,1500000,283000,user_19,0,0,
4,17,0,0,validator_0,100,0,46
41,18,1700000,0,user_13,0,0,
13,19,1600000,0,user_33,0,0,
37,20,1300000,0,user_10,0,0,
9,21,1200000,0,user_32,0,0,
26,22,1000000,0,user_48,0,0,
32,23,1000000,0,user_4,0,0,
39,24,1000000,0,user_12,0,0,
21,25,970000,0,user_40,0,0,
5,26,0,0,validator_0,100,0,19
19,27,460000,296000,user_37,0,0,
10,28,460000,0,user_32,0,0,
42,29,420000,0,user_14,0,0,
16,30,370000,0,user_35,0,0,
35,31,360000,0,user_9,0,0,
6,32,0,0,validator_0,100,0,44
44,33,340000,5630,user_16,0,0,
45,34,340000,0,user_18,0,0,
36,35,310000,0,user_9,0,0,
18,36,300000,0,user_37,0,0,
53,37,300000,0,user_24,0,0,
11,38,260000,0,user_32,0,0,
33,39,220000,0,user_5,0,0,
38,40,220000,0,user_11,0,0,
12,41,170000,0,user_33,0,0,
22,42,170000,0,user_41,0,0,
24,43,170000,0,user_43,0,0,
52,44,170000,0,user_23,0,0,
5,45,160000,0,user_30,0,0,
47,46,160000,0,user_20,0,0,
51,47,120000,35600,user_22,0,0,
7,48,0,0,validator_0,100,0,51
8,49,150000,0,user_32,0,0,
15,50,150000,0,user_34,0,0,
28,51,130000,0,user_0,0,0,
8,52,0,0,validator_0,100,0,40
40,53,77000,43600,user_13,0,0,
3,54,120000,0,user_29,0,0,
2,55,110000,0,user_28,0,0,
25,56,110000,0,user_46,0,0,
7,57,84000,19700,user_32,0,0,
9,58,0,0,validator_0,100,0,7
50,59,100000,0,user_22,0,0,
49,60,79000,0,user_21,0,0,
6,61,70000,3130,user_31,0,0,
10,62,0,0,validator_0,100,0,6
14,63,73000,0,user_34,0,0,
31,64,73000,0,user_2,0,0,
64,0,19000000,0,user_2,1,1,
23,1,19000000,0,user_16,1,1,
70,2,19000000,0,user_19,1,1,
56,3,6100000,0,user_30,1,1,
4,4,5000000,0,user_36,1,1,
4,5,5000000,0,user_8,1,1,
20,6,3500000,17000,user_10,1,1,
11,7,0,0,validator_2,100,1,20
0,8,3200000,0,user_26,1,1,
0,9,3200000,0,user_40,1,1,
17,10,2600000,0,user_4,1,1,
1,11,2100000,0,user_29,1,1,
1,12,2100000,0,user_46,1,1,
66,13,1700000,0,user_7,1,1,
13,14,1600000,0,user_45,1,1,
