block_num,builder_id,proposer_id,proposer_type,builder_stake,proposer_stake,builder_is_attacker,total_gas_fee,total_mev_available,bid_value,block_value,num_transactions
0,builder_23,proposer_43,proposer,64000000000,256000000000,True,722094004,0,729451344.0,729451344.0,100
1,builder_45,builder_45,builder,256000000000,256000000000,False,681300000,0,681300000.0,681300000.0,100
2,builder_11,builder_11,builder,96000000000,96000000000,True,521695997,0,548775097.0,548775097.0,100
3,builder_22,proposer_8,proposer,32000000000,256000000000,True,584008009,0,611627079.0,611627079.0,100
4,builder_5,proposer_16,proposer,32000000000,64000000000,True,403540007,0,413297287.0,413297287.0,100
5,builder_2,proposer_11,proposer,32000000000,256000000000,True,871060005,0,882994425.0,882994425.0,100
6,builder_22,proposer_27,proposer,32000000000,256000000000,True,657740007,0,668378007.0,668378007.0,100
7,builder_5,proposer_36,proposer,32000000000,32000000000,True,710320008,0,756113928.0,756113928.0,100
8,builder_47,builder_47,builder,160000000000,160000000000,False,646600000,0,646600000.0,646600000.0,100
9,builder_20,builder_20,builder,64000000000,64000000000,True,768445998,0,776527238.0,776527238.0,100
10,builder_33,builder_33,builder,64000000000,64000000000,False,689100000,0,689100000.0,689100000.0,100
11,builder_4,proposer_27,proposer,32000000000,256000000000,True,834960006,0,864610606.0,864610606.0,100
12,builder_22,proposer_4,proposer,32000000000,256000000000,True,1220240013,0,1227222593.0,1227222593.0,100
13,builder_16,proposer_8,proposer,256000000000,256000000000,True,557300007,0,575076357.0,575076357.0,100
14,builder_17,proposer_15,proposer,32000000000,64000000000,True,475980011,0,497290711.0,497290711.0,100
15,builder_13,proposer_4,proposer,64000000000,256000000000,True,827600010,0,834544550.0,834544550.0,100
16,builder_2,proposer_13,proposer,32000000000,256000000000,True,875880009,0,909326889.0,909326889.0,100
17,builder_22,builder_22,builder,32000000000,32000000000,True,686159997,0,698156637.0,698156637.0,100
18,builder_5,proposer_43,proposer,32000000000,256000000000,True,454200009,0,473133709.0,473133709.0,100
19,builder_13,proposer_9,proposer,64000000000,32000000000,True,668404014,0,709198394.0,709198394.0,100
20,builder_47,builder_47,builder,160000000000,160000000000,False,797800000,0,797800000.0,797800000.0,100
21,builder_21,builder_21,builder,64000000000,64000000000,True,718860005,0,745581805.0,745581805.0,100
22,builder_29,builder_29,builder,32000000000,32000000000,False,878100000,0,878100000.0,878100000.0,100
23,builder_22,proposer_46,proposer,32000000000,160000000000,True,844880007,0,862122547.0,862122547.0,100
24,builder_49,builder_49,builder,32000000000,32000000000,False,588700000,0,588700000.0,588700000.0,100
25,builder_13,proposer_24,proposer,64000000000,96000000000,True,531180009,0,556703409.0,556703409.0,100
26,builder_1,proposer_46,proposer,32000000000,160000000000,True,531520003,0,559250483.0,559250483.0,100
27,builder_11,proposer_43,proposer,96000000000,256000000000,True,578500006,0,580278906.0,580278906.0,100
28,builder_38,builder_38,builder,160000000000,160000000000,False,557100000,0,557100000.0,557100000.0,100
29,builder_31,builder_31,builder,64000000000,64000000000,False,499200000,0,499200000.0,499200000.0,100
30,builder_30,builder_30,builder,32000000000,32000000000,False,527700000,0,527700000.0,527700000.0,100
31,builder_24,proposer_11,proposer,64000000000,256000000000,True,836438008,0,905205938.0,905205938.0,100
32,builder_30,builder_30,builder,32000000000,32000000000,False,618200000,0,618200000.0,618200000.0,100
33,builder_33,builder_33,builder,64000000000,64000000000,False,597300000,0,597300000.0,597300000.0,100
34,builder_1,builder_1,builder,32000000000,32000000000,True,602639999,0,672853029.0,672853029.0,100
35,builder_41,builder_41,builder,96000000000,96000000000,False,705500000,0,705500000.0,705500000.0,100
36,builder_42,builder_42,builder,96000000000,96000000000,False,526700000,0,526700000.0,526700000.0,100
37,builder_20,builder_20,builder,64000000000,64000000000,True,907990004,0,942489484.0,942489484.0,100
38,builder_12,builder_12,builder,160000000000,160000000000,True,640100003,0,667647703.0,667647703.0,100
39,builder_23,proposer_34,proposer,64000000000,32000000000,True,667400008,0,687821108.0,687821108.0,100
40,builder_4,proposer_44,proposer,32000000000,96000000000,True,524340007,0,545110347.0,545110347.0,100
41,builder_18,builder_18,builder,32000000000,32000000000,True,925299998,0,973932118.0,973932118.0,100
42,builder_12,proposer_4,proposer,160000000000,256000000000,True,637640011,0,661979211.0,661979211.0,100
43,builder_21,proposer_13,proposer,64000000000,256000000000,True,853060013,0,864377413.0,864377413.0,100
44,builder_27,builder_27,builder,160000000000,160000000000,False,604400000,0,604400000.0,604400000.0,100
45,builder_1,proposer_29,proposer,32000000000,256000000000,True,868036010,0,910246030.0,910246030.0,100
46,builder_4,proposer_14,proposer,32000000000,32000000000,True,703780008,0,749948468.0,749948468.0,100
47,builder_46,builder_46,builder,32000000000,32000000000,False,465500000,0,465500000.0,465500000.0,100
