participant_id,participant_type,is_attacker,reinvestment_factor,initial_stake,final_stake,total_profit,num_validator_nodes
builder_0,builder,True,0.4169526266056648,32000000000,32000000000,0,1
builder_1,builder,True,0.2588553818900783,32000000000,32000000000,0,1
builder_2,builder,True,0.335063350697719,32000000000,32000000000,0,1
builder_3,builder,True,0.7892419935789009,96000000000,96000000000,0,3
builder_4,builder,True,0.8076368242952832,32000000000,32000000000,0,1
builder_5,builder,True,0.6267487533654431,32000000000,32000000000,0,1
builder_6,builder,True,0.25823504790873264,32000000000,32000000000,0,1
builder_7,builder,True,0.6430223522504103,32000000000,32000000000,0,1
builder_8,builder,True,0.973884374526181,32000000000,32000000000,0,1
builder_9,builder,True,0.23480038709853956,96000000000,96000000000,0,3
builder_10,builder,True,0.06573195132803966,32000000000,32000000000,0,1
builder_11,builder,True,0.8424283777497127,96000000000,96000000000,0,3
builder_12,builder,True,0.7957382807354629,160000000000,160000000000,0,5
builder_13,builder,True,0.022754274070887592,64000000000,64000000000,0,2
builder_14,builder,True,0.36924891943504434,32000000000,32000000000,0,1
builder_15,builder,True,0.31937455741671295,64000000000,64000000000,0,2
builder_16,builder,True,0.6554031880943525,256000000000,256000000000,0,8
builder_17,builder,True,0.09312785075413221,32000000000,32000000000,0,1
builder_18,builder,True,0.9187536674977407,32000000000,32000000000,0,1
builder_19,builder,True,0.765382702594133,64000000000,64000000000,0,2
builder_20,builder,True,0.17814676897310777,64000000000,64000000000,0,2
builder_21,builder,True,0.10403310985045855,64000000000,64000000000,0,2
builder_22,builder,True,0.46445690753767,32000000000,32000000000,0,1
builder_23,builder,True,0.03032783945723938,64000000000,64000000000,0,2
builder_24,builder,True,0.5028444333688974,64000000000,64000000000,0,2
builder_25,builder,False,0.10824291619482718,32000000000,32000000000,0,1
builder_26,builder,False,0.23753894959301647,32000000000,32000000000,0,1
builder_27,builder,False,0.22487579580800443,160000000000,160000000000,0,5
builder_28,builder,False,0.8605113506914422,64000000000,64000000000,0,2
builder_29,builder,False,0.3046581638787992,32000000000,32000000000,0,1
builder_30,builder,False,0.9932439162333497,32000000000,32000000000,0,1
builder_31,builder,False,0.47219769067428474,64000000000,64000000000,0,2
builder_32,builder,False,0.07953427555629722,64000000000,64000000000,0,2
builder_33,builder,False,0.3132660765805855,64000000000,64000000000,0,2
builder_34,builder,False,0.05245940024669482,96000000000,96000000000,0,3
builder_35,builder,False,0.4023920318717834,32000000000,32000000000,0,1
builder_36,builder,False,0.7183697969695598,32000000000,32000000000,0,1
builder_37,builder,False,0.6231103331101708,32000000000,32000000000,0,1
builder_38,builder,False,0.6250505898718502,160000000000,160000000000,0,5
