block_num,validator_id,total_gas_fee,total_mev_available
0,validator_7,135676996,366500
1,validator_6,167664999,80120
2,validator_13,21435997,964000
3,validator_1,155438994,9353200
4,validator_17,116602995,562000
5,validator_18,77461004,229400
6,validator_12,101413999,1089040
7,validator_14,109110002,267700
8,validator_18,663399999,59500
9,validator_3,73879002,882300
10,validator_8,29470002,150900
11,validator_4,93013997,644800
12,validator_5,85647006,214600
13,validator_14,105217994,5005400
14,validator_17,48926005,139680
15,validator_18,674477992,92040
16,validator_18,99680998,232620
17,validator_0,186591004,18376600
18,validator_19,93277003,5427720
19,validator_18,104380997,4683600
20,validator_15,28967992,115900
21,validator_10,109447003,571800
22,validator_16,79603001,911300
23,validator_5,61614996,18861040
24,validator_8,57884997,1320400
25,validator_15,58699996,181700
26,validator_12,70394000,327300
27,validator_16,31663996,848500
28,validator_18,24786997,1057700
29,validator_11,73876004,1335980
30,validator_2,114274000,4397990
31,validator_16,34774999,7512300
32,validator_11,136410002,533590
33,validator_12,100588992,743430
34,validator_18,727197001,35600800
35,validator_14,85708003,1006830
36,validator_15,107786998,191500
37,validator_15,129195000,144420
38,validator_2,22165996,873800
39,validator_13,164751995,4910500
40,validator_9,115168999,330100
41,validator_1,36695999,2030900
42,validator_6,90149995,249930
43,validator_5,52168003,335800
44,validator_8,66509990,1126400
45,validator_16,32796002,586100
46,validator_14,33197001,138890
47,validator_17,123516999,544800
48,validator_4,137505009,549100
49,validator_15,82648996,4527500
50,validator_2,53118007,122280
51,validator_15,26664991,7246440
52,validator_13,133008002,1137100
53,validator_1,168290003,18343500
54,validator_17,33556004,6393600
55,validator_5,52150002,20155190
56,validator_14,109159996,1295300
57,validator_5,49127002,1459000
58,validator_12,46873008,1829800
59,validator_19,32721007,1720630
60,validator_11,200158003,18772800
61,validator_3,48113000,867930
62,validator_19,66938994,282300
63,validator_9,71889996,5138240
64,validator_3,53292001,1657000
65,validator_7,98084009,7625100
66,validator_3,57794999,441540
67,validator_18,34073001,626420
68,validator_15,86037002,112080
69,validator_0,147213001,1886180
70,validator_14,167508006,209800
71,validator_0,50329998,7787390
72,validator_0,98086998,286200
73,validator_2,155341999,1301120
74,validator_19,39817003,1291100
75,validator_0,40360995,698380
76,validator_4,160961999,100000
77,validator_6,77483998,335600
78,validator_18,85323996,320980
79,validator_5,91938002,15700
80,validator_4,52973990,391700
81,validator_15,93971999,7801100
82,validator_18,78452001,1655530
83,validator_8,92606997,498500
84,validator_12,50002002,1703900
85,validator_1,76478992,1960700
86,validator_5,80829000,514430
87,validator_15,120381999,700800
88,validator_12,122898999,18421100
89,validator_15,30654003,703200
90,validator_6,84451000,120500
91,validator_1,110150004,17590
92,validator_5,42107002,64600
93,validator_16,102473002,274900
94,validator_7,95007002,4416600
95,validator_13,152437002,974900
96,validator_7,90219013,18059500
97,validator_7,68031997,5086900
98,validator_15,113296997,502900
99,validator_11,111643999,1777800
100,validator_13,42937000,532200
101,validator_7,121836007,1287880
102,validator_10,86698000,4772600
103,validator_3,76369004,1031530
104,validator_17,55662998,950940
105,validator_12,89684002,9414000
106,validator_15,44368001,898000
107,validator_10,137300004,488200
108,validator_17,105956998,366500
109,validator_9,149684998,106520
110,validator_12,23795998,1060700
111,validator_11,161979997,9284500
112,validator_16,181514996,594100
113,validator_2,74896001,471700
114,validator_2,114042000,753100
115,validator_15,18835000,120800
116,validator_9,87079994,321300
117,validator_15,11794997,1172600
118,validator_14,144673002,1566800
119,validator_0,132529998,145700
120,validator_10,102270002,1651930
121,validator_18,74169995,1077800
122,validator_8,16533998,161700
123,validator_12,165930995,7266000
124,validator_10,108308997,462430
125,validator_10,24684002,160500
126,validator_6,84451000,120500
127,validator_6,90809998,114390
128,validator_11,50225997,734240
129,validator_10,110382996,625200
130,validator_12,100328000,8677400
131,validator_14,642740007,692800
132,validator_17,95295000,122300
133,validator_0,92376998,4859800
