id,position,gas_fee,mev_potential,creator_id,created_at,included_at,target_tx
3,0,5000001,0,user_7,0,0,0
10,1,5000001,0,user_13,0,0,0
11,2,5000001,0,user_13,0,0,0
12,3,5000001,0,user_14,0,0,0
13,4,5000001,0,user_15,0,0,0
17,5,5000001,0,user_15,0,0,0
19,6,5000001,0,user_17,0,0,0
28,7,5000001,0,user_30,0,0,0
0,8,5000000,15300,user_4,0,0,
45,9,5000000,71800,user_48,0,0,
4,10,4999999,0,user_7,0,0,0
6,11,4999999,0,user_9,0,0,0
7,12,4999999,0,user_10,0,0,0
8,13,4999999,0,user_11,0,0,0
9,14,4999999,0,user_12,0,0,0
14,15,4999999,0,user_15,0,0,0
15,16,4999999,0,user_15,0,0,0
16,17,4999999,0,user_15,0,0,0
24,18,4999999,0,user_24,0,0,0
33,19,3200000,0,user_36,0,0,
37,20,1500000,0,user_39,0,0,
43,21,1500000,0,user_46,0,0,
42,22,670000,0,user_46,0,0,
36,23,530000,0,user_37,0,0,
31,24,470000,75000,user_35,0,0,
32,25,460000,0,user_36,0,0,
38,26,370000,769000,user_39,0,0,
34,27,340000,0,user_36,0,0,
44,28,320000,7190000,user_47,0,0,
35,29,220000,0,user_36,0,0,
39,30,110000,0,user_41,0,0,
41,31,84000,0,user_44,0,0,
46,0,43000000,0,user_0,1,1,
87,1,43000000,0,user_48,1,1,
79,2,27000000,0,user_40,1,1,
85,3,4500000,0,user_46,1,1,
83,4,3600000,0,user_44,1,1,
76,5,1600000,0,user_36,1,1,
82,6,1500000,0,user_42,1,1,
88,7,1500000,0,user_48,1,1,
90,8,0,0,validator_6,100,1,47
47,9,1100000,231000,user_1,1,1,
49,10,1100001,0,user_3,1,1,47
50,11,1100001,0,user_4,1,1,47
51,12,1100001,0,user_6,1,1,47
52,13,1100001,0,user_7,1,1,47
53,14,1100001,0,user_8,1,1,47
58,15,1100001,0,user_17,1,1,47
63,16,1100001,0,user_23,1,1,47
69,17,1100001,0,user_29,1,1,47
70,18,1100001,0,user_29,1,1,47
48,19,1099999,0,user_2,1,1,47
54,20,1099999,0,user_9,1,1,47
56,21,1099999,0,user_14,1,1,47
59,22,1099999,0,user_18,1,1,47
61,23,1099999,0,user_21,1,1,47
62,24,1099999,0,user_21,1,1,47
64,25,1099999,0,user_23,1,1,47
67,26,1099999,0,user_27,1,1,47
68,27,1099999,0,user_28,1,1,47
81,28,660000,0,user_41,1,1,
80,29,420000,0,user_41,1,1,
89,30,320000,0,user_49,1,1,
77,31,220000,0,user_36,1,1,
78,32,120000,0,user_39,1,1,
86,33,82000,0,user_47,1,1,
94,0,43000000,0,user_0,2,2,
113,1,43000000,0,user_18,2,2,
121,2,19000001,0,user_30,2,2,120
120,3,19000000,17000,user_28,2,2,
122,4,18999999,0,user_30,2,2,120
130,5,6300000,0,user_35,2,2,
117,6,6100000,0,user_22,2,2,
119,7,6100000,0,user_26,2,2,
116,8,5000000,0,user_21,2,2,
118,9,5000000,0,user_24,2,2,
133,10,3200000,0,user_40,2,2,
104,11,2000000,0,user_10,2,2,
107,12,2000000,0,user_14,2,2,
109,13,1700000,0,user_16,2,2,
101,14,1600000,0,user_8,2,2,
91,15,1500000,0,user_0,2,2,
92,16,1400000,0,user_0,2,2,
110,17,1400000,0,user_16,2,2,
139,18,970000,322000,user_47,2,2,
111,19,650000,0,user_17,2,2,
93,20,530000,0,user_0,2,2,
105,21,340000,0,user_11,2,2,
114,22,310000,0,user_19,2,2,
108,23,260000,0,user_14,2,2,
137,24,260000,0,user_44,2,2,
96,25,240000,0,user_1,2,2,
123,26,240000,0,user_31,2,2,
95,27,220000,0,user_0,2,2,
97,28,220000,0,user_2,2,2,
112,29,170000,0,user_18,2,2,
124,30,170000,256000,user_31,2,2,
125,31,160000,0,user_32,2,2,
127,32,150000,139000,user_33,2,2,
134,33,150000,0,user_41,2,2,
115,34,130000,0,user_20,2,2,
126,35,120000,0,user_32,2,2,
99,36,110000,0,user_5,2,2,
140,37,110000,35600,user_47,2,2,
100,38,100000,0,user_5,2,2,
141,39,87000,15700,user_48,2,2,
129,40,84000,155000,user_34,2,2,
128,41,82000,39400,user_33,2,2,
132,42,77000,0,user_39,2,2,
174,0,43000000,0,user_37,3,3,
145,1,3500001,0,user_5,3,3,144
149,2,3500001,0,user_10,3,3,144
150,3,3500001,0,user_10,3,3,144
158,4,3500001,0,user_15,3,3,144
160,5,3500001,0,user_17,3,3,144
162,6,3500001,0,user_21,3,3,144
163,7,3500001,0,user_22,3,3,144
164,8,3500001,0,user_22,3,3,144
167,9,3500001,0,user_26,3,3,144
144,10,3500000,8520,user_2,3,3,
183,11,3500000,0,user_46,3,3,
147,12,3499999,0,user_9,3,3,144
148,13,3499999,0,user_9,3,3,144
151,14,3499999,0,user_11,3,3,144
152,15,3499999,0,user_12,3,3,144
153,16,3499999,0,user_12,3,3,144
154,17,3499999,0,user_12,3,3,144
155,18,3499999,0,user_12,3,3,144
156,19,3499999,0,user_13,3,3,144
157,20,3499999,0,user_14,3,3,144
159,21,3499999,0,user_15,3,3,144
161,22,3499999,0,user_19,3,3,144
165,23,3499999,0,user_25,3,3,144
166,24,3499999,0,user_25,3,3,144
168,25,3499999,0,user_29,3,3,144
143,26,1500000,0,user_1,3,3,
171,27,1000000,0,user_34,3,3,
187,28,660000,0,user_49,3,3,
170,29,630000,0,user_33,3,3,
178,30,460000,215000,user_41,3,3,
169,31,420000,0,user_33,3,3,
175,32,220000,100000,user_38,3,3,
172,33,150000,0,user_35,3,3,
186,34,150000,4320000,user_48,3,3,
142,35,120000,0,user_0,3,3,
179,36,120000,39400,user_42,3,3,
181,37,73000,0,user_45,3,3,
182,38,70000,0,user_45,3,3,
246,0,0,0,validator_4,100,4,238
238,1,6300000,14200,user_43,4,4,
189,2,5000000,215000,user_0,4,4,
247,3,0,0,validator_4,100,4,189
191,4,5000001,0,user_0,4,4,189
199,5,5000001,0,user_5,4,4,189
202,6,5000001,0,user_12,4,4,189
203,7,5000001,0,user_12,4,4,189
204,8,5000001,0,user_12,4,4,189
207,9,5000001,0,user_13,4,4,189
211,10,5000001,0,user_13,4,4,189
212,11,5000001,0,user_14,4,4,189
219,12,5000001,0,user_24,4,4,189
221,13,5000001,0,user_28,4,4,189
190,14,4999999,0,user_0,4,4,189
192,15,4999999,0,user_0,4,4,189
193,16,4999999,0,user_1,4,4,189
194,17,4999999,0,user_1,4,4,189
197,18,4999999,0,user_3,4,4,189
198,19,4999999,0,user_3,4,4,189
205,20,4999999,0,user_12,4,4,189
206,21,4999999,0,user_12,4,4,189
208,22,4999999,0,user_13,4,4,189
209,23,4999999,0,user_13,4,4,189
210,24,4999999,0,user_13,4,4,189
213,25,4999999,0,user_15,4,4,189
215,26,4999999,0,user_21,4,4,189
216,27,4999999,0,user_21,4,4,189
217,28,4999999,0,user_22,4,4,189
218,29,4999999,0,user_23,4,4,189
222,30,4999999,0,user_29,4,4,189
248,31,0,0,validator_4,100,4,225
225,32,1500000,231000,user_33,4,4,
226,33,1600000,0,user_33,4,4,
240,34,1600000,0,user_43,4,4,
235,35,1000000,17000,user_42,4,4,
249,36,0,0,validator_4,100,4,235
250,37,0,0,validator_4,100,4,239
239,38,160000,283000,user_43,4,4,
243,39,360000,0,user_45,4,4,
229,40,260000,33100,user_35,4,4,
251,41,0,0,validator_4,100,4,229
228,42,190000,0,user_35,4,4,
224,43,170000,0,user_31,4,4,
237,44,170000,0,user_43,4,4,
241,45,150000,0,user_44,4,4,
188,46,130000,0,user_0,4,4,
252,47,0,0,validator_4,100,4,234
234,48,110000,15100,user_41,4,4,
231,49,110000,0,user_37,4,4,
236,50,110000,0,user_43,4,4,
242,51,84000,0,user_44,4,4,
232,52,80000,0,user_39,4,4,
300,0,30000000,0,user_47,5,5,
253,1,5000000,0,user_0,5,5,
297,2,2600000,0,user_46,5,5,
257,3,2300001,0,user_2,5,5,256
260,4,2300001,0,user_4,5,5,256
262,5,2300001,0,user_8,5,5,256
263,6,2300001,0,user_9,5,5,256
267,7,2300001,0,user_11,5,5,256
268,8,2300001,0,user_12,5,5,256
269,9,2300001,0,user_13,5,5,256
270,10,2300001,0,user_13,5,5,256
271,11,2300001,0,user_13,5,5,256
273,12,2300001,0,user_18,5,5,256
274,13,2300001,0,user_20,5,5,256
275,14,2300001,0,user_20,5,5,256
276,15,2300001,0,user_20,5,5,256
277,16,2300001,0,user_21,5,5,256
279,17,2300001,0,user_25,5,5,256
280,18,2300001,0,user_25,5,5,256
281,19,2300001,0,user_27,5,5,256
256,20,2300000,49100,user_2,5,5,
259,21,2299999,0,user_4,5,5,256
261,22,2299999,0,user_5,5,5,256
264,23,2299999,0,user_10,5,5,256
265,24,2299999,0,user_11,5,5,256
266,25,2299999,0,user_11,5,5,256
272,26,2299999,0,user_15,5,5,256
278,27,2299999,0,user_22,5,5,256
282,28,2299999,0,user_28,5,5,256
283,29,2299999,0,user_30,5,5,256
292,30,2000000,0,user_37,5,5,
290,31,1900000,0,user_36,5,5,
287,32,1600000,0,user_35,5,5,
285,33,1100000,0,user_33,5,5,
288,34,1100000,0,user_36,5,5,
299,35,670000,296000,user_47,5,5,
286,36,530000,0,user_34,5,5,
296,37,530000,0,user_45,5,5,
291,38,470000,0,user_36,5,5,
289,39,420000,0,user_36,5,5,
295,40,420000,0,user_43,5,5,
294,41,370000,36800,user_40,5,5,
284,42,350000,0,user_33,5,5,
298,43,220000,0,user_47,5,5,
301,44,220000,0,user_47,5,5,
293,45,160000,35600,user_38,5,5,
337,0,27000000,0,user_40,6,6,
342,1,6100000,0,user_48,6,6,
304,2,1400000,0,user_0,6,6,
336,3,1400000,0,user_38,6,6,
343,4,1200000,0,user_49,6,6,
306,5,1100000,0,user_3,6,6,
334,6,1000000,0,user_37,6,6,
335,7,870000,0,user_37,6,6,
340,8,660000,0,user_45,6,6,
307,9,600000,15100,user_5,6,6,
344,10,0,0,validator_2,100,6,307
312,11,600001,0,user_11,6,6,307
314,12,600001,0,user_15,6,6,307
317,13,600001,0,user_17,6,6,307
318,14,600001,0,user_18,6,6,307
320,15,600001,0,user_20,6,6,307
323,16,600001,0,user_26,6,6,307
324,17,600001,0,user_27,6,6,307
325,18,600001,0,user_27,6,6,307
326,19,600001,0,user_29,6,6,307
328,20,600001,0,user_30,6,6,307
308,21,599999,0,user_6,6,6,307
309,22,599999,0,user_6,6,6,307
313,23,599999,0,user_13,6,6,307
315,24,599999,0,user_16,6,6,307
316,25,599999,0,user_16,6,6,307
319,26,599999,0,user_18,6,6,307
321,27,599999,0,user_21,6,6,307
322,28,599999,0,user_24,6,6,307
327,29,599999,0,user_29,6,6,307
330,30,470000,0,user_32,6,6,
305,31,320000,0,user_2,6,6,
331,32,160000,0,user_34,6,6,
338,33,150000,0,user_41,6,6,
329,34,87000,0,user_31,6,6,
389,0,3200000,18600,user_46,7,7,
345,1,1800000,0,user_0,7,7,
385,2,1800000,0,user_43,7,7,
352,3,1300001,0,user_1,7,7,349
357,4,1300001,0,user_11,7,7,349
372,5,1300001,0,user_24,7,7,349
373,6,1300001,0,user_25,7,7,349
374,7,1300001,0,user_25,7,7,349
375,8,1300001,0,user_26,7,7,349
376,9,1300001,0,user_27,7,7,349
378,10,1300001,0,user_30,7,7,349
349,11,1300000,369000,user_1,7,7,
350,12,1299999,0,user_1,7,7,349
351,13,1299999,0,user_1,7,7,349
353,14,1299999,0,user_3,7,7,349
356,15,1299999,0,user_7,7,7,349
358,16,1299999,0,user_12,7,7,349
360,17,1299999,0,user_14,7,7,349
368,18,1299999,0,user_21,7,7,349
369,19,1299999,0,user_21,7,7,349
370,20,1299999,0,user_22,7,7,349
371,21,1299999,0,user_22,7,7,349
346,22,1000000,0,user_0,7,7,
382,23,1000000,0,user_39,7,7,
348,24,460000,0,user_1,7,7,
392,25,350000,0,user_49,7,7,
386,26,260000,594000,user_43,7,7,
347,27,170000,0,user_0,7,7,
383,28,110000,0,user_40,7,7,
380,29,87000,0,user_37,7,7,
433,0,0,0,validator_1,100,8,432
432,1,4500000,5180,user_45,8,8,
422,2,3600000,0,user_38,8,8,
426,3,2500000,0,user_40,8,8,
394,4,2000000,7840,user_5,8,8,
434,5,0,0,validator_1,100,8,394
395,6,2000001,0,user_6,8,8,394
396,7,2000001,0,user_8,8,8,394
397,8,2000001,0,user_8,8,8,394
