block_num,validator_id,validator_type,winning_builder_id,winning_bid,total_gas_fee,total_mev,validator_stake,validator_nodes,gini_coefficient,hhi,top_5_share,total_stake_eth
0,builder_48,builder,builder_48,0.0,542300000,2132770,32000000000,1,0.2729577464788733,195.39773854393968,23.943661971830984,4544.0
1,builder_3,builder,builder_3,0.0,590300000,27809600,160000000000,5,0.2729577464788733,195.39773854393968,23.943661971830984,4544.0
2,builder_2,builder,builder_2,0.0,666166001,21666800,160000000000,5,0.2729577464788733,195.39773854393968,23.943661971830984,4544.0
3,proposer_9,proposer,builder_17,512357562.90000004,559788011,9498170,32000000000,1,0.2729577464788733,195.39773854393968,23.943661971830984,4544.0
4,builder_35,builder,builder_35,0.0,715900000,1964180,32000000000,1,0.2729577464788733,195.39773854393968,23.943661971830984,4544.0
5,builder_49,builder,builder_49,0.0,637200000,2115160,32000000000,1,0.2729577464788733,195.39773854393968,23.943661971830984,4544.0
6,builder_29,builder,builder_29,0.0,617400000,13843590,32000000000,1,0.2729577464788733,195.39773854393968,23.943661971830984,4544.0
7,proposer_2,proposer,builder_10,677148965.1,732878009,19509730,96000000000,3,0.2729577464788733,195.39773854393968,23.943661971830984,4544.0
8,builder_36,builder,builder_36,0.0,614700000,3918550,32000000000,1,0.2729577464788733,195.39773854393968,23.943661971830984,4544.0
9,builder_20,builder,builder_20,0.0,760046003,6171540,32000000000,1,0.2729577464788733,195.39773854393968,23.943661971830984,4544.0
10,builder_29,builder,builder_29,0.0,721200000,3315900,32000000000,1,0.2729577464788733,195.39773854393968,23.943661971830984,4544.0
11,builder_16,builder,builder_16,0.0,795359997,19633150,32000000000,1,0.2729577464788733,195.39773854393968,23.943661971830984,4544.0
12,proposer_25,proposer,builder_4,848552387.4,935640006,7087980,32000000000,1,0.2729577464788733,195.39773854393968,23.943661971830984,4544.0
13,proposer_42,proposer,builder_27,659719033.2,693200008,39821140,32000000000,1,0.2729577464788733,195.39773854393968,23.943661971830984,4544.0
14,proposer_42,proposer,builder_24,480428555.40000004,511340006,22469500,32000000000,1,0.2729577464788733,195.39773854393968,23.943661971830984,4544.0
15,builder_34,builder,builder_34,0.0,628900000,10185400,32000000000,1,0.2729577464788733,195.39773854393968,23.943661971830984,4544.0
16,proposer_15,proposer,builder_2,641789359.2,703300008,9799280,32000000000,1,0.2729577464788733,195.39773854393968,23.943661971830984,4544.0
17,builder_1,builder,builder_1,0.0,791100000,3235840,256000000000,8,0.2729577464788733,195.39773854393968,23.943661971830984,4544.0
18,builder_33,builder,builder_33,0.0,492400000,2089600,32000000000,1,0.2729577464788733,195.39773854393968,23.943661971830984,4544.0
19,proposer_1,proposer,builder_6,647429164.2,670080008,49285730,160000000000,5,0.2729577464788733,195.39773854393968,23.943661971830984,4544.0
20,proposer_1,proposer,builder_27,814221062.1,888900009,15790060,160000000000,5,0.2729577464788733,195.39773854393968,23.943661971830984,4544.0
21,proposer_1,proposer,builder_6,708115536.0,762614010,24181030,160000000000,5,0.2729577464788733,195.39773854393968,23.943661971830984,4544.0
22,builder_37,builder,builder_37,0.0,769100000,1983020,32000000000,1,0.2729577464788733,195.39773854393968,23.943661971830984,4544.0
23,builder_1,builder,builder_1,0.0,788600000,2130600,256000000000,8,0.2729577464788733,195.39773854393968,23.943661971830984,4544.0
24,builder_18,builder,builder_18,0.0,635300005,41993600,32000000000,1,0.2729577464788733,195.39773854393968,23.943661971830984,4544.0
25,builder_0,builder,builder_0,0.0,635899997,4504100,256000000000,8,0.2729577464788733,195.39773854393968,23.943661971830984,4544.0
26,proposer_28,proposer,builder_28,519669242.1,557160009,20250260,32000000000,1,0.2729577464788733,195.39773854393968,23.943661971830984,4544.0
27,proposer_0,proposer,builder_0,529531478.1,585700009,2522300,256000000000,8,0.2729577464788733,195.39773854393968,23.943661971830984,4544.0
28,builder_19,builder,builder_19,0.0,627719998,23391410,32000000000,1,0.2729577464788733,195.39773854393968,23.943661971830984,4544.0
29,builder_33,builder,builder_33,0.0,449500000,2168080,32000000000,1,0.2729577464788733,195.39773854393968,23.943661971830984,4544.0
