participant_id,participant_type,is_attacker,initial_stake_eth,final_stake_eth,final_capital_eth,initial_nodes,final_nodes,total_profit_eth,growth_rate
builder_0,builder,True,32.0,1504.0,1513.577365436,1,47,238.612269942,4629.9292669875
builder_1,builder,True,32.0,32.0,60.886164975,1,1,28.886164975,90.269265546875
builder_2,builder,True,32.0,32.0,58.206967354,1,1,26.206967354,81.89677298125
builder_3,builder,True,32.0,32.0,51.376131215,1,1,19.376131215,60.550410046875
builder_4,builder,True,96.0,192.0,204.072444133,3,6,108.072444133,112.57546263854165
builder_5,builder,True,256.0,544.0,566.504354614,8,17,310.504354614,121.29076352109377
builder_6,builder,True,96.0,160.0,185.380855991,3,5,89.380855991,93.10505832395833
builder_7,builder,True,64.0,96.0,115.113944157,2,3,51.113944157,79.8655377453125
builder_8,builder,True,32.0,32.0,60.821652242,1,1,28.821652242,90.06766325625
builder_9,builder,True,96.0,192.0,212.223336398,3,6,116.223336398,121.06597541458332
builder_10,builder,True,64.0,96.0,127.94814016,2,3,63.94814016,99.918969
builder_11,builder,True,32.0,32.0,59.724468325,1,1,27.724468325,86.638963515625
builder_12,builder,True,96.0,192.0,202.022937088,3,6,106.022937088,110.44055946666667
builder_13,builder,True,32.0,32.0,59.889490067,1,1,27.889490067,87.154656459375
builder_14,builder,True,32.0,32.0,60.819578829,1,1,28.819578829,90.061183840625
builder_15,builder,True,32.0,32.0,63.0204345,1,1,31.0204345,96.9388578125
builder_16,builder,True,160.0,320.0,350.635224566,5,10,190.635224566,119.14701535375
builder_17,builder,True,64.0,128.0,128.311149571,2,4,64.311149571,100.48617120468751
builder_18,builder,True,32.0,32.0,59.936355468,1,1,27.936355468,87.30111083749999
builder_19,builder,True,32.0,32.0,54.603875357,1,1,22.603875357,70.637110490625
builder_20,builder,True,64.0,96.0,123.669185106,2,3,59.669185106,93.233101728125
builder_21,builder,True,64.0,96.0,116.795193853,2,3,52.795193853,82.4924903953125
builder_22,builder,True,64.0,128.0,146.422466413,2,4,82.422466413,128.7851037703125
builder_23,builder,True,32.0,32.0,54.141571905,1,1,22.141571905,69.192412203125
builder_24,builder,True,32.0,32.0,61.280469195,1,1,29.280469195,91.501466234375
builder_25,builder,False,32.0,32.0,49.9872,1,1,17.9872,56.21000000000001
builder_26,builder,False,96.0,192.0,196.5063,3,6,100.5063,104.6940625
builder_27,builder,False,32.0,32.0,54.0452,1,1,22.0452,68.89125
builder_28,builder,False,64.0,96.0,99.3142,2,3,35.3142,55.1784375
builder_29,builder,False,32.0,32.0,50.7373,1,1,18.7373,58.5540625
builder_30,builder,False,64.0,96.0,106.3492,2,3,42.3492,66.170625
builder_31,builder,False,32.0,32.0,54.146,1,1,22.146,69.20625
builder_32,builder,False,64.0,96.0,119.8946,2,3,55.8946,87.3353125
builder_33,builder,False,32.0,32.0,53.5721,1,1,21.5721,67.4128125
builder_34,builder,False,32.0,32.0,52.5071,1,1,20.5071,64.0846875
builder_35,builder,False,96.0,160.0,176.9162,3,5,80.9162,84.28770833333333
builder_36,builder,False,160.0,256.0,282.7183,5,8,122.7183,76.6989375
builder_37,builder,False,32.0,32.0,58.7423,1,1,26.7423,83.5696875
builder_38,builder,False,160.0,288.0,296.7482,5,9,136.7482,85.467625
builder_39,builder,False,32.0,32.0,54.6424,1,1,22.6424,70.7575
builder_40,builder,False,32.0,32.0,58.014,1,1,26.014,81.29375
builder_41,builder,False,32.0,32.0,56.3136,1,1,24.3136,75.98
builder_42,builder,False,64.0,96.0,120.2844,2,3,56.2844,87.944375
builder_43,builder,False,64.0,96.0,103.6497,2,3,39.6497,61.952656250000004
builder_44,builder,False,64.0,96.0,110.2899,2,3,46.2899,72.32796875000001
builder_45,builder,False,64.0,96.0,112.0472,2,3,48.0472,75.07374999999999
builder_46,builder,False,32.0,32.0,54.1636,1,1,22.1636,69.26124999999999
builder_47,builder,False,96.0,160.0,177.6554,3,5,81.6554,85.05770833333334
builder_48,builder,False,32.0,32.0,51.7725,1,1,19.7725,61.7890625
builder_49,builder,False,64.0,96.0,119.9824,2,3,55.9824,87.4725
proposer_0,proposer,False,32.0,32.0,53.421107944,1,1,21.421107944,66.940962325
proposer_1,proposer,False,32.0,32.0,55.163047132,1,1,23.163047132,72.38452228749999
proposer_2,proposer,False,32.0,32.0,51.728321837,1,1,19.728321837,61.651005740624996
proposer_3,proposer,False,64.0,64.0,95.794555301,2,2,31.794555301,49.6789926578125
proposer_4,proposer,False,64.0,96.0,104.555150255,2,3,40.555150255,63.3674222734375
proposer_5,proposer,False,160.0,256.0,268.750788916,5,8,108.750788916,67.96924307249999
proposer_6,proposer,False,64.0,96.0,98.507420341,2,3,34.507420341,53.917844282812496
proposer_7,proposer,False,160.0,256.0,286.995606635,5,8,126.995606635,79.372254146875
proposer_8,proposer,False,64.0,96.0,108.148442689,2,3,44.148442689,68.9819417015625
proposer_9,proposer,False,64.0,96.0,96.896918785,2,3,32.896918785,51.4014356015625
proposer_10,proposer,False,64.0,96.0,104.295210655,2,3,40.295210655,62.961266648437494
proposer_11,proposer,False,96.0,128.0,154.496895157,3,4,58.496895157,60.934265788541666
proposer_12,proposer,False,160.0,256.0,283.224447203,5,8,123.224447203,77.015279501875
proposer_13,proposer,False,32.0,32.0,47.156128658,1,1,15.156128658,47.36290205625
proposer_14,proposer,False,96.0,128.0,153.418724814,3,4,57.418724814,59.811171681249995
proposer_15,proposer,False,96.0,128.0,159.351359456,3,4,63.351359456,65.99099943333333
proposer_16,proposer,False,32.0,32.0,52.052256143,1,1,20.052256143,62.663300446875006
proposer_17,proposer,False,64.0,96.0,106.809755538,2,3,42.809755538,66.890243028125
proposer_18,proposer,False,32.0,32.0,52.025866824,1,1,20.025866824,62.580833825000006
proposer_19,proposer,False,32.0,32.0,52.178208455,1,1,20.178208455,63.056901421875
proposer_20,proposer,False,32.0,32.0,46.159772076,1,1,14.159772076,44.2492877375
proposer_21,proposer,False,32.0,32.0,50.161561719,1,1,18.161561719,56.754880371875004
proposer_22,proposer,False,32.0,32.0,50.948155208,1,1,18.948155208,59.212985024999995
proposer_23,proposer,False,64.0,96.0,104.411676955,2,3,40.411676955,63.1432452421875
proposer_24,proposer,False,96.0,128.0,148.522931149,3,4,52.522931149,54.71138661354167
proposer_25,proposer,False,96.0,128.0,157.499052453,3,4,61.499052453,64.061512971875
proposer_26,proposer,False,160.0,256.0,267.404258218,5,8,107.404258218,67.12766138625
proposer_27,proposer,False,32.0,32.0,50.781559023,1,1,18.781559023,58.692371946875
proposer_28,proposer,False,32.0,32.0,49.718627976,1,1,17.718627976,55.370712425
proposer_29,proposer,False,32.0,32.0,49.160061433,1,1,17.160061433,53.625191978124995
proposer_30,proposer,False,32.0,32.0,52.994217022,1,1,20.994217022,65.60692819375001
proposer_31,proposer,False,256.0,448.0,465.798551118,8,14,209.798551118,81.95255903046875
proposer_32,proposer,False,96.0,160.0,161.323073397,3,5,65.323073397,68.044868121875
proposer_33,proposer,False,32.0,32.0,48.805827179,1,1,16.805827179,52.518209934375
proposer_34,proposer,False,64.0,96.0,112.194063027,2,3,48.194063027,75.3032234796875
proposer_35,proposer,False,256.0,416.0,432.823127887,8,13,176.823127887,69.07153433085938
proposer_36,proposer,False,64.0,96.0,116.274801905,2,3,52.274801905,81.67937797656249
proposer_37,proposer,False,256.0,448.0,473.572225687,8,14,217.572225687,84.98915065898439
proposer_38,proposer,False,32.0,32.0,53.693414073,1,1,21.693414073,67.791918978125
proposer_39,proposer,False,32.0,32.0,53.44369943,1,1,21.44369943,67.01156071874999
proposer_40,proposer,False,32.0,32.0,52.438061502,1,1,20.438061502,63.86894219375
proposer_41,proposer,False,32.0,32.0,50.087880764,1,1,18.087880764,56.524627387500004
proposer_42,proposer,False,32.0,32.0,53.1761394,1,1,21.1761394,66.175435625
proposer_43,proposer,False,32.0,32.0,52.626901555,1,1,20.626901555,64.459067359375
proposer_44,proposer,False,64.0,96.0,101.086365656,2,3,37.086365656,57.9474463375
proposer_45,proposer,False,32.0,32.0,52.83658601,1,1,20.83658601,65.11433128125
proposer_46,proposer,False,32.0,32.0,49.789917892,1,1,17.789917892,55.593493412499996
proposer_47,proposer,False,64.0,96.0,108.613433708,2,3,44.613433708,69.70849016875
proposer_48,proposer,False,256.0,448.0,468.084651154,8,14,212.084651154,82.84556685703124
proposer_49,proposer,False,64.0,96.0,98.66510856,2,3,34.66510856,54.164232125
