block_num,builder_id,proposer_id,proposer_type,builder_stake,proposer_stake,builder_is_attacker,total_gas_fee,total_mev_available,bid_value,num_transactions
1,builder_38,proposer_32,proposer,200000000,100000000,False,43100000,6390,41370665.30738076,2
2,builder_25,proposer_41,proposer,500000000,1000000000,False,30000000,0,29528809.64610574,1
3,builder_45,builder_45,builder,500000000,500000000,False,660000,0,660000,1
4,builder_3,proposer_9,proposer,300000000,200000000,True,7199999,36800,7234583.832922088,2
5,builder_9,proposer_1,proposer,300000000,1000000000,True,54840002,790800,55627248.56376629,4
6,builder_47,proposer_21,proposer,100000000,1000000000,False,43000000,0,42998309.9150213,1
7,builder_39,builder_39,builder,200000000,200000000,False,530000,100000,530000,1
8,builder_1,proposer_40,proposer,100000000,500000000,True,57199999,779000,57938018.20372779,3
9,builder_3,builder_3,builder,300000000,300000000,True,5000000,0,5000000,1
10,builder_12,proposer_19,proposer,100000000,1000000000,True,43000000,0,42797476.36415689,1
11,builder_35,proposer_14,proposer,100000000,500000000,False,43000000,545000,42995397.57519376,1
12,builder_38,proposer_25,proposer,200000000,500000000,False,27000000,0,25818374.601782527,1
13,builder_28,proposer_14,proposer,300000000,500000000,False,27000000,0,26999982.89047459,1
14,builder_9,builder_9,builder,300000000,300000000,True,2600000,0,2600000,1
15,builder_22,proposer_42,proposer,500000000,1000000000,True,43000000,0,41222140.185659416,1
16,builder_32,proposer_12,proposer,500000000,100000000,False,30000000,0,29998017.749734074,1
17,builder_25,proposer_41,proposer,500000000,1000000000,False,19000000,0,18999997.666267768,1
18,builder_26,proposer_34,proposer,100000000,100000000,False,30000000,0,29997169.221685,1
19,builder_12,proposer_41,proposer,100000000,1000000000,True,27000000,0,26999512.06777776,1
20,builder_31,builder_31,builder,500000000,500000000,False,350000,0,350000,1
21,builder_28,proposer_9,proposer,300000000,200000000,False,27000000,0,26997260.35294081,1
22,builder_3,proposer_18,proposer,300000000,500000000,True,43439999,31700,43471699.0,3
23,builder_30,proposer_18,proposer,100000000,500000000,False,30000000,0,29309128.04757539,1
24,builder_0,builder_0,builder,500000000,500000000,True,150000,0,150000,2
