participant_id,participant_type,is_attacker,reinvestment_factor,initial_stake,final_stake,final_capital,total_profit,validator_count
validator_0,validator,True,True,160000000000,160000000000,163177735360,1588867680,5
validator_1,validator,True,True,64000000000,64000000000,66152433100,1076216550,2
validator_2,validator,True,True,160000000000,160000000000,162656527840,1328263920,5
validator_3,validator,True,True,160000000000,160000000000,163061450480,1530725240,5
validator_4,validator,True,False,64000000000,64000000000,65502205970,1502205970,2
validator_5,validator,True,False,32000000000,32000000000,32938598290,938598290,1
validator_6,validator,True,True,160000000000,160000000000,161859166320,929583160,5
validator_7,validator,True,True,480000000000,480000000000,485063586860,2531793430,15
validator_8,validator,True,False,320000000000,320000000000,321661865060,1661865060,10
validator_9,validator,True,True,64000000000,64000000000,65929901040,964950520,2
validator_10,validator,False,True,320000000000,320000000000,322387516460,1193758230,10
validator_11,validator,False,True,320000000000,320000000000,322226196600,1113098300,10
validator_12,validator,False,True,480000000000,480000000000,486597850160,3298925080,15
validator_13,validator,False,False,32000000000,32000000000,33262837150,1262837150,1
validator_14,validator,False,True,480000000000,480000000000,484565980620,2282990310,15
validator_15,validator,False,True,160000000000,160000000000,162925436160,1462718080,5
validator_16,validator,False,True,32000000000,32000000000,34147855080,1073927540,1
validator_17,validator,False,False,32000000000,32000000000,33031757920,1031757920,1
validator_18,validator,False,True,32000000000,32000000000,33927982680,963991340,1
validator_19,validator,False,False,32000000000,32000000000,33675909410,1675909410,1
