participant_id,participant_type,is_attacker,reinvestment_factor,initial_stake,final_stake,total_profit,num_validator_nodes
validator_0,validator,True,True,32000000000,64000000000,47559562154,2
validator_1,validator,True,True,64000000000,192000000000,129709926388,6
validator_2,validator,True,True,32000000000,64000000000,49656969286,2
validator_3,validator,True,True,32000000000,64000000000,62726322634,2
validator_4,validator,True,True,32000000000,64000000000,38651148969,2
validator_5,validator,True,True,64000000000,192000000000,128030503261,6
validator_6,validator,True,True,32000000000,64000000000,58867709347,2
validator_7,validator,True,True,64000000000,192000000000,138028738772,6
validator_8,validator,True,True,32000000000,64000000000,42942788745,2
validator_9,validator,True,True,32000000000,64000000000,55910997139,2
validator_10,validator,True,True,32000000000,96000000000,64693673015,3
validator_11,validator,True,True,32000000000,64000000000,45842765443,2
validator_12,validator,True,True,96000000000,288000000000,203178081915,9
validator_13,validator,True,True,32000000000,64000000000,58761300149,2
validator_14,validator,True,True,96000000000,320000000000,253632458657,10
validator_15,validator,True,True,256000000000,864000000000,620883298938,27
validator_16,validator,True,True,32000000000,64000000000,51746956036,2
validator_17,validator,True,True,160000000000,544000000000,390955169408,17
validator_18,validator,True,True,96000000000,320000000000,234386326398,10
validator_19,validator,True,True,64000000000,160000000000,127543538301,5
validator_20,validator,True,True,32000000000,64000000000,54034059548,2
validator_21,validator,True,True,64000000000,192000000000,129152822868,6
validator_22,validator,True,True,64000000000,192000000000,139687082730,6
validator_23,validator,True,True,32000000000,64000000000,50683733982,2
validator_24,validator,True,True,32000000000,64000000000,63215484188,2
validator_25,validator,False,True,32000000000,64000000000,54692712610,2
validator_26,validator,False,True,32000000000,64000000000,42349384810,2
validator_27,validator,False,True,96000000000,288000000000,194298762340,9
validator_28,validator,False,True,32000000000,64000000000,47280604550,2
validator_29,validator,False,True,32000000000,64000000000,39534680740,2
validator_30,validator,False,True,64000000000,160000000000,102331123710,5
validator_31,validator,False,True,160000000000,448000000000,302338527080,14
validator_32,validator,False,True,32000000000,64000000000,35189765270,2
validator_33,validator,False,True,32000000000,64000000000,47115956850,2
validator_34,validator,False,True,256000000000,768000000000,531006748770,24
validator_35,validator,False,True,96000000000,224000000000,153722505850,7
validator_36,validator,False,True,96000000000,256000000000,163682759100,8
validator_37,validator,False,True,64000000000,160000000000,119229383280,5
validator_38,validator,False,True,32000000000,64000000000,47536384320,2
validator_39,validator,False,True,32000000000,64000000000,48331703250,2
validator_40,validator,False,True,32000000000,64000000000,61298977880,2
validator_41,validator,False,True,64000000000,160000000000,126682491880,5
validator_42,validator,False,True,32000000000,64000000000,33122326910,2
validator_43,validator,False,True,64000000000,160000000000,104146683940,5
validator_44,validator,False,True,96000000000,256000000000,173440451250,8
validator_45,validator,False,True,32000000000,64000000000,48154844220,2
validator_46,validator,False,True,96000000000,256000000000,189032764980,8
validator_47,validator,False,True,64000000000,160000000000,122933666790,5
validator_48,validator,False,True,160000000000,512000000000,353832608110,16
validator_49,validator,False,True,64000000000,192000000000,146850899690,6
