block_num,builder_id,total_gas_fee,total_mev
0,builder_8,104733000,2129440
1,builder_18,113872000,1738230
2,builder_3,90873000,811800
3,builder_14,181249000,1993630
4,builder_9,143062000,8832600
5,builder_8,114462000,1369820
6,builder_14,98336000,2965640
7,builder_16,97149000,8380390
8,builder_14,88955000,19138100
9,builder_10,148415000,1469410
10,builder_10,133394000,481230
11,builder_17,186153000,7561000
12,builder_14,106412000,580830
13,builder_17,47910000,982050
14,builder_8,118910000,589900
15,builder_18,55065000,18158730
16,builder_8,94902000,1413630
17,builder_3,66251000,989200
18,builder_14,188161000,1069800
19,builder_16,77925000,331780
20,builder_9,42707000,1217000
21,builder_10,165965000,1315020
22,builder_17,93699000,175640
23,builder_15,86162000,1187900
24,builder_0,79385000,2055080
25,builder_0,112701000,1201700
26,builder_16,119565000,5823840
27,builder_10,194707000,1283500
28,builder_3,69001000,2193300
29,builder_8,60399000,27961800
30,builder_17,72179000,19152000
31,builder_0,81227000,1756290
32,builder_14,52429000,8022070
33,builder_14,150637000,479800
34,builder_8,32318000,2050000
35,builder_8,96366000,1466400
36,builder_8,104733000,2129440
37,builder_18,113872000,1738230
38,builder_3,90873000,811800
39,builder_14,181249000,1993630
40,builder_9,143062000,8832600
41,builder_8,114462000,1369820
42,builder_14,98336000,2965640
43,builder_16,97149000,8380390
44,builder_14,88955000,19138100
45,builder_10,148415000,1469410
46,builder_10,133394000,481230
47,builder_17,186153000,7561000
48,builder_14,106412000,580830
49,builder_17,47910000,982050
50,builder_8,118910000,589900
51,builder_18,55065000,18158730
52,builder_8,94902000,1413630
53,builder_3,66251000,989200
54,builder_14,188161000,1069800
55,builder_16,77925000,331780
56,builder_9,42707000,1217000
57,builder_10,165965000,1315020
58,builder_17,93699000,175640
59,builder_15,86162000,1187900
60,builder_0,79385000,2055080
61,builder_0,112701000,1201700
62,builder_16,119565000,5823840
63,builder_10,194707000,1283500
64,builder_3,69001000,2193300
65,builder_8,60399000,27961800
66,builder_17,72179000,19152000
67,builder_0,81227000,1756290
68,builder_14,52429000,8022070
69,builder_14,150637000,479800
70,builder_8,32318000,2050000
71,builder_8,96366000,1466400
72,builder_8,104733000,2129440
73,builder_18,113872000,1738230
74,builder_3,90873000,811800
75,builder_14,181249000,1993630
