id,position,gas_fee,mev_potential,creator_id,created_at,included_at,target_tx
0,,3200000,0,user_0,0,,
1,,2100000,0,user_1,0,,
2,,110000,0,user_3,0,,
3,,120000,0,user_4,0,,
4,,5000000,0,user_4,0,,
5,,160000,0,user_5,0,,
6,,70000,3130,user_6,0,,
7,,84000,19700,user_7,0,,
8,,150000,0,user_7,0,,
9,,1200000,0,user_7,0,,
10,,460000,0,user_7,0,,
11,,260000,0,user_7,0,,
12,,170000,0,user_8,0,,
13,,1600000,0,user_8,0,,
14,,73000,0,user_9,0,,
15,,150000,0,user_9,0,,
16,,370000,0,user_10,0,,
17,,2600000,0,user_12,0,,
18,,300000,0,user_12,0,,
19,,460000,296000,user_12,0,,
20,,3500000,17000,user_14,0,,
21,,970000,0,user_15,0,,
22,,170000,0,user_16,0,,
23,,19000000,0,user_17,0,,
24,,170000,0,user_18,0,,
25,,110000,0,user_21,0,,
26,,1000000,0,user_23,0,,
27,,19000000,71800,user_23,0,,
28,,130000,0,user_25,0,,
29,,1100000,17700000,user_25,0,,
30,,2300000,410000,user_27,0,,
31,,73000,0,user_27,0,,
32,,1000000,0,user_29,0,,
33,,220000,0,user_30,0,,
34,,3600000,0,user_33,0,,
35,,360000,0,user_34,0,,
36,,310000,0,user_34,0,,
37,,1300000,0,user_35,0,,
38,,220000,0,user_36,0,,
39,,1000000,0,user_37,0,,
40,,77000,43600,user_38,0,,
41,,1700000,0,user_38,0,,
42,,420000,0,user_39,0,,
43,,5000000,0,user_40,0,,
44,,340000,5630,user_41,0,,
45,,340000,0,user_43,0,,
46,,1500000,283000,user_44,0,,
47,,160000,0,user_45,0,,
48,,5200000,0,user_45,0,,
49,,79000,0,user_46,0,,
50,,100000,0,user_47,0,,
51,,120000,35600,user_47,0,,
52,,170000,0,user_48,0,,
53,,300000,0,user_49,0,,
72,0,0,0,builder_2,0,0,27
27,1,19000000,71800,user_23,0,0,
23,2,19000000,0,user_17,0,0,
29,3,1100000,17700000,user_25,0,0,
73,4,0,0,builder_2,0,0,29
48,5,5200000,0,user_45,0,0,
4,6,5000000,0,user_4,0,0,
43,7,5000000,0,user_40,0,0,
34,8,3600000,0,user_33,0,0,
0,9,3200000,0,user_0,0,0,
74,10,0,0,builder_2,0,0,30
30,11,2300000,410000,user_27,0,0,
17,12,2600000,0,user_12,0,0,
1,13,2100000,0,user_1,0,0,
46,14,1500000,283000,user_44,0,0,
75,15,0,0,builder_2,0,0,46
41,16,1700000,0,user_38,0,0,
13,17,1600000,0,user_8,0,0,
37,18,1300000,0,user_35,0,0,
9,19,1200000,0,user_7,0,0,
26,20,1000000,0,user_23,0,0,
32,21,1000000,0,user_29,0,0,
39,22,1000000,0,user_37,0,0,
19,23,460000,296000,user_12,0,0,
76,24,0,0,builder_2,0,0,19
10,25,460000,0,user_7,0,0,
42,26,420000,0,user_39,0,0,
16,27,370000,0,user_10,0,0,
77,28,0,0,builder_2,0,0,44
44,29,340000,5630,user_41,0,0,
45,30,340000,0,user_43,0,0,
18,31,300000,0,user_12,0,0,
53,32,300000,0,user_49,0,0,
11,33,260000,0,user_7,0,0,
33,34,220000,0,user_30,0,0,
38,35,220000,0,user_36,0,0,
12,36,170000,0,user_8,0,0,
22,37,170000,0,user_16,0,0,
24,38,170000,0,user_18,0,0,
52,39,170000,0,user_48,0,0,
5,40,160000,0,user_5,0,0,
47,41,160000,0,user_45,0,0,
51,42,120000,35600,user_47,0,0,
78,43,0,0,builder_2,0,0,51
8,44,150000,0,user_7,0,0,
15,45,150000,0,user_9,0,0,
28,46,130000,0,user_25,0,0,
79,47,0,0,builder_2,0,0,40
40,48,77000,43600,user_38,0,0,
3,49,120000,0,user_4,0,0,
2,50,110000,0,user_3,0,0,
25,51,110000,0,user_21,0,0,
7,52,84000,19700,user_7,0,0,
80,53,0,0,builder_2,0,0,7
50,54,100000,0,user_47,0,0,
49,55,79000,0,user_46,0,0,
81,56,0,0,builder_2,0,0,6
6,57,70000,3130,user_6,0,0,
14,58,73000,0,user_9,0,0,
31,59,73000,0,user_27,0,0,
101,,80000,11200,user_1,1,,
102,,1400000,0,user_1,1,,
103,,1300000,0,user_3,1,,
104,,79000,0,user_4,1,,
105,,150000,350000,user_6,1,,
106,,320000,67900,user_8,1,,
107,,190000,0,user_9,1,,
108,,220000,0,user_9,1,,
109,,1500000,0,user_12,1,,
110,,2300000,0,user_13,1,,
111,,630000,64600,user_13,1,,
112,,70000,0,user_14,1,,
113,,150000,0,user_15,1,,
114,,260000,0,user_15,1,,
115,,220000,0,user_16,1,,
116,,5000000,0,user_16,1,,
117,,1400000,13900,user_17,1,,
118,,1100000,0,user_17,1,,
119,,1400000,0,user_17,1,,
120,,3200000,0,user_17,1,,
121,,2400000,0,user_19,1,,
122,,98000,0,user_21,1,,
123,,1900000,19700,user_21,1,,
124,,660000,0,user_21,1,,
125,,150000,0,user_21,1,,
126,,83000,0,user_21,1,,
127,,460000,35600,user_22,1,,
128,,1100000,0,user_23,1,,
129,,130000,0,user_24,1,,
130,,420000,0,user_24,1,,
131,,2600000,0,user_24,1,,
132,,4200000,0,user_24,1,,
133,,660000,15300,user_24,1,,
134,,100000,17700000,user_25,1,,
135,,27000000,67500,user_26,1,,
136,,6300000,0,user_27,1,,
137,,910000,0,user_28,1,,
138,,2100000,256000,user_28,1,,
139,,80000,0,user_28,1,,
140,,360000,0,user_29,1,,
141,,130000,0,user_31,1,,
142,,150000,42000,user_32,1,,
143,,5000000,0,user_33,1,,
144,,85000,128000,user_34,1,,
145,,1900000,84800,user_35,1,,
146,,5200000,0,user_36,1,,
147,,2000000,0,user_37,1,,
148,,110000,0,user_37,1,,
149,,150000,0,user_37,1,,
150,,77000,0,user_39,1,,
151,,2300000,0,user_41,1,,
152,,2100000,0,user_42,1,,
153,,110000,0,user_43,1,,
154,,43000000,256000,user_44,1,,
155,,5000000,0,user_46,1,,
156,,83000,21800,user_46,1,,
157,,190000,12800,user_47,1,,
158,,1900000,0,user_48,1,,
159,,3500000,0,user_48,1,,
154,0,43000000,256000,user_44,1,1,
186,1,0,0,builder_2,1,1,154
187,2,0,0,builder_2,1,1,135
135,3,27000000,67500,user_26,1,1,
188,4,0,0,builder_2,1,1,134
134,5,100000,17700000,user_25,1,1,
136,6,6300000,0,user_27,1,1,
146,7,5200000,0,user_36,1,1,
116,8,5000000,0,user_16,1,1,
143,9,5000000,0,user_33,1,1,
155,10,5000000,0,user_46,1,1,
132,11,4200000,0,user_24,1,1,
159,12,3500000,0,user_48,1,1,
120,13,3200000,0,user_17,1,1,
131,14,2600000,0,user_24,1,1,
121,15,2400000,0,user_19,1,1,
189,16,0,0,builder_2,1,1,138
138,17,2100000,256000,user_28,1,1,
110,18,2300000,0,user_13,1,1,
151,19,2300000,0,user_41,1,1,
152,20,2100000,0,user_42,1,1,
147,21,2000000,0,user_37,1,1,
145,22,1900000,84800,user_35,1,1,
190,23,0,0,builder_2,1,1,145
123,24,1900000,19700,user_21,1,1,
191,25,0,0,builder_2,1,1,123
158,26,1900000,0,user_48,1,1,
109,27,1500000,0,user_12,1,1,
117,28,1400000,13900,user_17,1,1,
192,29,0,0,builder_2,1,1,117
102,30,1400000,0,user_1,1,1,
119,31,1400000,0,user_17,1,1,
103,32,1300000,0,user_3,1,1,
118,33,1100000,0,user_17,1,1,
128,34,1100000,0,user_23,1,1,
137,35,910000,0,user_28,1,1,
111,36,630000,64600,user_13,1,1,
193,37,0,0,builder_2,1,1,111
133,38,660000,15300,user_24,1,1,
194,39,0,0,builder_2,1,1,133
124,40,660000,0,user_21,1,1,
195,41,0,0,builder_2,1,1,105
105,42,150000,350000,user_6,1,1,
127,43,460000,35600,user_22,1,1,
196,44,0,0,builder_2,1,1,127
130,45,420000,0,user_24,1,1,
197,46,0,0,builder_2,1,1,106
106,47,320000,67900,user_8,1,1,
140,48,360000,0,user_29,1,1,
108,49,220000,0,user_9,1,1,
115,50,220000,0,user_16,1,1,
157,51,190000,12800,user_47,1,1,
198,52,0,0,builder_2,1,1,157
199,53,0,0,builder_2,1,1,142
142,54,150000,42000,user_32,1,1,
107,55,190000,0,user_9,1,1,
125,56,150000,0,user_21,1,1,
149,57,150000,0,user_37,1,1,
129,58,130000,0,user_24,1,1,
148,59,110000,0,user_37,1,1,
153,60,110000,0,user_43,1,1,
200,61,0,0,builder_2,1,1,156
156,62,83000,21800,user_46,1,1,
122,63,98000,0,user_21,1,1,
201,64,0,0,builder_2,1,1,101
101,65,80000,11200,user_1,1,1,
126,66,83000,0,user_21,1,1,
139,67,80000,0,user_28,1,1,
104,68,79000,0,user_4,1,1,
150,69,77000,0,user_39,1,1,
232,,190000,769000,user_0,2,,
233,,1200000,0,user_1,2,,
234,,2100000,285000,user_1,2,,
235,,2100000,0,user_2,2,,
236,,340000,0,user_4,2,,
237,,84000,60700,user_5,2,,
238,,220000,15300,user_6,2,,
239,,5200000,0,user_7,2,,
240,,310000,34700,user_8,2,,
241,,460000,0,user_9,2,,
242,,420000,0,user_10,2,,
243,,5000000,0,user_10,2,,
244,,660000,0,user_10,2,,
245,,160000,0,user_11,2,,
246,,350000,0,user_12,2,,
247,,110000,0,user_13,2,,
248,,30000000,0,user_14,2,,
249,,2000000,146000,user_15,2,,
250,,2300000,0,user_16,2,,
251,,650000,3130,user_22,2,,
252,,340000,0,user_23,2,,
253,,30000000,146000,user_23,2,,
254,,77000,7840,user_24,2,,
255,,150000,0,user_25,2,,
256,,1100000,10700,user_27,2,,
257,,600000,0,user_28,2,,
258,,110000,0,user_30,2,,
259,,220000,0,user_30,2,,
260,,110000,0,user_31,2,,
261,,110000,73100,user_32,2,,
262,,630000,0,user_33,2,,
263,,460000,5640,user_35,2,,
264,,150000,0,user_35,2,,
265,,2400000,13900,user_37,2,,
266,,2000000,75000,user_37,2,,
267,,1100000,0,user_39,2,,
268,,1000000,0,user_41,2,,
269,,420000,0,user_42,2,,
270,,600000,0,user_43,2,,
271,,1000000,0,user_44,2,,
272,,77000,0,user_45,2,,
273,,160000,0,user_46,2,,
274,,420000,0,user_47,2,,
275,,30000000,84800,user_48,2,,
248,0,30000000,0,user_14,2,2,
253,1,30000000,146000,user_23,2,2,
275,2,30000000,84800,user_48,2,2,
239,3,5200000,0,user_7,2,2,
243,4,5000000,0,user_10,2,2,
265,5,2400000,13900,user_37,2,2,
250,6,2300000,0,user_16,2,2,
234,7,2100000,285000,user_1,2,2,
235,8,2100000,0,user_2,2,2,
249,9,2000000,146000,user_15,2,2,
266,10,2000000,75000,user_37,2,2,
233,11,1200000,0,user_1,2,2,
267,12,1100000,0,user_39,2,2,
268,13,1000000,0,user_41,2,2,
271,14,1000000,0,user_44,2,2,
244,15,660000,0,user_10,2,2,
251,16,650000,3130,user_22,2,2,
262,17,630000,0,user_33,2,2,
257,18,600000,0,user_28,2,2,
270,19,600000,0,user_43,2,2,
241,20,460000,0,user_9,2,2,
263,21,460000,5640,user_35,2,2,
242,22,420000,0,user_10,2,2,
269,23,420000,0,user_42,2,2,
246,24,350000,0,user_12,2,2,
252,25,340000,0,user_23,2,2,
240,26,310000,34700,user_8,2,2,
238,27,220000,15300,user_6,2,2,
245,28,160000,0,user_11,2,2,
273,29,160000,0,user_46,2,2,
255,30,150000,0,user_25,2,2,
264,31,150000,0,user_35,2,2,
247,32,110000,0,user_13,2,2,
260,33,110000,0,user_31,2,2,
261,34,110000,73100,user_32,2,2,
237,35,84000,60700,user_5,2,2,
254,36,77000,7840,user_24,2,2,
343,,19000000,0,user_1,3,,
344,,43000000,0,user_2,3,,
345,,870000,0,user_7,3,,
346,,85000,0,user_7,3,,
347,,4500000,0,user_7,3,,
348,,260000,0,user_7,3,,
349,,2000000,0,user_7,3,,
