transaction_id,fee,mev_potential,mev_captured,creator_id,target_tx_id,type_of_user,block_number,block_created
25,0.21000000000000002,0,0,20,24,attack,1,1
26,0.0,0,0,20,24,attack,1,1
28,0.0,0,0,17,24,attack,1,1
29,0.0,0,0,17,24,attack,1,1
31,0.0,0,0,20,24,attack,1,1
32,0.0,0,0,20,24,attack,1,1
34,0.0,0,0,15,24,attack,1,1
35,0.0,0,0,15,24,attack,1,1
37,0.0,0,0,15,24,attack,1,1
38,0.0,0,0,15,24,attack,1,1
40,0.0,0,0,16,24,attack,2,1
41,0.0,0,0,16,24,attack,2,1
43,0.0,0,0,20,24,attack,2,1
44,0.0,0,0,20,24,attack,2,1
46,0.0,0,0,17,24,attack,2,1
47,0.0,0,0,17,24,attack,2,1
49,0.0,0,0,14,24,attack,2,1
50,0.0,0,0,14,24,attack,2,1
52,0.0,0,0,15,24,attack,2,1
53,0.0,0,0,15,24,attack,2,1
55,0.0,0,0,18,24,attack,3,1
56,0.0,0,0,18,24,attack,3,1
58,0.0,0,0,15,24,attack,3,1
59,0.0,0,0,15,24,attack,3,1
61,0.0,0,0,20,24,attack,3,1
62,0.0,0,0,20,24,attack,3,1
64,0.0,0,0,13,24,attack,3,1
65,0.0,0,0,13,24,attack,3,1
67,0.0,0,0,11,24,attack,3,1
68,0.0,0,0,11,24,attack,3,1
70,0.0,0,0,20,24,attack,4,1
71,0.0,0,0,20,24,attack,4,1
73,0.0,0,0,20,24,attack,4,2
74,0.0,0,0,20,24,attack,4,2
76,0.0,0,0,12,24,attack,4,2
77,0.0,0,0,12,24,attack,4,2
79,0.0,0,0,12,24,attack,4,2
80,0.0,0,0,12,24,attack,4,2
82,0.0,0,0,18,24,attack,4,2
83,0.0,0,0,18,24,attack,4,2
85,0.0,0,0,19,24,attack,5,2
86,0.0,0,0,19,24,attack,5,2
88,0.0,0,0,13,24,attack,5,2
89,0.0,0,0,13,24,attack,5,2
91,0.0,0,0,18,24,attack,5,2
92,0.0,0,0,18,24,attack,5,2
94,0.0,0,0,14,24,attack,5,2
95,0.0,0,0,14,24,attack,5,2
97,0.0,0,0,18,24,attack,5,2
98,0.0,0,0,18,24,attack,5,2
100,0.0,0,0,19,24,attack,6,2
101,0.0,0,0,19,24,attack,6,2
103,0.0,0,0,14,24,attack,6,2
104,0.0,0,0,14,24,attack,6,2
106,0.0,0,0,16,24,attack,6,2
107,0.0,0,0,16,24,attack,6,2
109,0.0,0,0,14,24,attack,6,2
110,0.0,0,0,14,24,attack,6,2
112,0.0,0,0,20,24,attack,6,2
113,0.0,0,0,20,24,attack,6,2
115,0.0,0,0,12,24,attack,7,2
116,0.0,0,0,12,24,attack,7,2
118,0.0,0,0,16,24,attack,7,2
119,0.0,0,0,16,24,attack,7,2
121,0.0,0,0,14,24,attack,7,2
122,0.0,0,0,14,24,attack,7,2
124,0.0,0,0,18,24,attack,7,2
125,0.0,0,0,18,24,attack,7,2
127,0.0,0,0,17,24,attack,7,2
128,0.0,0,0,17,24,attack,7,2
130,0.0,0,0,18,24,attack,8,2
131,0.0,0,0,18,24,attack,8,2
133,0.0,0,0,16,24,attack,8,2
134,0.0,0,0,16,24,attack,8,2
136,0.0,0,0,19,24,attack,8,2
137,0.0,0,0,19,24,attack,8,2
139,0.0,0,0,15,24,attack,8,2
140,0.0,0,0,15,24,attack,8,2
142,0.0,0,0,19,24,attack,8,2
143,0.0,0,0,19,24,attack,8,2
145,0.0,0,0,14,24,attack,9,3
146,0.0,0,0,14,24,attack,9,3
148,0.0,0,0,18,24,attack,9,3
149,0.0,0,0,18,24,attack,9,3
151,0.0,0,0,13,24,attack,9,3
152,0.0,0,0,13,24,attack,9,3
154,0.0,0,0,18,24,attack,9,3
155,0.0,0,0,18,24,attack,9,3
157,0.0,0,0,13,24,attack,9,3
158,0.0,0,0,13,24,attack,9,3
160,0.0,0,0,11,24,attack,10,3
161,0.0,0,0,11,24,attack,10,3
163,0.0,0,0,11,24,attack,10,3
164,0.0,0,0,11,24,attack,10,3
166,0.0,0,0,11,24,attack,10,3
167,0.0,0,0,11,24,attack,10,3
169,0.0,0,0,20,24,attack,10,3
170,0.0,0,0,20,24,attack,10,3
172,0.0,0,0,20,24,attack,10,3
173,0.0,0,0,20,24,attack,10,3
175,0.0,0,0,20,24,attack,11,3
176,0.0,0,0,20,24,attack,11,3
178,0.0,0,0,14,24,attack,11,3
179,0.0,0,0,14,24,attack,11,3
181,0.0,0,0,13,24,attack,11,3
182,0.0,0,0,13,24,attack,11,3
184,0.0,0,0,12,24,attack,11,3
185,0.0,0,0,12,24,attack,11,3
187,0.0,0,0,12,24,attack,11,3
188,0.0,0,0,12,24,attack,11,3
190,0.0,0,0,16,24,attack,12,3
191,0.0,0,0,16,24,attack,12,3
193,0.0,0,0,13,24,attack,12,3
194,0.0,0,0,13,24,attack,12,3
196,0.0,0,0,19,24,attack,12,3
197,0.0,0,0,19,24,attack,12,3
199,0.0,0,0,12,24,attack,12,3
200,0.0,0,0,12,24,attack,12,3
202,0.0,0,0,20,24,attack,12,3
203,0.0,0,0,20,24,attack,12,3
205,0.0,0,0,15,24,attack,13,3
206,0.0,0,0,15,24,attack,13,3
208,0.0,0,0,11,24,attack,13,3
209,0.0,0,0,11,24,attack,13,3
