transaction_id,fee,mev_potential,mev_captured,creator_id,target_tx_id,type_of_user,block_number,block_created
11,779001.0,0.0,0,19,3.0,attack,1,1
13,0.0,0.0,0,19,3.0,attack,1,1
14,0.0,0.0,0,19,3.0,attack,1,1
16,0.0,0.0,0,15,3.0,attack,1,1
17,0.0,0.0,0,15,3.0,attack,1,1
19,0.0,0.0,0,16,3.0,attack,1,1
20,0.0,0.0,0,16,3.0,attack,1,1
22,0.0,0.0,0,16,3.0,attack,1,1
23,0.0,0.0,0,16,3.0,attack,1,1
25,0.0,0.0,0,16,3.0,attack,1,1
137,1100001.0,0.0,0,15,135.0,attack,2,2
135,1100000.0,17700000.0,0,6,,normal,2,2
87,910000.0,0.0,0,2,,normal,2,2
26,0.0,0.0,0,16,3.0,attack,2,1
28,0.0,0.0,0,18,3.0,attack,2,1
29,0.0,0.0,0,18,3.0,attack,2,1
31,0.0,0.0,0,19,3.0,attack,2,1
32,0.0,0.0,0,19,3.0,attack,2,1
34,0.0,0.0,0,14,3.0,attack,2,1
35,0.0,0.0,0,14,3.0,attack,2,1
180,17700000.0,17700000.0,0,1,,normal,3,3
7202,0.0,0.0,0,11,180.0,attack,3,3
145,7190001.0,0.0,0,17,138.0,attack,3,3
146,0.0,0.0,0,17,138.0,attack,3,3
148,0.0,0.0,0,18,138.0,attack,3,3
149,0.0,0.0,0,18,138.0,attack,3,3
151,0.0,0.0,0,16,138.0,attack,3,3
152,0.0,0.0,0,16,138.0,attack,3,3
154,0.0,0.0,0,19,138.0,attack,3,3
155,0.0,0.0,0,19,138.0,attack,3,3
157,0.0,0.0,0,15,138.0,attack,4,3
158,0.0,0.0,0,15,138.0,attack,4,3
160,0.0,0.0,0,19,138.0,attack,4,3
161,0.0,0.0,0,19,138.0,attack,4,3
163,0.0,0.0,0,11,138.0,attack,4,3
164,0.0,0.0,0,11,138.0,attack,4,3
166,0.0,0.0,0,18,138.0,attack,4,3
167,0.0,0.0,0,18,138.0,attack,4,3
169,0.0,0.0,0,13,138.0,attack,4,3
170,0.0,0.0,0,13,138.0,attack,4,3
172,0.0,0.0,0,18,138.0,attack,5,3
173,0.0,0.0,0,18,138.0,attack,5,3
175,0.0,0.0,0,19,138.0,attack,5,3
176,0.0,0.0,0,19,138.0,attack,5,3
178,0.0,0.0,0,14,138.0,attack,5,3
179,0.0,0.0,0,14,138.0,attack,5,3
285,6300000.0,0.0,0,6,,normal,5,4
282,4500000.0,0.0,0,6,,normal,5,4
294,2600000.0,0.0,0,10,,normal,5,5
225,1500000.0,0.0,0,3,,normal,5,4
393,3600000.0,0.0,0,1,,normal,6,6
366,2500000.0,0.0,0,3,,normal,6,6
405,1800000.0,0.0,0,6,,normal,6,6
363,1600000.0,0.0,0,10,,normal,6,6
387,1500000.0,0.0,0,8,,normal,6,6
420,1500000.0,0.0,0,8,,normal,6,6
330,1400000.0,0.0,0,2,,normal,6,5
234,1200000.0,0.0,0,9,,normal,6,4
423,1200000.0,0.0,0,5,,normal,6,6
189,1100000.0,17700000.0,0,2,,normal,6,3
444,6100000.0,0.0,0,3,,normal,7,7
465,5000000.0,0.0,0,7,,normal,7,7
477,2500000.0,0.0,0,2,,normal,7,7
504,1600000.0,0.0,0,6,,normal,7,7
480,1500000.0,0.0,0,8,,normal,7,7
219,1100000.0,0.0,0,9,,normal,7,4
333,1100000.0,17700000.0,0,6,,normal,7,5
7203,0.0,0.0,0,14,333.0,attack,7,5
339,1100000.0,0.0,0,4,,normal,7,5
345,1100000.0,0.0,0,4,,normal,7,5
507,5000000.0,0.0,0,6,,normal,8,8
558,4200000.0,0.0,0,7,,normal,8,8
537,1400000.0,0.0,0,8,,normal,8,8
522,1300000.0,0.0,0,5,,normal,8,8
513,1200000.0,0.0,0,5,,normal,8,8
492,1100000.0,17700000.0,0,9,,normal,8,7
7204,0.0,0.0,0,16,492.0,attack,8,7
564,1100000.0,17700000.0,0,5,,normal,8,8
7205,0.0,0.0,0,16,564.0,attack,8,8
291,1000000.0,0.0,0,10,,normal,8,5
612,5000000.0,0.0,0,10,,normal,9,9
615,2600000.0,0.0,0,2,,normal,9,9
630,1500000.0,0.0,0,5,,normal,9,9
594,1400000.0,0.0,0,9,,normal,9,9
177,959000.0,17700000.0,0,8,,normal,9,3
498,959000.0,17700000.0,0,8,,normal,9,7
240,910000.0,0.0,0,1,,normal,9,4
369,910000.0,0.0,0,4,,normal,9,6
390,910000.0,0.0,0,7,,normal,9,6
414,870000.0,0.0,0,3,,normal,9,6
663,3200000.0,0.0,0,7,,normal,10,10
678,2600000.0,0.0,0,9,,normal,10,10
651,1600000.0,0.0,0,3,,normal,10,10
681,1600000.0,0.0,0,9,,normal,10,10
660,1400000.0,0.0,0,8,,normal,10,10
483,870000.0,0.0,0,8,,normal,10,7
37,0.0,0.0,0,15,3.0,attack,10,1
38,0.0,0.0,0,15,3.0,attack,10,1
40,0.0,0.0,0,15,3.0,attack,10,1
41,0.0,0.0,0,15,3.0,attack,10,1
741,6300000.0,0.0,0,8,,normal,11,11
768,6300000.0,0.0,0,4,,normal,11,11
735,5000000.0,0.0,0,4,,normal,11,11
786,5000000.0,0.0,0,8,,normal,11,11
726,4200000.0,0.0,0,4,,normal,11,11
747,2000000.0,0.0,0,5,,normal,11,11
