transaction_id,fee,mev_potential,mev_captured,creator_id,target_tx_id,type_of_user,block_number,block_created,builder_type,transaction_type
14655,43000020,7840,43000020,53,14652.0,unknown,1,1,attack,b_attack
21786,0,0,0,101,14655.0,unknown,1,1,attack,failed
14656,0,0,0,53,14652.0,unknown,1,1,attack,failed
14652,43000019,7840,43000019,59,14649.0,unknown,1,1,attack,b_attack
14653,0,0,0,59,14649.0,unknown,1,1,attack,failed
14649,43000018,7840,43000018,58,14646.0,unknown,1,1,attack,b_attack
14650,0,0,0,58,14646.0,unknown,1,1,attack,failed
14646,43000017,7840,43000017,51,14643.0,unknown,1,1,attack,b_attack
14647,0,0,0,51,14643.0,unknown,1,1,attack,failed
14643,43000016,7840,43000016,59,14640.0,unknown,1,1,attack,b_attack
14644,0,0,0,59,14640.0,unknown,1,1,attack,failed
14640,43000015,7840,43000015,60,14637.0,unknown,1,1,attack,b_attack
14641,0,0,0,60,14637.0,unknown,1,1,attack,failed
14637,43000014,7840,43000014,60,14634.0,unknown,1,1,attack,b_attack
14638,0,0,0,60,14634.0,unknown,1,1,attack,failed
14634,43000013,7840,43000013,56,14631.0,unknown,1,1,attack,b_attack
14635,0,0,0,56,14631.0,unknown,1,1,attack,failed
14631,43000012,7840,43000012,52,14628.0,unknown,1,1,attack,b_attack
14632,0,0,0,52,14628.0,unknown,1,1,attack,failed
14628,43000011,7840,43000011,58,14625.0,unknown,1,1,attack,b_attack
14629,0,0,0,58,14625.0,unknown,1,1,attack,failed
14625,43000010,7840,43000010,59,14622.0,unknown,1,1,attack,b_attack
14626,0,0,0,59,14622.0,unknown,1,1,attack,failed
14622,43000009,7840,43000009,59,14619.0,unknown,1,1,attack,b_attack
14623,0,0,0,59,14619.0,unknown,1,1,attack,failed
14619,43000008,7840,43000008,52,14616.0,unknown,1,1,attack,b_attack
14620,0,0,0,52,14616.0,unknown,1,1,attack,failed
14616,43000007,7840,43000007,51,14613.0,unknown,1,1,attack,b_attack
14617,0,0,0,51,14613.0,unknown,1,1,attack,failed
14613,43000006,7840,43000006,52,14610.0,unknown,1,1,attack,b_attack
14614,0,0,0,52,14610.0,unknown,1,1,attack,failed
14610,43000005,7840,43000005,60,14607.0,unknown,1,1,attack,b_attack
14611,0,0,0,60,14607.0,unknown,1,1,attack,failed
14607,43000004,7840,43000004,57,14604.0,unknown,1,1,attack,b_attack
14608,0,0,0,57,14604.0,unknown,1,1,attack,failed
14604,43000003,7840,43000003,54,14601.0,unknown,1,1,attack,b_attack
14605,0,0,0,54,14601.0,unknown,1,1,attack,failed
14601,43000002,7840,43000002,52,14598.0,unknown,1,1,attack,b_attack
14602,0,0,0,52,14598.0,unknown,1,1,attack,failed
14598,43000001,7840,43000001,58,14595.0,unknown,1,1,attack,b_attack
14599,0,0,0,58,14595.0,unknown,1,1,attack,failed
14595,43000000,7840,43000000,58,14592.0,unknown,1,1,attack,b_attack
14596,0,0,0,58,14592.0,unknown,1,1,attack,failed
14592,27000000,7840,27000000,54,14590.0,unknown,1,1,attack,b_attack
14651,470000,4320000,0,43,,unknown,1,1,attack,normal
14627,4200000,0,0,42,,unknown,1,1,attack,normal
14593,0,0,0,54,14590.0,unknown,1,1,attack,failed
14590,2100000,7840,2100000,60,14588.0,unknown,1,1,attack,b_attack
14594,2000000,3130,0,44,,unknown,1,1,attack,normal
14636,2000000,0,0,44,,unknown,1,1,attack,normal
14727,43000044,7840,43000044,56,14724.0,unknown,2,2,attack,b_attack
21787,0,0,0,101,14727.0,unknown,2,2,attack,failed
14728,0,0,0,56,14724.0,unknown,2,2,attack,failed
14724,43000043,7840,43000043,57,14721.0,unknown,2,2,attack,b_attack
14725,0,0,0,57,14721.0,unknown,2,2,attack,failed
14721,43000042,7840,43000042,53,14718.0,unknown,2,2,attack,b_attack
14722,0,0,0,53,14718.0,unknown,2,2,attack,failed
14718,43000041,7840,43000041,60,14715.0,unknown,2,2,attack,b_attack
14719,0,0,0,60,14715.0,unknown,2,2,attack,failed
14715,43000040,7840,43000040,54,14712.0,unknown,2,2,attack,b_attack
14716,0,0,0,54,14712.0,unknown,2,2,attack,failed
14712,43000039,7840,43000039,59,14709.0,unknown,2,2,attack,b_attack
14713,0,0,0,59,14709.0,unknown,2,2,attack,failed
14709,43000038,7840,43000038,57,14706.0,unknown,2,2,attack,b_attack
14710,0,0,0,57,14706.0,unknown,2,2,attack,failed
14706,43000037,7840,43000037,57,14703.0,unknown,2,2,attack,b_attack
14707,0,0,0,57,14703.0,unknown,2,2,attack,failed
14703,43000036,7840,43000036,52,14700.0,unknown,2,2,attack,b_attack
14704,0,0,0,52,14700.0,unknown,2,2,attack,failed
14700,43000035,7840,43000035,52,14697.0,unknown,2,2,attack,b_attack
14701,0,0,0,52,14697.0,unknown,2,2,attack,failed
14697,43000034,7840,43000034,58,14694.0,unknown,2,2,attack,b_attack
14698,0,0,0,58,14694.0,unknown,2,2,attack,failed
14694,43000033,7840,43000033,56,14691.0,unknown,2,2,attack,b_attack
14695,0,0,0,56,14691.0,unknown,2,2,attack,failed
14691,43000032,7840,43000032,57,14688.0,unknown,2,2,attack,b_attack
14692,0,0,0,57,14688.0,unknown,2,2,attack,failed
14688,43000031,7840,43000031,57,14685.0,unknown,2,2,attack,b_attack
14689,0,0,0,57,14685.0,unknown,2,2,attack,failed
14685,43000030,7840,43000030,54,14682.0,unknown,2,2,attack,b_attack
14686,0,0,0,54,14682.0,unknown,2,2,attack,failed
14682,43000029,7840,43000029,52,14679.0,unknown,2,2,attack,b_attack
14683,0,0,0,52,14679.0,unknown,2,2,attack,failed
14679,43000028,7840,43000028,58,14676.0,unknown,2,2,attack,b_attack
14680,0,0,0,58,14676.0,unknown,2,2,attack,failed
14676,43000027,7840,43000027,53,14673.0,unknown,2,2,attack,b_attack
14677,0,0,0,53,14673.0,unknown,2,2,attack,failed
14673,43000026,7840,43000026,54,14670.0,unknown,2,2,attack,b_attack
14674,0,0,0,54,14670.0,unknown,2,2,attack,failed
14670,43000025,7840,43000025,53,14667.0,unknown,2,2,attack,b_attack
14671,0,0,0,53,14667.0,unknown,2,2,attack,failed
14667,43000024,7840,43000024,60,14664.0,unknown,2,2,attack,b_attack
14668,0,0,0,60,14664.0,unknown,2,2,attack,failed
14664,43000023,7840,43000023,59,14661.0,unknown,2,2,attack,b_attack
14665,0,0,0,59,14661.0,unknown,2,2,attack,failed
14661,43000022,7840,43000022,58,14658.0,unknown,2,2,attack,b_attack
14662,0,0,0,58,14658.0,unknown,2,2,attack,failed
14658,0,0,0,51,14655.0,unknown,2,2,attack,failed
14659,0,0,0,51,14655.0,unknown,2,2,attack,failed
14717,4500000,0,0,49,,unknown,2,2,attack,normal
14799,43000068,7840,43000068,58,14796.0,unknown,3,3,attack,b_attack
21788,0,0,0,101,14799.0,unknown,3,3,attack,failed
14800,0,0,0,58,14796.0,unknown,3,3,attack,failed
14796,43000067,7840,43000067,51,14793.0,unknown,3,3,attack,b_attack
14797,0,0,0,51,14793.0,unknown,3,3,attack,failed
14793,43000066,7840,43000066,56,14790.0,unknown,3,3,attack,b_attack
14794,0,0,0,56,14790.0,unknown,3,3,attack,failed
14790,43000065,7840,43000065,51,14787.0,unknown,3,3,attack,b_attack
14791,0,0,0,51,14787.0,unknown,3,3,attack,failed
14787,43000064,7840,43000064,54,14784.0,unknown,3,3,attack,b_attack
14788,0,0,0,54,14784.0,unknown,3,3,attack,failed
14784,43000063,7840,43000063,56,14781.0,unknown,3,3,attack,b_attack
14785,0,0,0,56,14781.0,unknown,3,3,attack,failed
14781,43000062,7840,43000062,53,14778.0,unknown,3,3,attack,b_attack
14782,0,0,0,53,14778.0,unknown,3,3,attack,failed
14778,43000061,7840,43000061,54,14775.0,unknown,3,3,attack,b_attack
14779,0,0,0,54,14775.0,unknown,3,3,attack,failed
14775,43000060,7840,43000060,52,14772.0,unknown,3,3,attack,b_attack
14776,0,0,0,52,14772.0,unknown,3,3,attack,failed
14772,43000059,7840,43000059,57,14769.0,unknown,3,3,attack,b_attack
14773,0,0,0,57,14769.0,unknown,3,3,attack,failed
14769,43000058,7840,43000058,58,14766.0,unknown,3,3,attack,b_attack
14770,0,0,0,58,14766.0,unknown,3,3,attack,failed
14766,43000057,7840,43000057,53,14763.0,unknown,3,3,attack,b_attack
14767,0,0,0,53,14763.0,unknown,3,3,attack,failed
14763,43000056,7840,43000056,53,14760.0,unknown,3,3,attack,b_attack
14764,0,0,0,53,14760.0,unknown,3,3,attack,failed
14760,43000055,7840,43000055,53,14757.0,unknown,3,3,attack,b_attack
14761,0,0,0,53,14757.0,unknown,3,3,attack,failed
14757,43000054,7840,43000054,53,14754.0,unknown,3,3,attack,b_attack
14758,0,0,0,53,14754.0,unknown,3,3,attack,failed
14754,43000053,7840,43000053,58,14751.0,unknown,3,3,attack,b_attack
14755,0,0,0,58,14751.0,unknown,3,3,attack,failed
14751,43000052,7840,43000052,51,14748.0,unknown,3,3,attack,b_attack
14752,0,0,0,51,14748.0,unknown,3,3,attack,failed
14748,43000051,7840,43000051,54,14745.0,unknown,3,3,attack,b_attack
14749,0,0,0,54,14745.0,unknown,3,3,attack,failed
14745,43000050,7840,43000050,57,14742.0,unknown,3,3,attack,b_attack
14746,0,0,0,57,14742.0,unknown,3,3,attack,failed
14742,43000049,7840,43000049,55,14739.0,unknown,3,3,attack,b_attack
14743,0,0,0,55,14739.0,unknown,3,3,attack,failed
14739,43000048,7840,43000048,55,14736.0,unknown,3,3,attack,b_attack
14740,0,0,0,55,14736.0,unknown,3,3,attack,failed
14736,43000047,7840,43000047,57,14733.0,unknown,3,3,attack,b_attack
14737,0,0,0,57,14733.0,unknown,3,3,attack,failed
14733,43000046,7840,43000046,57,14730.0,unknown,3,3,attack,b_attack
14734,0,0,0,57,14730.0,unknown,3,3,attack,failed
14730,0,0,0,57,14727.0,unknown,3,3,attack,failed
14731,0,0,0,57,14727.0,unknown,3,3,attack,failed
14735,27000000,0,0,43,,unknown,3,3,attack,normal
14871,43000092,7840,43000092,54,14868.0,unknown,4,4,attack,b_attack
21789,0,0,0,101,14871.0,unknown,4,4,attack,failed
14872,0,0,0,54,14868.0,unknown,4,4,attack,failed
14868,43000091,7840,43000091,59,14865.0,unknown,4,4,attack,b_attack
14869,0,0,0,59,14865.0,unknown,4,4,attack,failed
14865,43000090,7840,43000090,56,14862.0,unknown,4,4,attack,b_attack
14866,0,0,0,56,14862.0,unknown,4,4,attack,failed
14862,43000089,7840,43000089,56,14859.0,unknown,4,4,attack,b_attack
14863,0,0,0,56,14859.0,unknown,4,4,attack,failed
14859,43000088,7840,43000088,51,14856.0,unknown,4,4,attack,b_attack
14860,0,0,0,51,14856.0,unknown,4,4,attack,failed
14856,43000087,7840,43000087,58,14853.0,unknown,4,4,attack,b_attack
14857,0,0,0,58,14853.0,unknown,4,4,attack,failed
14853,43000086,7840,43000086,51,14850.0,unknown,4,4,attack,b_attack
14854,0,0,0,51,14850.0,unknown,4,4,attack,failed
14850,43000085,7840,43000085,56,14847.0,unknown,4,4,attack,b_attack
14851,0,0,0,56,14847.0,unknown,4,4,attack,failed
14847,43000084,7840,43000084,53,14844.0,unknown,4,4,attack,b_attack
14848,0,0,0,53,14844.0,unknown,4,4,attack,failed
14844,43000083,7840,43000083,55,14841.0,unknown,4,4,attack,b_attack
14845,0,0,0,55,14841.0,unknown,4,4,attack,failed
14841,43000082,7840,43000082,57,14838.0,unknown,4,4,attack,b_attack
14842,0,0,0,57,14838.0,unknown,4,4,attack,failed
14838,43000081,7840,43000081,54,14835.0,unknown,4,4,attack,b_attack
14839,0,0,0,54,14835.0,unknown,4,4,attack,failed
14835,43000080,7840,43000080,51,14832.0,unknown,4,4,attack,b_attack
14836,0,0,0,51,14832.0,unknown,4,4,attack,failed
14832,43000079,7840,43000079,55,14829.0,unknown,4,4,attack,b_attack
14833,0,0,0,55,14829.0,unknown,4,4,attack,failed
14829,43000078,7840,43000078,56,14826.0,unknown,4,4,attack,b_attack
14830,0,0,0,56,14826.0,unknown,4,4,attack,failed
14826,43000077,7840,43000077,57,14823.0,unknown,4,4,attack,b_attack
14827,0,0,0,57,14823.0,unknown,4,4,attack,failed
14823,43000076,7840,43000076,60,14820.0,unknown,4,4,attack,b_attack
14824,0,0,0,60,14820.0,unknown,4,4,attack,failed
