transaction_id,fee,mev_potential,mev_captured,creator_id,target_tx_id,type_of_user,block_number,block_created
36028,43000000.0,0.0,0,112,,unknown,1,1
36055,7190001.0,0.0,0,111,36054.0,unknown,1,1
36056,0.0,0.0,0,111,36054.0,unknown,1,1
36058,0.0,0.0,0,113,36054.0,unknown,1,1
36059,0.0,0.0,0,113,36054.0,unknown,1,1
36061,0.0,0.0,0,113,36054.0,unknown,1,1
36062,0.0,0.0,0,113,36054.0,unknown,1,1
36064,0.0,0.0,0,120,36054.0,unknown,1,1
36065,0.0,0.0,0,120,36054.0,unknown,1,1
36067,0.0,0.0,0,116,36054.0,unknown,1,1
36068,0.0,0.0,0,116,36054.0,unknown,2,1
36070,0.0,0.0,0,117,36054.0,unknown,2,1
36071,0.0,0.0,0,117,36054.0,unknown,2,1
36073,0.0,0.0,0,113,36054.0,unknown,2,1
36074,0.0,0.0,0,113,36054.0,unknown,2,1
36076,0.0,0.0,0,119,36054.0,unknown,2,1
36077,0.0,0.0,0,119,36054.0,unknown,2,1
36079,0.0,0.0,0,118,36054.0,unknown,2,1
36080,0.0,0.0,0,118,36054.0,unknown,2,1
36082,0.0,0.0,0,119,36054.0,unknown,2,1
36177,27000000.0,0.0,0,108,,unknown,3,3
36204,27000000.0,0.0,0,109,,unknown,3,3
36241,0.0,0.0,0,115,36240.0,unknown,3,3
36242,0.0,0.0,0,115,36240.0,unknown,3,3
36240,17700000.0,17700000.0,0,103,,unknown,3,3
43228,0.0,0.0,0,251,36240.0,unknown,3,3
36083,0.0,0.0,0,119,36054.0,unknown,3,1
36085,0.0,0.0,0,120,36054.0,unknown,3,1
36086,0.0,0.0,0,120,36054.0,unknown,3,1
36088,0.0,0.0,0,115,36054.0,unknown,3,1
36244,0.0,0.0,0,112,36240.0,unknown,4,4
36245,0.0,0.0,0,112,36240.0,unknown,4,4
36247,0.0,0.0,0,114,36240.0,unknown,4,4
36248,0.0,0.0,0,114,36240.0,unknown,4,4
