transaction_id,fee,mev_potential,mev_captured,creator_id,target_tx_id,type_of_user,block_number,block_created,builder_type
50542,43000001,0,0,153,50541,unknown,1,1,attack
50543,0,0,0,153,50541,unknown,1,1,attack
50545,0,0,0,153,50541,unknown,1,1,attack
50546,0,0,0,153,50541,unknown,1,1,attack
50548,0,0,0,153,50541,unknown,1,1,attack
50549,0,0,0,153,50541,unknown,1,1,attack
50551,0,0,0,155,50541,unknown,1,1,attack
50552,0,0,0,155,50541,unknown,1,1,attack
50554,0,0,0,151,50541,unknown,1,1,attack
50555,0,0,0,151,50541,unknown,1,1,attack
50557,0,0,0,160,50541,unknown,2,1,attack
50558,0,0,0,160,50541,unknown,2,1,attack
50560,0,0,0,151,50541,unknown,2,1,attack
50561,0,0,0,151,50541,unknown,2,1,attack
50563,0,0,0,159,50541,unknown,2,2,attack
50564,0,0,0,159,50541,unknown,2,2,attack
50566,0,0,0,155,50541,unknown,2,2,attack
50567,0,0,0,155,50541,unknown,2,2,attack
50569,0,0,0,160,50541,unknown,2,2,attack
50570,0,0,0,160,50541,unknown,2,2,attack
50572,0,0,0,158,50541,unknown,3,2,attack
50573,0,0,0,158,50541,unknown,3,2,attack
50575,0,0,0,152,50541,unknown,3,2,attack
50576,0,0,0,152,50541,unknown,3,2,attack
50578,0,0,0,154,50541,unknown,3,2,attack
50579,0,0,0,154,50541,unknown,3,2,attack
50581,0,0,0,152,50541,unknown,3,2,attack
50582,0,0,0,152,50541,unknown,3,2,attack
50584,0,0,0,153,50541,unknown,3,2,attack
50585,0,0,0,153,50541,unknown,3,2,attack
50587,0,0,0,151,50541,unknown,4,2,attack
50588,0,0,0,151,50541,unknown,4,2,attack
50590,0,0,0,153,50541,unknown,4,2,attack
50591,0,0,0,153,50541,unknown,4,2,attack
50593,0,0,0,154,50541,unknown,4,2,attack
50594,0,0,0,154,50541,unknown,4,2,attack
50596,0,0,0,151,50541,unknown,4,2,attack
50597,0,0,0,151,50541,unknown,4,2,attack
50599,0,0,0,154,50541,unknown,4,2,attack
50600,0,0,0,154,50541,unknown,4,2,attack
50602,0,0,0,153,50541,unknown,5,2,attack
50603,0,0,0,153,50541,unknown,5,2,attack
50605,0,0,0,159,50541,unknown,5,2,attack
50606,0,0,0,159,50541,unknown,5,2,attack
50608,0,0,0,155,50541,unknown,5,2,attack
50609,0,0,0,155,50541,unknown,5,2,attack
50611,0,0,0,152,50541,unknown,5,2,attack
50612,0,0,0,152,50541,unknown,5,2,attack
50614,0,0,0,152,50541,unknown,5,2,attack
50615,0,0,0,152,50541,unknown,5,2,attack
50617,0,0,0,157,50541,unknown,6,2,attack
50618,0,0,0,157,50541,unknown,6,2,attack
50620,0,0,0,158,50541,unknown,6,2,attack
50621,0,0,0,158,50541,unknown,6,2,attack
50623,0,0,0,155,50541,unknown,6,2,attack
50624,0,0,0,155,50541,unknown,6,2,attack
50626,0,0,0,157,50541,unknown,6,2,attack
50627,0,0,0,157,50541,unknown,6,2,attack
50629,0,0,0,151,50541,unknown,6,2,attack
50630,0,0,0,151,50541,unknown,6,2,attack
50632,0,0,0,158,50541,unknown,7,2,attack
50633,0,0,0,158,50541,unknown,7,2,attack
50635,0,0,0,158,50541,unknown,7,3,attack
50636,0,0,0,158,50541,unknown,7,3,attack
50638,0,0,0,154,50541,unknown,7,3,attack
50639,0,0,0,154,50541,unknown,7,3,attack
50641,0,0,0,159,50541,unknown,7,3,attack
50642,0,0,0,159,50541,unknown,7,3,attack
50644,0,0,0,158,50541,unknown,7,3,attack
50645,0,0,0,158,50541,unknown,7,3,attack
50647,0,0,0,156,50541,unknown,8,3,attack
50648,0,0,0,156,50541,unknown,8,3,attack
50650,0,0,0,159,50541,unknown,8,3,attack
50651,0,0,0,159,50541,unknown,8,3,attack
50653,0,0,0,159,50541,unknown,8,3,attack
50654,0,0,0,159,50541,unknown,8,3,attack
50656,0,0,0,155,50541,unknown,8,3,attack
50657,0,0,0,155,50541,unknown,8,3,attack
50659,0,0,0,155,50541,unknown,8,3,attack
50660,0,0,0,155,50541,unknown,8,3,attack
50662,0,0,0,155,50541,unknown,9,3,attack
50663,0,0,0,155,50541,unknown,9,3,attack
50665,0,0,0,159,50541,unknown,9,3,attack
50666,0,0,0,159,50541,unknown,9,3,attack
50668,0,0,0,159,50541,unknown,9,3,attack
50669,0,0,0,159,50541,unknown,9,3,attack
50671,0,0,0,158,50541,unknown,9,3,attack
50672,0,0,0,158,50541,unknown,9,3,attack
50674,0,0,0,160,50541,unknown,9,3,attack
50675,0,0,0,160,50541,unknown,9,3,attack
50677,0,0,0,157,50541,unknown,10,3,attack
50678,0,0,0,157,50541,unknown,10,3,attack
