block_id,total_gas,total_mev_captured,block_bid,builder_type
1,25690000.0,17700000.0,31571276.921200372,attack
2,71900010.0,0.0,383774030.4697887,attack
3,91710009.0,0.0,699715006.0,attack
4,103520008.0,0.0,1011536425.0,attack
5,177000010.0,0.0,1660885325.0,attack
6,177000010.0,0.0,2351541763.0,attack
7,177000010.0,0.0,3048813861.0,attack
8,177000010.0,0.0,3744778959.0,attack
9,177000010.0,0.0,4461861197.0,attack
10,186300009.0,0.0,5169014195.0,attack
11,189300009.0,0.0,5872023834.0,attack
12,202300009.0,0.0,6582171713.0,attack
13,177000010.0,0.0,7278783712.0,attack
14,189300009.0,0.0,8015754150.0,attack
15,178300009.0,0.0,8748847229.0,attack
16,177000010.0,0.0,9430941768.0,attack
17,177000010.0,0.0,10124357006.0,attack
18,190600008.0,0.0,10859506204.0,attack
19,177000010.0,0.0,11530656044.0,attack
20,177000010.0,0.0,12231227722.0,attack
21,201600008.0,0.0,12968551440.0,attack
22,177000010.0,0.0,13629048520.0,attack
23,177000010.0,0.0,14314294238.0,attack
24,177000010.0,0.0,15010780876.0,attack
25,189300009.0,0.0,15735740774.0,attack
26,177000010.0,0.0,16422425413.0,attack
27,177000010.0,0.0,17119299251.0,attack
28,202300009.0,0.0,17861175889.0,attack
29,186300009.0,0.0,18548632328.0,attack
30,212900007.0,0.0,19314655927.0,attack
31,177000010.0,0.0,19979440228.0,attack
32,177000010.0,0.0,20665338026.0,attack
33,177000010.0,0.0,21351657124.0,attack
34,177000010.0,0.0,22039565762.0,attack
35,177000010.0,0.0,22758353680.0,attack
36,177000010.0,0.0,23449462998.0,attack
37,202300009.0,0.0,24185507636.0,attack
38,177000010.0,0.0,24868956475.0,attack
39,177000010.0,0.0,25569942513.0,attack
40,177000010.0,0.0,26266354991.0,attack
41,177000010.0,0.0,26985097229.0,attack
42,177000010.0,0.0,27669982067.0,attack
43,178300009.0,0.0,28378575905.0,attack
44,177000010.0,0.0,29085708864.0,attack
45,177000010.0,0.0,29772162762.0,attack
46,177000010.0,0.0,30488653840.0,attack
47,187600008.0,0.0,31221035218.0,attack
48,177000010.0,0.0,31891368258.0,attack
49,186300009.0,0.0,32636249876.0,attack
50,186300009.0,0.0,33350814115.0,attack
51,186300009.0,0.0,34051748754.0,attack
52,202300009.0,0.0,34781916933.0,attack
53,177000010.0,0.0,35448739012.0,attack
54,177000010.0,0.0,36139396890.0,attack
55,178300009.0,0.0,36875633268.0,attack
56,177000010.0,0.0,37567525307.0,attack
57,202300009.0,0.0,38298858625.0,attack
58,186300009.0,0.0,38981481144.0,attack
59,189300009.0,0.0,39697711183.0,attack
60,178300009.0,0.0,40412867762.0,attack
61,177000010.0,0.0,41128262001.0,attack
62,211600008.0,0.0,41915272259.0,attack
63,177000010.0,0.0,42589766499.0,attack
64,189300009.0,0.0,43313192097.0,attack
65,177000010.0,0.0,43982667416.0,attack
66,177000010.0,0.0,44683281734.0,attack
67,202300009.0,0.0,45435799372.0,attack
68,177000010.0,0.0,46097043651.0,attack
69,177000010.0,0.0,46789363689.0,attack
70,177000010.0,0.0,47511952007.0,attack
71,177000010.0,0.0,48197604305.0,attack
72,178300009.0,0.0,48905840343.0,attack
73,177000010.0,0.0,49589089582.0,attack
74,177000010.0,0.0,50307978420.0,attack
75,177000010.0,0.0,50992189858.0,attack
76,177000010.0,0.0,51678789496.0,attack
77,215900007.0,0.0,52460983534.0,attack
78,190600008.0,0.0,53200498375.0,attack
79,177000010.0,0.0,53876009815.0,attack
80,186300009.0,0.0,54596478053.0,attack
81,177000010.0,0.0,55267672072.0,attack
82,177000010.0,0.0,55953031490.0,attack
83,177000010.0,0.0,56651100288.0,attack
84,177000010.0,0.0,57334882986.0,attack
85,177000010.0,0.0,58051959764.0,attack
86,214600008.0,0.0,58813492262.0,attack
87,177000010.0,0.0,59459953742.0,attack
88,177000010.0,0.0,60178258200.0,attack
89,177000010.0,0.0,60908833038.0,attack
90,177000010.0,0.0,61612441076.0,attack
91,177000010.0,0.0,62298031674.0,attack
92,177000010.0,0.0,62992398112.0,attack
93,177000010.0,0.0,63684994310.0,attack
94,177000010.0,0.0,64371607828.0,attack
95,177000010.0,0.0,65065678666.0,attack
96,178300009.0,0.0,65775694864.0,attack
97,177000010.0,0.0,66475691703.0,attack
98,177000010.0,0.0,67167404301.0,attack
99,177000010.0,0.0,67847752339.0,attack
100,177000010.0,0.0,68536759617.0,attack
