transaction_id,fee,mev_potential,mev_captured,creator_id,target_tx_id,type_of_user,block_number,block_created,validator_type
36047,2000001,0.0,0,111,36046.0,unknown,1,1,attack
36048,0,0.0,0,111,36046.0,unknown,1,1,attack
36050,0,0.0,0,113,36046.0,unknown,1,1,attack
36051,0,0.0,0,113,36046.0,unknown,1,1,attack
36053,0,0.0,0,113,36046.0,unknown,1,1,attack
36054,0,0.0,0,113,36046.0,unknown,1,1,attack
36056,0,0.0,0,120,36046.0,unknown,1,1,attack
36057,0,0.0,0,120,36046.0,unknown,1,1,attack
36059,0,0.0,0,116,36046.0,unknown,1,1,attack
36060,0,0.0,0,116,36046.0,unknown,1,1,attack
36127,19000000,7840.0,0,107,,unknown,2,2,normal
36094,4500000,0.0,0,103,,unknown,2,2,normal
36148,2100000,0.0,0,101,,unknown,2,2,normal
36062,0,0.0,0,117,36046.0,unknown,2,1,normal
36063,0,0.0,0,117,36046.0,unknown,2,1,normal
36065,0,0.0,0,113,36046.0,unknown,2,1,normal
36066,0,0.0,0,113,36046.0,unknown,2,1,normal
36068,0,0.0,0,119,36046.0,unknown,2,1,normal
36069,0,0.0,0,119,36046.0,unknown,2,1,normal
36071,0,0.0,0,118,36046.0,unknown,2,1,normal
36169,27000000,0.0,0,108,,unknown,3,3,normal
36196,27000000,0.0,0,109,,unknown,3,3,normal
36220,4200000,0.0,0,101,,unknown,3,3,normal
36178,3600000,6390.0,0,101,,unknown,3,3,normal
36172,2600000,8520.0,0,101,,unknown,3,3,normal
36214,2500000,0.0,0,107,,unknown,3,3,normal
36072,0,0.0,0,118,36046.0,unknown,3,1,normal
36074,0,0.0,0,119,36046.0,unknown,3,1,normal
36075,0,0.0,0,119,36046.0,unknown,3,1,normal
36077,0,0.0,0,120,36046.0,unknown,3,1,normal
36280,6100000,13900.0,0,105,,unknown,4,4,normal
36241,2600000,35600.0,0,108,,unknown,4,4,normal
36274,2400000,959000.0,0,101,,unknown,4,4,normal
36298,2300000,5630.0,0,110,,unknown,4,4,normal
36078,0,0.0,0,120,36046.0,unknown,4,1,normal
36046,2000000,7190000.0,0,103,,unknown,4,1,normal
36247,2000000,0.0,0,106,,unknown,4,4,normal
36187,1800000,0.0,0,105,,unknown,4,3,normal
36040,1700000,0.0,0,103,,unknown,4,1,normal
36067,1700000,0.0,0,110,,unknown,4,1,normal
36373,6300000,0.0,0,101,,unknown,5,5,attack
36331,3200000,0.0,0,103,,unknown,5,5,attack
36316,2100000,0.0,0,101,,unknown,5,5,attack
36070,1700000,0.0,0,105,,unknown,5,1,attack
36175,1700000,181000.0,0,104,,unknown,5,3,attack
43221,0,0.0,0,256,36175.0,unknown,5,3,attack
36208,1700000,0.0,0,106,,unknown,5,3,attack
36271,1700000,24700.0,0,108,,unknown,5,4,attack
43222,0,0.0,0,256,36271.0,unknown,5,4,attack
36029,1600001,0.0,0,112,36028.0,unknown,5,1,attack
36442,27000000,0.0,0,106,,unknown,6,6,normal
36400,5000000,0.0,0,106,,unknown,6,6,normal
36436,5000000,31700.0,0,110,,unknown,6,6,normal
36439,5000000,350000.0,0,104,,unknown,6,6,normal
36418,4200000,60700.0,0,102,,unknown,6,6,normal
36424,3200000,0.0,0,107,,unknown,6,6,normal
36451,2500000,35600.0,0,101,,unknown,6,6,normal
36391,2000000,779000.0,0,108,,unknown,6,6,normal
36409,2000000,4320000.0,0,108,,unknown,6,6,normal
36030,0,0.0,0,112,36028.0,unknown,6,1,normal
36454,6300000,779000.0,0,106,,unknown,7,7,normal
36466,5000000,3130.0,0,104,,unknown,7,7,normal
36469,3600000,0.0,0,108,,unknown,7,7,normal
36496,2600000,33300.0,0,109,,unknown,7,7,normal
36032,0,0.0,0,119,36028.0,unknown,7,1,normal
36033,0,0.0,0,119,36028.0,unknown,7,1,normal
36035,0,0.0,0,113,36028.0,unknown,7,1,normal
36036,0,0.0,0,113,36028.0,unknown,7,1,normal
36038,0,0.0,0,113,36028.0,unknown,7,1,normal
36039,0,0.0,0,113,36028.0,unknown,7,1,normal
36586,27000000,35100.0,0,110,,unknown,8,8,normal
36592,4200000,0.0,0,107,,unknown,8,8,normal
36538,1900000,0.0,0,101,,unknown,8,8,normal
36541,1700000,545000.0,0,106,,unknown,8,8,normal
36041,0,0.0,0,120,36028.0,unknown,8,1,normal
36042,0,0.0,0,120,36028.0,unknown,8,1,normal
36044,0,0.0,0,111,36028.0,unknown,8,1,normal
36045,0,0.0,0,111,36028.0,unknown,8,1,normal
36028,1600000,15100.0,0,101,,unknown,8,1,normal
36076,1600000,0.0,0,110,,unknown,8,1,normal
36646,43000000,56200.0,0,108,,unknown,9,9,attack
