transaction_id,fee,mev_potential,mev_captured,creator_id,target_tx_id,type_of_user,block_number,block_created,validator_type,transaction_type
51229,5000000,0,0,148,,unknown,2,2,attack,normal
51211,4500000,0,0,150,,unknown,2,2,attack,normal
51265,1400000,0,0,147,,unknown,2,2,attack,normal
51259,870000,350000,0,144,,unknown,2,2,attack,normal
58428,0,0,0,363,51259.0,unknown,2,2,attack,failed
51262,1100000,0,0,144,,unknown,2,2,attack,normal
51205,1000000,0,0,144,,unknown,2,2,attack,normal
51220,1000000,0,0,149,,unknown,2,2,attack,normal
51217,910000,0,0,149,,unknown,2,2,attack,normal
51250,530000,0,0,146,,unknown,2,2,attack,normal
51241,460000,0,0,145,,unknown,2,2,attack,normal
51244,370000,0,0,144,,unknown,2,2,attack,normal
51247,350000,0,0,142,,unknown,2,2,attack,normal
51202,340000,0,0,146,,unknown,2,2,attack,normal
51232,170000,0,0,141,,unknown,2,2,attack,normal
51271,170000,0,0,144,,unknown,2,2,attack,normal
51226,130000,0,0,146,,unknown,2,2,attack,normal
51253,110000,0,0,147,,unknown,2,2,attack,normal
51268,110000,0,0,141,,unknown,2,2,attack,normal
51238,100000,0,0,150,,unknown,2,2,attack,normal
51223,79000,0,0,145,,unknown,2,2,attack,normal
51235,77000,0,0,150,,unknown,2,2,attack,normal
51295,5000000,0,0,144,,unknown,3,3,normal,normal
51325,5000000,0,0,144,,unknown,3,3,normal,normal
51337,5000000,0,0,148,,unknown,3,3,normal,normal
51298,3600000,0,0,147,,unknown,3,3,normal,normal
51286,3500000,60700,0,147,,unknown,3,3,normal,normal
51334,2600000,0,0,144,,unknown,3,3,normal,normal
51280,2400000,0,0,141,,unknown,3,3,normal,normal
51313,2300000,0,0,149,,unknown,3,3,normal,normal
51343,2000000,13900,0,147,,unknown,3,3,normal,normal
51283,1300000,0,0,149,,unknown,3,3,normal,normal
51301,1100000,0,0,147,,unknown,3,3,normal,normal
51310,670000,0,0,145,,unknown,3,3,normal,normal
51319,670000,0,0,141,,unknown,3,3,normal,normal
51292,650000,0,0,148,,unknown,3,3,normal,normal
51328,630000,0,0,149,,unknown,3,3,normal,normal
51304,530000,0,0,141,,unknown,3,3,normal,normal
51331,470000,0,0,143,,unknown,3,3,normal,normal
51307,260000,0,0,141,,unknown,3,3,normal,normal
51340,190000,8520,0,150,,unknown,3,3,normal,normal
51277,150000,0,0,149,,unknown,3,3,normal,normal
51316,110000,0,0,149,,unknown,3,3,normal,normal
51322,87000,0,0,146,,unknown,3,3,normal,normal
51274,77000,0,0,145,,unknown,3,3,normal,normal
51397,5200000,0,0,146,,unknown,4,4,attack,normal
51406,4500000,0,0,146,,unknown,4,4,attack,normal
51355,3600000,46500,0,145,,unknown,4,4,attack,normal
58429,0,0,0,362,51355.0,unknown,4,4,attack,failed
51409,1600000,0,0,142,,unknown,4,4,attack,normal
51382,1400000,0,0,143,,unknown,4,4,attack,normal
51391,1300000,0,0,150,,unknown,4,4,attack,normal
51394,1300000,0,0,150,,unknown,4,4,attack,normal
51367,1200000,0,0,147,,unknown,4,4,attack,normal
51352,1000000,0,0,148,,unknown,4,4,attack,normal
51403,970000,0,0,149,,unknown,4,4,attack,normal
51349,910000,0,0,149,,unknown,4,4,attack,normal
51361,630000,0,0,145,,unknown,4,4,attack,normal
51376,630000,0,0,141,,unknown,4,4,attack,normal
51385,310000,0,0,145,,unknown,4,4,attack,normal
51358,260000,0,0,149,,unknown,4,4,attack,normal
51370,260000,0,0,147,,unknown,4,4,attack,normal
51412,170000,0,0,145,,unknown,4,4,attack,normal
51364,150000,0,0,144,,unknown,4,4,attack,normal
51379,120000,0,0,145,,unknown,4,4,attack,normal
51388,120000,0,0,149,,unknown,4,4,attack,normal
51415,120000,0,0,147,,unknown,4,4,attack,normal
51373,83000,0,0,145,,unknown,4,4,attack,normal
51472,6100000,0,0,146,,unknown,5,5,attack,normal
