Users,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,119086391320,116200391510,115718361590,115139029020,115291803180,116054421050,116558764220,116074863170,118633087420,116758751960,118315025830,116801612990,112882361430,120953756080,119235485180,121344801290,119210588860,118964370740,117178608460,113564826670,117895002310
1,118801272450,116080015395,113328276284,112454612340,111439322121,116360484272,114789811258,117959065531,119576334996,120425572965,116768543507,117491391774,117008378692,118269247296,117203261483,118673313500,120529082746,119987020104,121131266408,116692707019,116812572785
2,119139692355,115776934105,115732074780,115512617694,114842742185,116379174006,116286268906,118255275583,118567663997,117963986001,117044137572,122129056242,122190048667,119459915357,120558522799,122558059769,119954454179,117011885509,118513977442,116600284150,122799199605
3,120816496867,115732254058,115086684931,110571931423,111487103196,109208772799,114731800506,116996257910,116385498125,114765633175,115634830866,115332445782,118135265972,117572037707,121091109698,119117766385,121390144191,121754513299,123832251118,117518793922,119745110675
4,118393558774,114173767252,115227379712,115110440221,115827280886,111682368479,115579687384,115000403589,118213257175,115224345259,117472774401,112714350505,116663008328,120113472396,118160090053,119492598100,120918198214,119789619892,119356331258,112455666764,123075187701
5,119175606868,116910575763,110505326069,120131708335,114426953098,112909223549,120165543582,121782327808,120116023801,120210074753,117711689724,117913957543,119070128579,115155659991,119975508111,120404482885,118251827477,123691972212,119895941736,122321364358,123220048584
6,116440631001,114880925007,117112017429,116005146993,119521978615,113091089263,117438998948,122985893462,118692209718,116461559519,114376064197,119797636212,111869527023,119749692159,116866030586,119783289265,122134859116,120747422860,119572751998,118915496785,118872009594
7,113154285445,112379085569,112710000386,124612522127,116874679254,117126221837,115567078398,114130406168,124526817192,112695575189,117002288249,115780598812,117661019892,116450862654,115015282043,118713340043,117584576655,122917004648,113291329497,116627256483,119360492305
8,119150209100,107616251699,115791307315,120075797135,110194537319,121548873458,117760259187,110937247690,117552918237,117094992698,116687266465,115750995344,120478198191,115878241127,116684321340,113901864949,121977666097,119100850642,119569145677,122456482710,123610502146
9,111944588803,107585583100,111400393047,115458660543,114321460532,109339637793,117368522224,115233115891,127244008141,115967717703,113746550047,119458595805,121105420294,112655558469,114905371851,112630378864,117223426022,110521710679,114479114776,123662711887,115129310314
