Users,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,96182340250,98109209670,96842983240,96768005310,95448336270,97020306880,96283378990,97717286980,98141050280,97092030290,96588934800,95439244850,96840895010,100416696230,100092636930,100836078010,100659083620,105685612740,103082079510,102106041310,97242163490
1,95693014447,95485835145,94976146793,98538378464,97123251515,97587393730,95652059970,96095509883,99309832237,96527911086,96124259377,96660064915,96427861312,98166026010,100318687236,100460846962,101472131358,101745605044,104218726148,99915751527,97590038530
2,92766689123,92861727209,96856414062,94924315415,96351590098,97672968334,97078462269,94833354073,95826182569,98377275279,97897637365,101575481253,100048737363,99997226266,103131314460,103131761251,103056797464,99047404481,99715262673,98130479541,97792992863
3,98979945918,98364955984,95497713629,97234382356,98201786362,95941181503,97501743534,98669414410,101252376266,99474011253,101263682287,99180839634,98502443444,100723241322,100374381167,98116220081,99463215565,98538426715,97983938632,97097197175,96578951227
4,101172645021,99780803862,99835773907,98479031079,103123469409,102340847527,98750867315,98856245619,99543661348,99894282691,99368697192,97618898013,99445484509,98772083919,99443781737,99262107239,96866504591,97912784824,95386380350,93958069402,95295853809
5,97634004056,97426213199,97775530324,96506266779,97589687369,97632327696,99197472103,98871678366,96093482444,99346229134,95608914667,96202076277,97373851356,97977870508,95850305973,95577425656,98464723984,94134695140,95480405188,93627414131,95057132468
6,103566599443,98439257055,99857887589,97704303491,97027066345,98573853359,96677965694,96669918155,96205234046,94152628857,94900519693,94419867853,97003136845,96464218007,96748488569,97178029735,96861873636,95850824236,96090966594,93744807056,96050969354
7,97890500229,96362145710,93509219435,97176228344,98110984828,96246881872,96355884199,94188456489,93078420634,96674753151,94381871226,95286106296,99238323586,96921839043,96115503527,98705542957,94269609170,98327011962,98623325317,95121700529,94094480648
8,95635565131,96486549338,94594970453,96534471154,97438380357,95626126348,94440272811,100778395698,96177394899,95182034193,98286461452,94903118587,96849281479,94821619975,94633633325,96113630273,96133157168,98109328664,94983669025,95128262513,97767475186
9,97777299677,95583903656,95822798140,96528762003,99279246894,98205177088,97228895516,96203766356,95925084066,97448056963,96466228343,98397777473,96939416938,97880930700,94753728372,94363330182,97766380098,98584986604,99510544861,98046136092,96757662417
10,98560331119,96408680972,98658137736,97921267775,94907277563,93892964296,99465730106,94172480984,95589138139,93875891319,95245207366,98808936968,96605089763,98429633299,99053018575,94325638440,98254165613,93246585545,98932563166,100270519283,95136600570
11,104806721211,98016080901,100062848940,101379629584,98405325975,98298929751,100831387688,100831794028,100828306238,102074527569,97644335945,101604623953,98391456603,99399966046,99013696960,96630604037,95769823342,97742134853,96237839803,97307518534,98625618722
12,104591404417,97428189134,98148585261,96056007712,96888104326,96503129688,96164639110,95839075455,99050494807,97665162659,92249707635,99914653944,94658163010,96722293139,98592457981,96089102709,97743961794,95399989194,96001651962,99613502701,95441094692
