Users,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,22904051070,18091181840,18875378350,18371023710,19843466910,19034114170,20275385230,18357576190,20492037140,19666721670,21726091030,21362368140,16041466420,20537059850,19142848250,20508723280,18551505240,13278758000,14096528950,11458785360,20652838820
1,23108258003,20594180250,18352129491,13916233876,14316070606,18773090542,19137751288,21863555648,20266502759,23897661879,20644284130,20831326859,20580517380,20103221286,16884574247,18212466538,19056951388,18241415060,16912540260,16776955492,19222534255
2,26373003232,22915206896,18875660718,20588302279,18491152087,18706205672,19207806637,23421921510,22741481428,19586710722,19146500207,20553574989,22141311304,19462689091,17427208339,19426298518,16897656715,17964481028,18798714769,18469804609,25006206742
3,21836550949,17367298074,19588971302,13337549067,13285316834,13267591296,17230056972,18326843500,15133121859,15291621922,14371148579,16151606148,19632822528,16848796385,20716728531,21001546304,21926928626,23216086584,25848312486,20421596747,23166159448
4,17220913753,14392963390,15391605805,16631409142,12703811477,9341520952,16828820069,16144157970,18669595827,15330062568,18104077209,15095452492,17217523819,21341388477,18716308316,20230490861,24051693623,21876835068,23969950908,18497597362,27779333892
5,21541602812,19484362564,12729795745,23625441556,16837265729,15276895853,20968071479,22910649442,24022541357,20863845619,22102775057,21711881266,21696277223,17177789483,24125202138,24827057229,19787103493,29557277072,24415536548,28693950227,28162916116
6,12874031558,16441667952,17254129840,18300843502,22494912270,14517235904,20761033254,26315975307,22486975672,22308930662,19475544504,25377768359,14866390178,23285474152,20117542017,22605259530,25272985480,24896598624,23481785404,25170689729,22821040240
7,15263785216,16016939859,19200780951,27436293783,18763694426,20879339965,19211194199,19941949679,31448396558,16020822038,22620417023,20494492516,18422696306,19529023611,18899778516,20007797086,23314967485,24589992686,14668004180,21505555954,25266011657
8,23514643969,11129702361,21196336862,23541325981,12756156962,25922747110,23319986376,10158851992,21375523338,21912958505,18400805013,20847876757,23628916712,21056621152,22050688015,17788234676,25844508929,20991521978,24585476652,27328220197,25843026960
9,14167289126,12001679444,15577594907,18929898540,15042213638,11134460705,20139626708,19029349535,31318924075,18519660740,17280321704,21060818332,24166003356,14774627769,20151643479,18267048682,19457045924,11936724075,14968569915,25616575795,18371647897
10,13193684787,23638372847,13308868398,23049835848,24940404989,18459802339,20889860997,29995033684,31660908058,25727113675,14121476062,16205367534,28034378782,22169965625,22098125396,30590738362,29422990621,28988290995,14414243452,11304737339,20611760712
11,7662376770,19059178866,13975303225,16647851450,8805972048,18672324656,25005000010,23677276253,16811672773,6199484680,14635558597,10371489015,20516129505,19014160932,23527260361,20930275380,22058508578,18404254693,17415052077,21307709014,16780861410
12,13788840594,11072168406,14538257424,25054715404,14568400713,22898313247,22036897526,23496707625,24427235726,18939326501,20570929196,19493890589,24270551366,22104966659,27821437272,18793368167,21448413963,25727656268,16393236654,17319087544,27328782044
13,9427490669,16324109031,11032646437,18581321364,18510731831,18542375153,8232208841,10890737576,14735543001,19817805245,28678301221,24146195702,25331689050,26704645848,19886225774,20573775248,22558902940,17755439838,29325713256,23289692469,26674792865
14,12986587523,22693128516,28486418481,15141496802,21435010790,27149097651,10824503032,10030344113,22162472628,15386008823,16704794854,8985771613,15151543050,17631094069,14956135055,26513372250,22211202122,25198809236,10537263900,27909032678,18668355148
15,15900653211,17610211695,16688017956,8357379651,28731974638,12309860120,19191905839,13992292233,33413630414,20927808476,18244201068,21489623471,24885175851,21062727781,15116267034,15351752296,24859900638,15873166900,9386344232,16760745967,22609892769
16,26603750814,25324597544,9639266518,30316862615,16404904038,11167873215,32523269730,10831119317,31871628850,17959875166,20775331380,30724605389,9072863979,19446784449,23481531522,25421604390,11988531387,18755647435,27702832808,20964833825,19195846353
17,16054285809,21174722252,27678813334,25678357074,15759910518,35355956506,7330472733,21763736356,7967086272,12759805693,16484096798,24026956062,31717550246,14392711717,17582733444,20616112060,14074738492,34761083179,22812994602,11384698818,21080210419
18,22474947823,20258213737,27090988218,22172090910,24957840116,20611661150,32340792472,37810851465,33921815204,22085127371,19666246025,40582463893,31247579282,18452655311,30137895008,22232564804,17740410137,20296397392,8385265806,32110129384,16188914170
19,18289257584,26672900461,35534032379,14646156113,27666072616,22257349368,11216240681,26172732023,32139660143,28236309829,21333912354,32532358241,31356438063,16548263057,20965069673,12740567097,10746266207,19661849431,7208729109,6166153782,19772108242
20,22119807432,26413546804,31602030572,7892533302,24171666733,8465461742,20797034667,22059206817,3123337114,15283950750,37002083476,37377028853,17364651079,20177998823,31063439165,21817729629,14376430749,21576205332,9837840801,6274849331,13927176235
21,6894007594,7748470213,1538467181,19325759619,20327913797,29918172519,13878146266,18522679673,23520267781,19835330070,13175069534,27953808706,31968721599,26235781498,21597792922,17632585857,23898212611,13499100444,7959524431,18296188798,16278538477
22,26988066613,29555986510,28522055196,17398987991,40015265739,28269615972,21952065752,32177034215,40713929588,57354541728,28816601113,38806597658,16498872560,25475470269,19187138939,21097551646,36999844831,12936186832,21691430514,37908304443,20395773860
23,28159629185,26665406257,37700962114,27500338177,16247705027,18517581243,34814542356,23442492877,45597085265,31271934880,17757295968,28784207507,22013804639,36960824647,25424338896,15098116321,30382353399,20011387581,14601537013,10677855636,12139253122
