Block ID,Block Bid,Builder ID,Transaction ID,Transaction GAS,Transaction MEV
1,787,2
,,,10061,94.8218,0
,,,10007,91.4603,5.05537
,,,10093,91.4024,5.29839
,,,10076,89.552,0
,,,10004,88.361,57.7152
,,,10058,87.0937,91.468
,,,10001,86.8224,18.399
,,,10006,86.0817,1.90826
,,,10042,83.1409,18.5457
,,,10056,81.3033,6.35145
2,787.5,4
,,,10084,98.4115,82.3101
,,,10083,97.8739,0
,,,10075,95.3306,21.2593
,,,10004,94.9054,1.24644
,,,10003,94.4079,50.8189
,,,10091,93.4635,55.1251
,,,10011,92.2392,65.8465
,,,10070,86.8778,42.9836
,,,10097,85.3359,75.4913
,,,10003,84.1217,13.7089
3,0,1
,,,10008,87.4261,40.229
,,,10079,80.7763,0
,,,10023,79.632,0
,,,10017,76.2927,0
,,,10073,72.5081,41.5146
,,,10010,70.9694,0
,,,10050,70.0974,0
,,,10005,69.7772,0
,,,10069,66.0488,60.224
,,,10095,65.1505,0
4,59,3
,,,10045,74.5305,4.53282
,,,10026,74.0549,0
,,,10057,68.345,3.59178
,,,10021,66.5379,0
,,,10041,60.8207,0
,,,10053,58.9336,0
,,,10018,58.7813,13.2075
,,,10018,58.5024,0
,,,10089,58.4722,0
,,,10024,57.6068,19.6455
5,93,3
,,,10038,90.2225,0
,,,10039,80.7724,12.3539
,,,10033,58.887,66.3869
,,,10013,56.6634,48.2383
,,,10001,53.6086,0
,,,10092,53.267,0
,,,10046,52.5835,0
,,,10082,52.5455,0
,,,10016,49.0883,85.4282
,,,10028,47.8497,0
6,133,1
,,,10046,87.9418,0
,,,10047,87.1873,6.02557
,,,10037,69.1798,82.8305
,,,10040,67.9621,55.1755
,,,10013,64.8685,42.2085
,,,10007,64.8618,0
,,,10031,62.5069,93.6404
,,,10085,62.0675,0
,,,10055,62.0137,92.422
,,,10022,61.5727,0
7,148,4
,,,10064,47.0076,53.2303
,,,10043,45.025,0
,,,10010,44.6582,0
,,,10077,42.9429,0
,,,10028,41.0928,75.8298
,,,10087,40.9193,16.4816
,,,10000,40.879,64.5994
,,,10006,40.5661,0
,,,10025,40.2043,0
,,,10031,39.969,0
8,165.5,1
,,,10055,90.0428,0
,,,10052,77.6467,0
,,,10054,67.7015,82.9656
,,,10053,65.5923,35.769
,,,10025,61.1464,27.2573
,,,10022,59.3091,68.9129
,,,10000,55.9594,0
,,,10002,55.9481,0
,,,10050,55.9252,53.1768
,,,10068,54.1651,0
9,176.5,2
,,,10067,70.279,15.3785
,,,10009,53.1012,9.47153
,,,10066,52.4401,0
,,,10021,52.2497,0
,,,10057,52.1597,82.2889
,,,10024,51.6058,8.98747
,,,10074,50.7018,0
,,,10016,50.4474,13.3954
,,,10049,50.3919,0
,,,10015,50.0373,11.0998
10,188.5,2
,,,10079,78.2377,0
,,,10065,47.2758,54.5344
,,,10048,46.5988,0
,,,10012,46.0219,31.7921
,,,10067,45.9912,0
,,,10038,44.8609,95.9616
,,,10009,44.5133,0
,,,10094,43.7826,10.075
,,,10002,43.598,57.9712
,,,10019,42.575,0
11,203,1
,,,10081,83.039,0
,,,10085,56.6165,94.3598
,,,10062,42.5417,79.1964
,,,10015,42.1791,0
,,,10056,41.3769,82.3939
,,,10030,39.8573,7.67124
,,,10066,39.4978,80.9373
,,,10081,38.1005,0
,,,10090,36.2744,98.9606
,,,10061,35.9381,0
12,214.5,3
,,,10058,91.9721,86.1313
,,,10075,87.5846,0
,,,10092,86.8924,0
,,,10062,84.7467,0
,,,10074,82.8121,0
,,,10083,71.8872,99.4491
,,,10086,63.4647,51.5756
,,,10059,63.3772,50.7539
,,,10065,55.7889,0
,,,10073,55.3031,0
13,219.5,2
,,,10095,79.9101,27.369
,,,10100,66.7402,0
,,,10096,64.0117,99.2183
,,,10091,62.9705,0
,,,10094,59.4009,0
,,,10102,58.5752,78.0944
,,,10023,34.9982,47.8433
,,,10078,33.5596,73.7805
,,,10099,33.3045,26.8244
,,,10082,31.4573,0
14,230,1
,,,10111,76.3264,0
,,,10106,57.8582,63.9018
,,,10019,29.7792,63.2696
,,,10037,29.4616,0
,,,10093,29.0672,0
,,,1116,29.0309,0
,,,10088,29.0209,92.9072
,,,-1116,29.0109,0
,,,10051,28.7554,30.0345
,,,10060,28.4542,84.4102
15,233.5,3
,,,10097,64.5776,0
,,,10089,53.6238,0
,,,10069,51.9931,69.7891
,,,10084,41.3755,75.3084
,,,10042,39.7516,74.0843
,,,10029,37.9243,92.1734
,,,10071,37.4925,43.7408
,,,10026,36.7338,0
,,,10086,34.371,0
,,,10054,33.3922,0
16,237.5,2
,,,10107,94.9101,0
,,,10120,90.0296,0
,,,10110,84.1256,38.4697
,,,10114,60.0977,0
,,,10118,57.2947,59.7108
,,,10121,42.3687,0
,,,10126,37.5068,0
,,,10077,26.7966,0
,,,10099,25.4314,60.1337
,,,10035,25.3981,47.8735
17,243.5,4
,,,10125,63.2196,0
,,,10108,56.8241,35.0321
,,,10112,51.1014,79.3856
,,,10131,48.5248,0
,,,10115,32.4789,15.4934
,,,10043,31.7416,0
,,,10116,30.6917,25.8579
,,,10051,30.2815,0
,,,10113,29.8447,0
,,,10068,28.7735,0
18,248.5,1
,,,10135,95.9632,34.3078
,,,10132,76.72,0
,,,10134,60.1671,0
,,,10136,50.7844,39.9992
,,,10129,50.0691,3.9432
,,,10128,46.0576,93.6529
,,,10142,34.232,0
,,,10138,32.4378,0
,,,10027,24.4372,8.6972
,,,10064,24.2716,0
19,254.5,4
,,,10149,80.0454,0
,,,10140,70.2225,51.2929
,,,10137,56.3922,0
,,,10143,56.0271,31.7449
,,,10139,52.4003,42.2922
,,,10150,33.1488,11.1463
,,,10147,32.3717,0
,,,10078,28.0444,0
,,,10017,26.582,0
,,,10117,26.4043,60.0808
20,270.5,1
,,,10148,99.482,0
,,,10157,90.934,0
,,,10159,87.6701,94.0214
,,,10158,78.3567,65.6166
,,,10155,71.6409,0
,,,10144,62.9312,0
,,,10153,57.6018,0
,,,10146,47.8261,30.9551
,,,10151,46.8053,0
,,,10141,23.2984,0
21,253,3
,,,10166,89.5641,13.4473
,,,10156,68.8085,0
,,,10161,63.3069,0
,,,10154,58.244,0
,,,10040,25.8013,44.8595
,,,10032,20.109,51.7482
,,,10020,19.3726,24.5098
,,,10096,19.1875,87.8055
,,,10087,19.0498,1.44155
,,,10133,16.1919,27.0088
22,262,1
,,,10171,93.4188,0
