block_id,total_gas,total_mev_captured,validator_type,validator_id
1,1267820000,79443800,normal,49
2,1189890000,96060280,normal,8
3,983090000,100458100,normal,5
4,1100099000,49225420,normal,45
5,988527000,39964900,normal,49
6,1042989000,75955300,normal,50
7,1239840000,33431600,normal,26
8,1287110000,46990000,normal,36
9,1120690000,108812800,normal,22
10,911310000,33728400,normal,9
11,936360000,111110400,normal,4
12,1420670000,36254830,normal,45
13,1451350000,44023690,normal,8
14,1390187000,63735800,normal,4
15,1257620000,60449200,normal,18
16,1197636000,101251040,normal,28
17,1104630000,79410700,normal,38
18,1360050000,37449890,normal,39
19,716220000,79602100,normal,31
20,1298120000,8315840,normal,41
21,1307290000,45328500,normal,6
22,1262180000,30195830,normal,1
23,1254970000,30259800,normal,9
24,844484000,76430000,normal,49
25,1090920000,42572890,normal,36
26,1140839000,134647920,normal,16
27,1120800000,601400,normal,38
28,1130224000,38062400,normal,1
29,1098390000,93908900,normal,14
30,1054670000,65466320,normal,48
31,1151560000,43963080,normal,5
32,1101810000,54602900,normal,32
33,1158650000,59659730,normal,45
34,1081460000,16284140,normal,17
35,1183876000,100435220,normal,20
36,1349360000,56078000,normal,19
37,972125000,89492380,normal,14
38,1248800000,55242300,normal,40
39,1189350000,82471500,normal,38
40,1278410000,82476780,normal,38
41,1266405000,50484050,normal,26
42,1294790000,42931900,normal,43
43,1013780000,136926000,normal,19
44,1132280000,73073080,normal,17
45,1252360000,43146540,normal,34
46,1257520000,76227890,normal,9
47,850869000,45131800,normal,50
48,1214170000,30278200,normal,47
49,769218000,54613900,normal,1
50,1085620000,30371120,normal,45
